"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Josh Jacobs (LV)","1","20","143","7.2","98","4.9","45","2.3","0","2","-3","15","7","0","0","0","0","15","3","4","0","7"
"2","Kenneth Walker III (SEA)","1","23","167","7.3","67","2.9","100","4.3","0","4","-9","74","5","1","1","1","1","74","0","0","0","0"
"3","Austin Ekeler (LAC)","1","9","31","3.4","26","2.9","5","0.6","0","0","0","7","1","0","0","0","0","13","12","12","2","8"
"4","Aaron Jones (GB)","1","8","23","2.9","7","0.9","16","2.0","0","2","-7","0","0","0","0","0","0","8","9","10","1","13"
"5","Eno Benjamin (NO)","1","12","92","7.7","22","1.8","70","5.8","1","1","-3","5","2","1","1","1","0","45","4","5","1","8"
"6","Gus Edwards (BAL)","1","16","66","4.1","38","2.4","28","1.8","4","0","0","7","1","0","0","0","0","12","0","1","0","0"
"7","Travis Etienne Jr. (JAC)","1","14","114","8.1","90","6.4","24","1.7","1","0","0","7","3","1","1","1","0","49","1","5","1","0"
"8","Ezekiel Elliott (NE)","1","15","57","3.8","48","3.2","9","0.6","1","1","-2","1","2","0","0","0","0","18","0","0","0","0"
"9","Raheem Mostert (MIA)","1","16","79","4.9","67","4.2","12","0.8","1","2","-2","0","3","0","0","0","0","12","4","5","2","13"
"10","Nick Chubb (CLE)","1","16","91","5.7","40","2.5","51","3.2","3","0","0","2","3","1","0","0","0","22","2","3","0","9"
"11","Rhamondre Stevenson (NE)","1","11","39","3.5","17","1.5","22","2.0","0","0","0","4","0","0","0","0","0","7","8","8","0","14"
"12","Joe Mixon (CIN)","1","17","58","3.4","51","3.0","7","0.4","0","1","-2","1","1","0","0","0","0","11","3","3","1","0"
"13","Khalil Herbert (CHI)","1","12","62","5.2","32","2.7","30","2.5","1","0","0","0","2","0","0","0","0","13","1","2","0","0"
"14","D'Onta Foreman (CHI)","1","15","118","7.9","61","4.1","57","3.8","1","1","-1","0","2","2","1","1","1","60","2","2","0","14"
"15","Derrick Henry (TEN)","1","30","128","4.3","46","1.5","82","2.7","2","3","-6","0","3","2","0","0","0","23","3","3","0","5"
"16","Antonio Gibson (WAS)","1","10","59","5.9","32","3.2","27","2.7","1","0","0","0","2","1","0","0","0","20","3","4","2","2"
"17","Saquon Barkley (NYG)","1","24","110","4.6","54","2.3","56","2.3","1","4","-9","0","4","1","0","0","0","20","4","4","0","7"
"18","Chuba Hubbard (CAR)","1","9","63","7.0","50","5.6","13","1.4","0","0","0","17","2","0","0","0","0","17","2","3","0","4"
"19","Breece Hall (NYJ)","1","4","72","18.0","67","16.8","5","1.3","0","0","0","62","1","1","1","1","1","62","0","0","0","0"
"20","David Montgomery (DET)","1","15","62","4.1","18","1.2","44","2.9","2","1","-2","1","1","0","0","0","0","12","0","0","0","0"
"21","Dameon Pierce (HOU)","1","20","92","4.6","44","2.2","48","2.4","0","2","-6","0","3","1","0","0","0","22","4","4","1","8"
"22","Tyler Allgeier (ATL)","1","16","50","3.1","35","2.2","15","0.9","0","2","-4","1","0","0","0","0","0","9","0","0","0","0"
"23","Tony Pollard (DAL)","1","12","83","6.9","24","2.0","59","4.9","1","1","-1","0","2","2","0","0","0","28","2","2","0","0"
"24","Alvin Kamara (NO)","1","11","49","4.5","22","2.0","27","2.5","0","3","-5","0","3","0","0","0","0","17","7","9","0","12"
"25","Keaontay Ingram (KC)","1","9","14","1.6","-2","-0.2","16","1.8","0","1","-3","2","1","0","0","0","0","11","2","2","1","21"
"26","Clyde Edwards-Helaire (KC)","1","6","32","5.3","21","3.5","11","1.8","1","0","0","16","1","0","0","0","0","16","0","1","0","0"
"27","Brian Robinson Jr. (WAS)","1","20","73","3.7","30","1.5","43","2.2","0","2","-2","0","1","1","0","0","0","24","2","2","0","5"
"28","Jonathan Taylor (IND)","1","10","58","5.8","21","2.1","37","3.7","1","0","0","0","2","0","0","0","0","14","7","8","0","9"
"29","Latavius Murray (BUF)","1","8","24","3.0","14","1.8","10","1.3","0","0","0","2","0","0","0","0","0","5","2","3","0","0"
"30","Najee Harris (PIT)","1","17","65","3.8","46","2.7","19","1.1","2","2","-4","0","2","0","0","0","0","16","3","4","0","8"
"31","Michael Carter (ARI)","1","13","29","2.2","19","1.5","10","0.8","0","0","0","0","0","0","0","0","0","5","2","2","0","1"
"32","Kareem Hunt (CLE)","1","5","4","0.8","-1","-0.2","5","1.0","1","2","-9","2","0","0","0","0","0","6","1","2","0","4"
"33","Jamaal Williams (NO)","1","15","79","5.3","43","2.9","36","2.4","0","0","0","0","2","1","0","0","0","20","1","1","0","1"
"34","Christian McCaffrey (SF)","1","8","38","4.8","28","3.5","10","1.3","1","1","-1","0","2","0","0","0","0","12","2","2","0","6"
"35","Dare Ogunbowale (HOU)","1","1","8","8.0","5","5.0","3","3.0","0","0","0","0","0","0","0","0","0","8","5","7","1","2"
"36","Jeff Wilson Jr. (MIA)","1","7","54","7.7","40","5.7","14","2.0","1","1","-1","0","3","0","0","0","0","15","0","1","1","0"
"37","Melvin Gordon III (BAL)","1","11","33","3.0","27","2.5","6","0.5","0","0","0","0","0","0","0","0","0","7","2","4","0","1"
"38","Jerick McKinnon (KC)","1","2","12","6.0","9","4.5","3","1.5","0","0","0","0","0","0","0","0","0","9","2","3","0","3"
"39","Nyheim Hines (BUF)","1","4","2","0.5","1","0.3","1","0.3","0","1","-2","0","0","0","0","0","0","2","5","5","2","14"
"40","Isiah Pacheco (KC)","1","8","43","5.4","32","4.0","11","1.4","0","0","0","0","1","0","0","0","0","17","0","0","0","0"
"41","DeeJay Dallas (SEA)","1","6","35","5.8","30","5.0","5","0.8","0","0","0","0","1","0","0","0","0","11","2","2","0","1"
"42","Kyle Juszczyk (SF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","4","0","17"
"43","Matt Breida (NYG)","1","4","19","4.8","14","3.5","5","1.3","1","0","0","0","0","0","0","0","0","6","1","1","0","7"
"44","Rachaad White (TB)","1","6","24","4.0","10","1.7","14","2.3","0","1","-6","0","1","0","0","0","0","11","1","2","0","2"
"45","Craig Reynolds (DET)","1","4","12","3.0","7","1.8","5","1.3","0","1","-1","0","0","0","0","0","0","8","3","3","0","7"
"46","Leonard Fournette (BUF)","1","8","19","2.4","8","1.0","11","1.4","0","1","-1","0","0","0","0","0","0","9","2","3","0","0"
"47","Jaylen Warren (PIT)","1","2","7","3.5","5","2.5","2","1.0","0","0","0","0","0","0","0","0","0","4","2","2","0","7"
"48","Mike Boone (FA)","1","4","23","5.8","20","5.0","3","0.8","0","0","0","0","1","0","0","0","0","15","0","0","0","0"
"49","Mark Ingram II (FA)","1","4","6","1.5","3","0.8","3","0.8","0","1","-1","0","0","0","0","0","0","5","3","3","1","4"
"50","Caleb Huntley (FA)","1","6","22","3.7","9","1.5","13","2.2","0","0","0","0","1","0","0","0","0","10","0","0","0","0"
"51","Patrick Ricard (BAL)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","4"
"52","Rex Burkhead (FA)","1","2","8","4.0","3","1.5","5","2.5","0","0","0","0","0","0","0","0","0","4","5","6","1","0"
"53","Chase Edmonds (TB)","1","7","17","2.4","15","2.1","2","0.3","0","1","-1","0","0","0","0","0","0","9","0","2","0","0"
"54","AJ Dillon (GB)","1","4","15","3.8","5","1.3","10","2.5","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"55","Sony Michel (FA)","1","2","5","2.5","3","1.5","2","1.0","0","0","0","0","0","0","0","0","0","4","1","3","0","7"
"56","Damien Harris (BUF)","1","3","8","2.7","3","1.0","5","1.7","0","0","0","0","0","0","0","0","0","4","1","2","0","0"
"57","Ty Johnson (BUF)","1","1","3","3.0","1","1.0","2","2.0","0","0","0","0","0","0","0","0","0","3","1","1","0","0"
"58","Samaje Perine (DEN)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","2"
"59","Trestan Ebner (FA)","1","3","8","2.7","4","1.3","4","1.3","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"60","Ameer Abdullah (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","0"
"61","Justice Hill (BAL)","1","5","26","5.2","14","2.8","12","2.4","3","0","0","0","0","0","0","0","0","9","0","0","0","0"
"62","JaMycal Hasty (NE)","1","1","6","6.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"63","Kenyan Drake (GB)","1","11","5","0.5","2","0.2","3","0.3","0","4","-6","0","0","0","0","0","0","4","0","1","1","0"
