"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Tony Pollard (DAL)","1","12","91","7.6","46","3.8","45","3.8","2","0","0","30","3","2","1","0","0","30","2","3","0","2"
"2","Christian McCaffrey (SF)","1","17","66","3.9","50","2.9","16","0.9","0","2","-6","0","1","1","1","0","0","30","8","10","2","0"
"3","Josh Jacobs (LV)","1","26","144","5.5","73","2.8","71","2.7","12","0","0","20","3","1","0","0","0","20","2","2","0","0"
"4","Cam Akers (MIN)","1","17","60","3.5","24","1.4","36","2.1","0","2","-2","6","1","0","0","0","0","13","1","1","0","0"
"5","AJ Dillon (GB)","1","18","93","5.2","74","4.1","19","1.1","1","0","0","21","2","1","0","0","0","21","3","3","0","10"
"6","D'Andre Swift (PHI)","1","14","62","4.4","55","3.9","7","0.5","0","1","-1","1","1","0","0","0","0","10","4","6","1","0"
"7","Samaje Perine (DEN)","1","21","106","5.0","55","2.6","51","2.4","2","1","-5","0","2","0","0","0","0","10","6","7","1","19"
"8","Ezekiel Elliott (NE)","1","17","77","4.5","39","2.3","38","2.2","1","1","-1","4","2","1","0","0","0","22","3","3","0","2"
"9","Dalvin Cook (NYJ)","1","20","86","4.3","76","3.8","10","0.5","0","2","-4","4","2","1","0","0","0","21","2","3","0","0"
"10","Isiah Pacheco (KC)","1","14","66","4.7","37","2.6","29","2.1","1","0","0","8","1","0","0","0","0","16","2","2","0","2"
"11","Saquon Barkley (NYG)","1","18","63","3.5","43","2.4","20","1.1","0","4","-11","13","2","1","0","0","0","21","5","5","0","5"
"12","David Montgomery (DET)","1","14","61","4.4","44","3.1","17","1.2","1","1","-5","7","0","0","0","0","0","9","4","5","0","0"
"13","Jerick McKinnon (KC)","1","8","51","6.4","30","3.8","21","2.6","0","1","-1","0","2","0","0","0","0","14","2","2","1","2"
"14","Zonovan Knight (DET)","1","15","90","6.0","77","5.1","13","0.9","0","1","-2","0","1","1","1","1","0","48","5","5","2","7"
"15","Brian Robinson Jr. (WAS)","1","21","96","4.6","74","3.5","22","1.0","1","1","-3","0","3","0","0","0","0","16","2","2","0","5"
"16","Devin Singletary (HOU)","1","13","51","3.9","31","2.4","20","1.5","0","2","-3","1","1","0","0","0","0","11","0","2","0","0"
"17","Rachaad White (TB)","1","9","28","3.1","16","1.8","12","1.3","0","0","0","0","0","0","0","0","0","6","6","8","1","9"
"18","James Cook (BUF)","1","14","64","4.6","34","2.4","30","2.1","1","0","0","0","1","1","0","0","0","28","6","6","0","5"
"19","Jonathan Taylor (IND)","1","21","82","3.9","13","0.6","69","3.3","6","3","-6","0","2","0","0","0","0","19","3","4","1","6"
"20","Miles Sanders (CAR)","1","10","24","2.4","11","1.1","13","1.3","0","1","-2","3","0","0","0","0","0","5","2","2","0","0"
"21","Dameon Pierce (HOU)","1","18","73","4.1","38","2.1","35","1.9","3","1","-2","0","1","0","0","0","0","11","3","3","0","12"
"22","Jamaal Williams (NO)","1","11","35","3.2","30","2.7","5","0.5","0","0","0","1","1","0","0","0","0","12","0","0","0","0"
"23","Najee Harris (PIT)","1","17","86","5.1","43","2.5","43","2.5","4","1","-1","0","2","0","0","0","0","14","1","1","0","7"
"24","Malik Davis (DAL)","1","3","29","9.7","24","8.0","5","1.7","0","0","0","23","1","1","0","0","0","23","0","0","0","0"
"25","Austin Ekeler (LAC)","1","10","35","3.5","23","2.3","12","1.2","0","1","-1","0","0","0","0","0","0","8","5","6","1","4"
"26","Leonard Fournette (BUF)","1","10","49","4.9","30","3.0","19","1.9","0","1","-1","0","1","0","0","0","0","10","6","7","2","13"
"27","Nick Chubb (CLE)","1","17","80","4.7","37","2.2","43","2.5","0","2","-2","0","2","1","0","0","0","21","0","1","0","0"
"28","Rhamondre Stevenson (NE)","1","10","54","5.4","14","1.4","40","4.0","3","1","-4","0","3","0","0","0","0","16","6","8","0","10"
"29","Alexander Mattison (MIN)","1","3","14","4.7","11","3.7","3","1.0","0","1","-3","14","1","0","0","0","0","14","2","2","0","1"
"30","Kareem Hunt (CLE)","1","9","56","6.2","22","2.4","34","3.8","1","1","-2","0","2","0","0","0","0","15","2","3","0","0"
"31","Kyle Juszczyk (SF)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","3","1","0"
"32","Chris Evans (CIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"33","Latavius Murray (BUF)","1","17","47","2.8","31","1.8","16","0.9","1","1","-2","0","0","0","0","0","0","7","4","4","0","2"
"34","Cordarrelle Patterson (ATL)","1","11","60","5.5","33","3.0","27","2.5","1","2","-7","0","2","1","0","0","0","22","0","0","0","0"
"35","Antonio Gibson (WAS)","1","9","39","4.3","30","3.3","9","1.0","0","0","0","0","0","0","0","0","0","7","2","4","1","0"
"36","Kenneth Gainwell (PHI)","1","3","15","5.0","13","4.3","2","0.7","0","1","-1","0","1","0","0","0","0","13","3","4","0","1"
"37","Tyler Allgeier (ATL)","1","10","52","5.2","22","2.2","30","3.0","1","0","0","0","1","1","0","0","0","20","0","0","0","0"
"38","Jordan Mason (SF)","1","8","51","6.4","39","4.9","12","1.5","1","0","0","0","2","0","0","0","0","19","0","0","0","0"
"39","Aaron Jones (GB)","1","9","26","2.9","12","1.3","14","1.6","2","4","-11","0","1","0","0","0","0","11","5","5","1","7"
"40","Mark Ingram II (FA)","1","7","27","3.9","13","1.9","14","2.0","0","0","0","0","0","0","0","0","0","7","5","5","1","6"
"41","Travis Etienne Jr. (JAC)","1","13","54","4.2","45","3.5","9","0.7","0","1","-1","0","1","0","0","0","0","13","3","3","0","0"
"42","Kenyan Drake (GB)","1","7","29","4.1","24","3.4","5","0.7","0","0","0","0","1","0","0","0","0","12","2","3","1","3"
"43","Ty Johnson (BUF)","1","1","3","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","6","7","0","0"
"44","Derrick Henry (TEN)","1","11","30","2.7","27","2.5","3","0.3","0","0","0","0","0","0","0","0","0","6","2","3","1","0"
"45","Alvin Kamara (NO)","1","12","26","2.2","11","0.9","15","1.3","0","0","0","0","0","0","0","0","0","5","2","3","2","8"
"46","DeeJay Dallas (SEA)","1","10","37","3.7","19","1.9","18","1.8","0","0","0","0","0","0","0","0","0","7","0","1","0","0"
"47","Kenneth Walker III (SEA)","1","3","36","12.0","27","9.0","9","3.0","0","0","0","0","1","1","1","0","0","30","0","1","0","0"
"48","Benny Snell Jr. (FA)","1","6","24","4.0","12","2.0","12","2.0","0","0","0","0","0","0","0","0","0","6","1","1","0","5"
"49","Tony Jones Jr. (ARI)","1","7","14","2.0","3","0.4","11","1.6","1","2","-4","0","0","0","0","0","0","7","2","4","0","0"
"50","Raheem Mostert (MIA)","1","7","30","4.3","20","2.9","10","1.4","0","0","0","0","0","0","0","0","0","8","0","0","0","0"
"51","Joshua Kelley (LAC)","1","7","30","4.3","27","3.9","3","0.4","1","0","0","0","0","0","0","0","0","7","0","1","0","0"
"52","Mike Boone (FA)","1","6","18","3.0","13","2.2","5","0.8","1","1","-1","0","1","0","0","0","0","10","1","1","0","3"
"53","Justin Jackson (FA)","1","1","4","4.0","3","3.0","1","1.0","0","0","0","0","0","0","0","0","0","4","3","5","0","10"
"54","Dare Ogunbowale (HOU)","1","2","8","4.0","4","2.0","4","2.0","0","0","0","0","0","0","0","0","0","6","2","3","0","2"
"55","Boston Scott (PHI)","1","6","16","2.7","10","1.7","6","1.0","0","1","-2","0","0","0","0","0","0","5","1","1","0","0"
"56","Darrynton Evans (MIA)","1","3","21","7.0","3","1.0","18","6.0","0","0","0","0","1","1","0","0","0","21","0","0","0","0"
"57","Jaylen Warren (PIT)","1","1","5","5.0","1","1.0","4","4.0","0","0","0","0","0","0","0","0","0","5","2","2","0","4"
"58","Zack Moss (IND)","1","3","18","6.0","8","2.7","10","3.3","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"59","Nyheim Hines (BUF)","1","2","-3","-1.5","0","0.0","0","0.0","0","1","-3","0","0","0","0","0","0","0","1","2","0","2"
"60","Caleb Huntley (FA)","1","4","17","4.3","12","3.0","5","1.3","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"61","Dontrell Hilliard (FA)","1","1","2","2.0","1","1.0","1","1.0","0","0","0","0","0","0","0","0","0","2","2","2","1","0"
"62","Alec Ingold (MIA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","4","1","1"
"63","Julius Chestnut (TEN)","1","5","13","2.6","7","1.4","6","1.2","1","1","-2","0","0","0","0","0","0","5","0","0","0","0"
"64","Gus Edwards (BAL)","1","6","12","2.0","7","1.2","5","0.8","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"65","James Robinson (NO)","1","4","10","2.5","8","2.0","2","0.5","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"66","Kyren Williams (LAR)","1","3","9","3.0","2","0.7","7","2.3","0","0","0","0","0","0","0","0","0","4","0","1","0","0"
"67","Marlon Mack (ARI)","1","2","3","1.5","2","1.0","1","0.5","0","1","-1","0","0","0","0","0","0","4","1","1","0","0"
"68","Derek Watt (FA)","1","1","4","4.0","1","1.0","3","3.0","0","0","0","0","0","0","0","0","0","4","1","1","0","0"
"69","Zamir White (LV)","1","2","6","3.0","2","1.0","4","2.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"70","Deon Jackson (NYG)","1","2","6","3.0","2","1.0","4","2.0","0","0","0","0","0","0","0","0","0","5","0","1","0","0"
"71","Snoop Conner (JAC)","1","1","6","6.0","3","3.0","3","3.0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"72","Patrick Taylor Jr. (GB)","1","1","6","6.0","4","4.0","2","2.0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"73","Justice Hill (BAL)","1","1","2","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","2","2","0","0"
"74","Ameer Abdullah (LV)","1","1","4","4.0","2","2.0","2","2.0","0","0","0","0","0","0","0","0","0","4","0","1","0","0"
"75","Matt Breida (NYG)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"76","Jeff Wilson Jr. (MIA)","1","1","3","3.0","0","0.0","3","3.0","0","0","0","0","0","0","0","0","0","3","0","2","0","0"
"77","Jerome Ford (CLE)","1","3","3","1.0","-1","-0.3","4","1.3","0","1","-1","0","0","0","0","0","0","4","0","0","0","0"
"78","Trayveon Williams (CIN)","1","1","3","3.0","1","1.0","2","2.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"79","Adam Prentice (NO)","1","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"80","Jonathan Williams (WAS)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"81","Kevin Harris (NE)","1","1","-1","-1.0","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","0","0","0","0","0"
"82","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Ke'Shawn Vaughn (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Keith Smith (ATL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jake Funk (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Godwin Igwebuike (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Corey Clement (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Royce Freeman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Isaiah Spiller (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Bryant Koback (SEA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Ronnie Rivers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Patrick Ricard (BAL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"107","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Damien Harris (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Chase Edmonds (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Rashaad Penny (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","James Conner (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
