"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Austin Ekeler (LAC)","1","10","122","12.2","39","3.9","83","8.3","3","0","0","72","3","1","1","1","1","72","4","4","1","16"
"2","Christian McCaffrey (SF)","1","19","121","6.4","78","4.1","43","2.3","0","2","-3","14","3","1","1","0","0","37","6","9","0","38"
"3","D'Andre Swift (PHI)","1","11","78","7.1","45","4.1","33","3.0","1","2","-2","17","2","1","1","0","0","35","4","4","0","4"
"4","Jamaal Williams (NO)","1","22","144","6.5","56","2.5","88","4.0","2","3","-4","2","2","1","1","1","1","58","1","1","0","4"
"5","Travis Etienne Jr. (JAC)","1","9","108","12.0","89","9.9","19","2.1","1","1","-2","62","2","2","1","1","1","62","3","3","1","0"
"6","Najee Harris (PIT)","1","22","111","5.0","50","2.3","61","2.8","3","1","-7","0","2","0","0","0","0","15","2","3","2","0"
"7","Jerick McKinnon (KC)","1","2","4","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","4","5","6","3","7"
"8","Tyler Allgeier (ATL)","1","20","83","4.2","66","3.3","17","0.9","0","3","-5","5","2","0","0","0","0","17","1","1","0","10"
"9","Josh Jacobs (LV)","1","17","69","4.1","32","1.9","37","2.2","0","1","-1","1","0","0","0","0","0","9","4","5","1","3"
"10","Raheem Mostert (MIA)","1","9","29","3.2","14","1.6","15","1.7","0","0","0","0","0","0","0","0","0","6","8","8","1","29"
"11","Cordarrelle Patterson (ATL)","1","9","42","4.7","34","3.8","8","0.9","1","2","-2","5","1","1","0","0","0","22","6","8","1","0"
"12","Kenneth Walker III (SEA)","1","23","133","5.8","118","5.1","15","0.7","0","1","-2","0","3","1","1","1","1","60","1","1","0","9"
"13","Cam Akers (MIN)","1","19","123","6.5","56","2.9","67","3.5","4","3","-6","0","2","1","1","1","0","42","1","2","0","7"
"14","Nick Chubb (CLE)","1","14","104","7.4","61","4.4","43","3.1","3","0","0","0","2","1","1","0","0","35","1","1","0","3"
"15","JaMycal Hasty (NE)","1","10","33","3.3","0","0.0","0","0.0","0","2","-6","5","1","0","0","0","0","11","6","6","0","10"
"16","Aaron Jones (GB)","1","14","111","7.9","80","5.7","31","2.2","1","1","-3","0","3","1","1","0","0","31","2","3","0","2"
"17","James Conner (ARI)","1","16","79","4.9","60","3.8","19","1.2","0","0","0","0","1","0","0","0","0","16","3","3","0","10"
"18","Isiah Pacheco (KC)","1","9","31","3.4","30","3.3","1","0.1","0","0","0","5","0","0","0","0","0","6","2","2","1","3"
"19","AJ Dillon (GB)","1","12","41","3.4","11","0.9","30","2.5","0","0","0","2","1","0","0","0","0","10","0","1","0","0"
"20","Jaylen Warren (PIT)","1","12","76","6.3","48","4.0","28","2.3","0","1","-2","0","1","1","1","0","0","31","3","3","0","5"
"21","DeeJay Dallas (SEA)","1","7","43","6.1","30","4.3","13","1.9","1","0","0","0","1","0","0","0","0","17","3","4","0","0"
"22","Ezekiel Elliott (NE)","1","19","37","1.9","9","0.5","28","1.5","1","1","-3","1","0","0","0","0","0","6","0","0","0","0"
"23","J.K. Dobbins (BAL)","1","17","93","5.5","53","3.1","40","2.4","2","1","-2","0","4","1","0","0","0","22","0","0","0","0"
"24","Brian Robinson Jr. (WAS)","1","24","87","3.6","36","1.5","51","2.1","1","1","-2","0","2","0","0","0","0","14","0","1","0","0"
"25","Malcolm Brown (FA)","1","1","23","23.0","0","0.0","0","0.0","0","0","0","23","1","1","0","0","0","23","0","0","0","0"
"26","Alvin Kamara (NO)","1","16","73","4.6","43","2.7","30","1.9","0","0","0","0","2","0","0","0","0","15","1","1","0","2"
"27","Snoop Conner (JAC)","1","5","17","3.4","15","3.0","2","0.4","0","0","0","3","0","0","0","0","0","8","0","0","0","0"
"28","Jeff Wilson Jr. (MIA)","1","15","45","3.0","25","1.7","20","1.3","0","0","0","0","1","0","0","0","0","11","3","7","0","4"
"29","Zack Moss (IND)","1","15","74","4.9","42","2.8","32","2.1","2","1","-3","0","2","0","0","0","0","12","0","0","0","0"
"30","Jordan Mason (SF)","1","2","13","6.5","7","3.5","6","3.0","0","1","-1","14","1","0","0","0","0","14","0","0","0","0"
"31","Chase Edmonds (TB)","1","7","34","4.9","0","0.0","0","0.0","0","0","0","0","1","0","0","0","0","10","3","3","0","6"
"32","Latavius Murray (BUF)","1","12","56","4.7","51","4.3","5","0.4","0","1","-1","0","2","0","0","0","0","19","4","6","0","0"
"33","Matt Breida (NYG)","1","9","59","6.6","44","4.9","15","1.7","1","0","0","0","2","0","0","0","0","18","1","1","0","5"
"34","Chuba Hubbard (CAR)","1","3","12","4.0","8","2.7","4","1.3","0","0","0","0","0","0","0","0","0","7","3","3","0","5"
"35","Malik Davis (DAL)","1","10","39","3.9","25","2.5","14","1.4","1","2","-2","0","1","1","0","0","0","23","2","2","1","10"
"36","Miles Sanders (CAR)","1","12","61","5.1","33","2.8","28","2.3","0","0","0","0","1","0","0","0","0","14","0","0","0","0"
"37","Ty Johnson (BUF)","1","8","46","5.8","26","3.3","20","2.5","1","1","-1","0","2","1","0","0","0","22","1","5","0","0"
"38","Saquon Barkley (NYG)","1","12","58","4.8","46","3.8","12","1.0","0","1","-1","0","2","0","0","0","0","19","2","4","1","0"
"39","Hassan Haskins (TEN)","1","12","40","3.3","4","0.3","36","3.0","2","0","0","0","1","0","0","0","0","12","2","3","0","3"
"40","Rhamondre Stevenson (NE)","1","8","42","5.3","20","2.5","22","2.8","1","0","0","0","1","0","0","0","0","18","2","4","0","6"
"41","Damien Harris (BUF)","1","9","31","3.4","15","1.7","16","1.8","1","0","0","0","1","0","0","0","0","11","3","3","0","6"
"42","Rachaad White (TB)","1","11","22","2.0","5","0.5","17","1.5","1","1","-1","0","0","0","0","0","0","7","5","5","1","8"
"43","Leonard Fournette (BUF)","1","10","28","2.8","12","1.2","16","1.6","0","2","-2","0","0","0","0","0","0","7","4","4","0","8"
"44","Joshua Kelley (LAC)","1","9","45","5.0","27","3.0","18","2.0","0","0","0","0","1","0","0","0","0","12","1","2","0","0"
"45","Alexander Mattison (MIN)","1","8","38","4.8","25","3.1","13","1.6","0","0","0","0","1","0","0","0","0","12","1","1","0","5"
"46","Dalvin Cook (NYJ)","1","9","27","3.0","10","1.1","17","1.9","0","2","-2","0","0","0","0","0","0","9","2","3","0","4"
"47","Zonovan Knight (DET)","1","8","27","3.4","15","1.9","12","1.5","0","2","-4","0","1","0","0","0","0","19","2","3","0","0"
"48","Royce Freeman (LAR)","1","7","19","2.7","17","2.4","2","0.3","0","0","0","0","0","0","0","0","0","5","3","5","0","3"
"49","Jordan Wilkins (FA)","1","6","23","3.8","21","3.5","2","0.3","0","0","0","0","0","0","0","0","0","7","2","2","1","6"
"50","David Montgomery (DET)","1","6","24","4.0","20","3.3","4","0.7","0","0","0","0","0","0","0","0","0","9","2","3","0","4"
"51","D'Onta Foreman (CHI)","1","13","35","2.7","12","0.9","23","1.8","0","2","-3","0","0","0","0","0","0","7","0","0","0","0"
