"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Saquon Barkley (NYG)","1","18","164","9.1","46","2.6","118","6.6","0","2","-7","4","4","2","2","1","1","68","6","7","1","0"
"2","Jonathan Taylor (IND)","1","31","161","5.2","117","3.8","44","1.4","5","4","-9","2","5","0","0","0","0","17","4","7","0","3"
"3","D'Andre Swift (PHI)","1","15","144","9.6","72","4.8","72","4.8","2","0","0","7","5","1","1","1","1","50","3","3","0","25"
"4","Cordarrelle Patterson (ATL)","1","22","120","5.5","75","3.4","45","2.0","0","1","-2","5","4","0","0","0","0","15","3","5","0","4"
"5","Clyde Edwards-Helaire (KC)","1","7","42","6.0","15","2.1","27","3.9","0","0","0","0","1","0","0","0","0","18","3","3","2","19"
"6","Kareem Hunt (CLE)","1","11","46","4.2","38","3.5","8","0.7","2","1","-1","24","1","1","0","0","0","24","4","4","1","1"
"7","Dontrell Hilliard (FA)","1","2","8","4.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","5","3","4","1","0"
"8","James Robinson (NO)","1","11","66","6.0","46","4.2","20","1.8","0","0","0","11","2","1","0","0","0","22","1","2","1","0"
"9","Miles Sanders (CAR)","1","13","96","7.4","41","3.2","55","4.2","2","2","-2","1","3","2","0","0","0","24","2","2","0","3"
"10","AJ Dillon (GB)","1","10","45","4.5","30","3.0","15","1.5","1","0","0","2","2","0","0","0","0","14","5","6","1","14"
"11","Jamaal Williams (NO)","1","11","28","2.5","15","1.4","13","1.2","1","1","-2","1","0","0","0","0","0","7","1","2","1","0"
"12","Joe Mixon (CIN)","1","27","82","3.0","68","2.5","14","0.5","1","5","-11","0","1","1","1","0","0","31","7","9","0","14"
"13","Nick Chubb (CLE)","1","22","141","6.4","100","4.5","41","1.9","2","1","-1","0","4","2","0","0","0","25","1","1","0","0"
"14","Leonard Fournette (BUF)","1","21","127","6.0","81","3.9","46","2.2","2","2","-2","0","6","0","0","0","0","17","2","2","0","3"
"15","Antonio Gibson (WAS)","1","14","58","4.1","45","3.2","13","0.9","1","1","-1","0","2","0","0","0","0","13","7","8","0","2"
"16","Isiah Pacheco (KC)","1","12","62","5.2","13","1.1","49","4.1","0","2","-5","3","3","1","0","0","0","22","0","0","0","0"
"17","Christian McCaffrey (SF)","1","10","33","3.3","14","1.4","19","1.9","1","1","-1","1","0","0","0","0","0","9","4","5","0","0"
"18","James Conner (ARI)","1","10","26","2.6","1","0.1","25","2.5","0","1","-5","2","0","0","0","0","0","8","5","6","0","10"
"19","Dalvin Cook (NYJ)","1","20","90","4.5","56","2.8","34","1.7","2","2","-3","0","2","0","0","0","0","16","3","5","0","1"
"20","Khalil Herbert (CHI)","1","9","45","5.0","32","3.6","13","1.4","1","0","0","3","2","0","0","0","0","12","1","1","0","0"
"21","Michael Carter (ARI)","1","10","60","6.0","45","4.5","15","1.5","4","0","0","0","2","1","0","0","0","22","7","9","2","5"
"22","Kenneth Gainwell (PHI)","1","5","20","4.0","9","1.8","11","2.2","0","0","0","2","0","0","0","0","0","7","2","4","1","2"
"23","Javonte Williams (DEN)","1","7","43","6.1","30","4.3","13","1.9","0","1","-1","0","3","0","0","0","0","13","11","12","3","32"
"24","Brandon Bolden (LV)","1","3","7","2.3","3","1.0","4","1.3","0","0","0","0","0","0","0","0","0","5","2","2","1","0"
"25","Najee Harris (PIT)","1","10","23","2.3","22","2.2","1","0.1","0","3","-7","0","1","0","0","0","0","11","2","2","1","1"
"26","Derrick Henry (TEN)","1","21","82","3.9","36","1.7","46","2.2","2","0","0","0","1","0","0","0","0","18","0","1","1","0"
"27","Aaron Jones (GB)","1","5","49","9.8","25","5.0","24","4.8","0","0","0","0","2","1","0","0","0","29","3","5","1","1"
"28","Ty Montgomery II (FA)","1","2","-2","-1.0","0","0.0","0","0.0","0","1","-2","0","0","0","0","0","0","0","3","4","1","3"
"29","Darrell Henderson Jr. (FA)","1","13","47","3.6","30","2.3","17","1.3","0","1","-1","0","1","0","0","0","0","18","5","5","0","5"
"30","Josh Jacobs (LV)","1","10","57","5.7","8","0.8","49","4.9","0","1","-1","0","1","0","0","0","0","18","1","1","0","6"
"31","Austin Ekeler (LAC)","1","14","36","2.6","13","0.9","23","1.6","0","2","-3","0","0","0","0","0","0","8","4","4","0","5"
"32","Rex Burkhead (FA)","1","14","40","2.9","31","2.2","9","0.6","1","2","-5","0","0","0","0","0","0","8","5","8","0","3"
"33","Boston Scott (PHI)","1","4","10","2.5","0","0.0","10","2.5","1","0","0","1","0","0","0","0","0","8","0","0","0","0"
"34","Zander Horvath (FA)","1","1","2","2.0","1","1.0","1","1.0","0","0","0","0","0","0","0","0","0","2","2","2","1","0"
"35","Rashaad Penny (PHI)","1","12","60","5.0","11","0.9","49","4.1","2","0","0","0","2","1","0","0","0","26","2","3","1","7"
"36","Chase Edmonds (TB)","1","12","25","2.1","10","0.8","15","1.3","0","2","-8","0","0","0","0","0","0","7","4","4","0","9"
"37","Travis Etienne Jr. (JAC)","1","4","47","11.8","18","4.5","29","7.3","0","0","0","0","2","1","0","0","0","27","2","4","3","0"
"38","Devin Singletary (HOU)","1","8","48","6.0","33","4.1","15","1.9","0","0","0","0","2","0","0","0","0","13","2","2","1","8"
"39","Eno Benjamin (NO)","1","4","28","7.0","3","0.8","25","6.3","1","0","0","0","1","0","0","0","0","16","3","4","0","18"
"40","Damien Harris (BUF)","1","9","48","5.3","13","1.4","35","3.9","2","0","0","0","2","0","0","0","0","12","2","3","2","6"
"41","Nyheim Hines (BUF)","1","3","4","1.3","0","0.0","4","1.3","0","1","-2","0","0","0","0","0","0","3","6","6","2","9"
"42","Melvin Gordon III (BAL)","1","12","58","4.8","29","2.4","29","2.4","1","2","-3","0","1","0","0","0","0","13","2","2","2","2"
"43","David Montgomery (DET)","1","17","26","1.5","19","1.1","7","0.4","1","2","-4","0","0","0","0","0","0","6","3","4","0","18"
"44","Jerick McKinnon (KC)","1","4","22","5.5","11","2.8","11","2.8","0","1","-2","0","1","0","0","0","0","18","3","4","0","14"
"45","Ezekiel Elliott (NE)","1","10","52","5.2","23","2.3","29","2.9","0","0","0","0","0","0","0","0","0","7","1","2","0","0"
"46","J.D. McKissic (FA)","1","3","8","2.7","6","2.0","2","0.7","0","0","0","0","0","0","0","0","0","5","3","3","0","0"
