"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Josh Jacobs (LV)","1","28","144","5.1","25","0.9","119","4.3","2","4","-11","10","3","1","1","1","0","43","5","6","0","6"
"2","Austin Ekeler (LAC)","1","13","60","4.6","43","3.3","17","1.3","0","4","-10","20","4","1","0","0","0","20","6","7","2","0"
"3","Rashaad Penny (PHI)","1","17","151","8.9","57","3.4","94","5.5","0","2","-2","41","4","3","2","1","0","41","1","1","0","0"
"4","Miles Sanders (CAR)","1","27","134","5.0","87","3.2","47","1.7","1","3","-4","10","4","1","1","0","0","35","2","3","0","3"
"5","Jamaal Williams (NO)","1","19","108","5.7","43","2.3","65","3.4","1","0","0","51","1","1","1","1","1","51","1","3","0","0"
"6","Clyde Edwards-Helaire (KC)","1","19","92","4.8","48","2.5","44","2.3","1","1","-2","3","1","1","0","0","0","20","1","2","1","0"
"7","Derrick Henry (TEN)","1","22","114","5.2","82","3.7","32","1.5","1","2","-5","19","4","0","0","0","0","19","3","5","0","0"
"8","Dameon Pierce (HOU)","1","14","131","9.4","51","3.6","80","5.7","1","1","-1","75","2","1","1","1","1","75","6","6","0","8"
"9","Nick Chubb (CLE)","1","19","118","6.2","54","2.8","64","3.4","0","1","-2","28","5","1","0","0","0","28","2","3","0","2"
"10","J.K. Dobbins (BAL)","1","13","41","3.2","18","1.4","23","1.8","0","3","-7","4","1","0","0","0","0","16","4","4","1","5"
"11","Christian McCaffrey (SF)","1","8","27","3.4","11","1.4","16","2.0","0","1","-2","0","2","0","0","0","0","10","9","9","1","31"
"12","Saquon Barkley (NYG)","1","31","146","4.7","110","3.5","36","1.2","2","2","-2","0","4","1","0","0","0","29","2","2","0","2"
"13","Damien Harris (BUF)","1","18","86","4.8","72","4.0","14","0.8","0","0","0","5","1","0","0","0","0","14","1","1","0","0"
"14","Breece Hall (NYJ)","1","17","66","3.9","52","3.1","14","0.8","0","3","-6","2","2","0","0","0","0","16","2","6","1","4"
"15","Jeff Wilson Jr. (MIA)","1","18","74","4.1","52","2.9","22","1.2","0","3","-4","32","1","1","1","0","0","32","0","0","0","0"
"16","Joe Mixon (CIN)","1","24","61","2.5","42","1.8","19","0.8","0","0","0","5","0","0","0","0","0","7","4","4","0","3"
"17","Latavius Murray (BUF)","1","11","57","5.2","42","3.8","15","1.4","0","1","-3","1","2","0","0","0","0","10","1","1","0","3"
"18","Caleb Huntley (FA)","1","10","56","5.6","31","3.1","25","2.5","0","0","0","5","1","0","0","0","0","14","0","0","0","0"
"19","Aaron Jones (GB)","1","16","110","6.9","77","4.8","33","2.1","2","0","0","0","5","1","0","0","0","20","3","4","0","2"
"20","Leonard Fournette (BUF)","1","3","-3","-1.0","0","0.0","0","0.0","0","2","-6","0","0","0","0","0","0","3","7","7","1","25"
"21","Tyler Allgeier (ATL)","1","10","84","8.4","48","4.8","36","3.6","0","0","0","0","2","1","1","1","0","42","1","1","0","7"
"22","Khalil Herbert (CHI)","1","19","77","4.1","53","2.8","24","1.3","0","0","0","0","2","0","0","0","0","15","1","1","0","5"
"23","Rex Burkhead (FA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","5","5","1","3"
"24","Cordarrelle Patterson (ATL)","1","9","38","4.2","18","2.0","20","2.2","0","3","-7","13","2","0","0","0","0","13","0","0","0","0"
"25","Rachaad White (TB)","1","3","6","2.0","4","1.3","2","0.7","0","0","0","1","0","0","0","0","0","4","5","5","0","5"
"26","Rhamondre Stevenson (NE)","1","14","66","4.7","48","3.4","18","1.3","1","1","-2","0","2","0","0","0","0","17","4","5","0","1"
"27","Dalvin Cook (NYJ)","1","20","76","3.8","48","2.4","28","1.4","2","0","0","0","2","0","0","0","0","14","2","2","1","2"
"28","AJ Dillon (GB)","1","17","73","4.3","52","3.1","21","1.2","0","0","0","0","1","0","0","0","0","13","1","2","0","1"
"29","Ezekiel Elliott (NE)","1","19","49","2.6","14","0.7","35","1.8","0","2","-4","0","0","0","0","0","0","7","2","2","0","19"
"30","Raheem Mostert (MIA)","1","15","69","4.6","44","2.9","25","1.7","0","1","-3","0","1","1","0","0","0","25","2","3","0","2"
"31","Chase Edmonds (TB)","1","5","6","1.2","4","0.8","2","0.4","0","1","-1","0","0","0","0","0","0","4","2","3","3","3"
"32","Alexander Mattison (MIN)","1","3","3","1.0","1","0.3","2","0.7","2","0","0","0","0","0","0","0","0","2","1","1","1","7"
"33","James Conner (ARI)","1","15","55","3.7","44","2.9","11","0.7","0","0","0","0","0","0","0","0","0","8","3","3","0","4"
"34","Kenneth Gainwell (PHI)","1","5","19","3.8","13","2.6","6","1.2","0","0","0","10","1","0","0","0","0","10","1","2","1","0"
"35","Devin Singletary (HOU)","1","11","49","4.5","26","2.4","23","2.1","0","2","-5","0","1","0","0","0","0","18","4","5","0","16"
"36","Najee Harris (PIT)","1","18","74","4.1","44","2.4","30","1.7","0","1","-3","0","2","0","0","0","0","16","0","0","0","0"
"37","Kareem Hunt (CLE)","1","10","49","4.9","27","2.7","22","2.2","0","0","0","0","1","1","0","0","0","20","2","3","1","9"
"38","Justin Jackson (FA)","1","2","3","1.5","1","0.5","2","1.0","0","0","0","0","0","0","0","0","0","3","2","2","1","2"
