"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Cam Akers (MIN)","1","23","118","5.1","68","3.0","50","2.2","6","0","0","4","3","1","0","0","0","21","2","2","0","16"
"2","D'Onta Foreman (CHI)","1","21","165","7.9","98","4.7","67","3.2","0","0","0","4","5","4","1","0","0","38","0","0","0","0"
"3","Austin Ekeler (LAC)","1","18","67","3.7","29","1.6","38","2.1","0","2","-2","1","1","0","0","0","0","16","4","4","1","5"
"4","Saquon Barkley (NYG)","1","14","84","6.0","54","3.9","30","2.1","2","0","0","27","1","1","0","0","0","27","8","10","0","9"
"5","Devin Singletary (HOU)","1","12","106","8.8","82","6.8","24","2.0","1","0","0","33","3","2","1","0","0","33","2","3","0","2"
"6","James Conner (ARI)","1","15","79","5.3","57","3.8","22","1.5","1","2","-2","22","3","1","0","0","0","22","7","8","0","15"
"7","Alvin Kamara (NO)","1","20","76","3.8","34","1.7","42","2.1","0","1","-3","4","1","0","0","0","0","14","2","4","0","5"
"8","James Cook (BUF)","1","11","99","9.0","81","7.4","18","1.6","0","0","0","27","3","2","0","0","0","27","1","2","0","1"
"9","Derrick Henry (TEN)","1","23","126","5.5","53","2.3","73","3.2","7","3","-8","48","4","1","1","1","0","48","2","2","0","0"
"10","Leonard Fournette (BUF)","1","20","72","3.6","40","2.0","32","1.6","0","3","-5","0","2","1","0","0","0","23","9","10","2","62"
"11","Chuba Hubbard (CAR)","1","12","125","10.4","88","7.3","37","3.1","0","1","-3","0","3","3","3","0","0","35","0","0","0","0"
"12","Ezekiel Elliott (NE)","1","16","55","3.4","54","3.4","1","0.1","0","0","0","1","1","1","0","0","0","22","1","1","0","1"
"13","Christian McCaffrey (SF)","1","15","46","3.1","22","1.5","24","1.6","0","1","-2","1","0","0","0","0","0","9","2","2","1","1"
"14","Tyler Allgeier (ATL)","1","18","74","4.1","54","3.0","20","1.1","0","1","-1","0","1","0","0","0","0","16","4","5","0","29"
"15","Rachaad White (TB)","1","7","36","5.1","20","2.9","16","2.3","0","1","-1","0","1","0","0","0","0","18","4","4","1","6"
"16","Travis Etienne Jr. (JAC)","1","22","83","3.8","61","2.8","22","1.0","0","1","-1","0","1","0","0","0","0","19","3","3","0","4"
"17","AJ Dillon (GB)","1","11","36","3.3","17","1.5","19","1.7","0","1","-3","1","1","0","0","0","0","11","2","3","0","6"
"18","Joe Mixon (CIN)","1","16","65","4.1","59","3.7","6","0.4","1","0","0","0","1","0","0","0","0","19","7","9","2","4"
"19","Kenneth Walker III (SEA)","1","26","107","4.1","49","1.9","58","2.2","1","6","-13","0","3","2","0","0","0","20","2","2","0","0"
"20","Nick Chubb (CLE)","1","24","92","3.8","54","2.3","38","1.6","0","2","-5","0","2","0","0","0","0","19","1","1","0","0"
"21","Jeff Wilson Jr. (MIA)","1","9","37","4.1","23","2.6","14","1.6","0","0","0","1","1","0","0","0","0","12","1","2","0","0"
"22","Gus Edwards (BAL)","1","11","99","9.0","62","5.6","37","3.4","0","1","-1","0","4","1","1","0","0","37","0","0","0","0"
"23","Jerick McKinnon (KC)","1","5","7","1.4","2","0.4","5","1.0","0","1","-1","0","0","0","0","0","0","5","3","3","1","9"
"24","Najee Harris (PIT)","1","16","53","3.3","22","1.4","31","1.9","0","3","-4","0","1","0","0","0","0","14","6","9","1","22"
"25","Isiah Pacheco (KC)","1","14","58","4.1","28","2.0","30","2.1","0","0","0","0","0","0","0","0","0","8","1","2","0","22"
"26","Tony Pollard (DAL)","1","9","19","2.1","0","0.0","0","0.0","0","2","-5","0","0","0","0","0","0","8","6","8","2","6"
"27","Dalvin Cook (NYJ)","1","14","64","4.6","35","2.5","29","2.1","1","2","-2","0","1","0","0","0","0","18","3","4","1","6"
"28","Raheem Blackshear (CAR)","1","3","3","1.0","0","0.0","0","0.0","0","2","-4","7","0","0","0","0","0","7","1","1","0","12"
"29","Zack Moss (IND)","1","12","65","5.4","34","2.8","31","2.6","1","0","0","0","1","0","0","0","0","14","1","1","0","5"
"30","David Montgomery (DET)","1","16","62","3.9","36","2.3","26","1.6","0","2","-8","0","2","1","0","0","0","28","4","4","1","5"
"31","Latavius Murray (BUF)","1","8","34","4.3","24","3.0","10","1.3","0","0","0","0","1","0","0","0","0","10","1","3","0","2"
"32","J.K. Dobbins (BAL)","1","12","59","4.9","52","4.3","7","0.6","1","0","0","0","2","0","0","0","0","14","0","1","1","0"
"33","Kenneth Gainwell (PHI)","1","4","17","4.3","16","4.0","1","0.3","0","0","0","0","1","0","0","0","0","11","4","4","0","6"
"34","Brian Robinson Jr. (WAS)","1","22","58","2.6","26","1.2","32","1.5","1","3","-4","0","1","0","0","0","0","10","0","1","0","0"
"35","Chase Edmonds (TB)","1","6","31","5.2","20","3.3","11","1.8","0","2","-4","0","1","1","0","0","0","25","2","2","0","2"
"36","Miles Sanders (CAR)","1","21","65","3.1","42","2.0","23","1.1","3","3","-6","0","1","0","0","0","0","13","1","1","0","0"
"37","Michael Carter (ARI)","1","2","6","3.0","3","1.5","3","1.5","0","0","0","0","0","0","0","0","0","3","5","5","0","5"
"38","Josh Jacobs (LV)","1","15","44","2.9","24","1.6","20","1.3","0","3","-10","0","2","0","0","0","0","11","1","1","0","0"
"39","Joshua Kelley (LAC)","1","9","33","3.7","15","1.7","18","2.0","0","0","0","0","1","0","0","0","0","11","1","1","0","1"
"40","DeeJay Dallas (SEA)","1","2","10","5.0","7","3.5","3","1.5","0","0","0","0","0","0","0","0","0","8","6","6","1","5"
"41","Jonathan Williams (WAS)","1","3","13","4.3","6","2.0","7","2.3","0","0","0","0","0","0","0","0","0","9","2","3","0","4"
"42","Royce Freeman (LAR)","1","16","32","2.0","23","1.4","9","0.6","1","3","-7","0","0","0","0","0","0","5","1","1","0","0"
"43","Aaron Jones (GB)","1","6","25","4.2","12","2.0","13","2.2","0","1","-3","0","1","0","0","0","0","18","2","2","1","1"
"44","Cordarrelle Patterson (ATL)","1","8","17","2.1","7","0.9","10","1.3","1","2","-4","0","0","0","0","0","0","7","1","1","0","0"
"45","Antonio Gibson (WAS)","1","5","10","2.0","2","0.4","8","1.6","0","0","0","0","0","0","0","0","0","5","2","3","0","7"
"46","Tyrion Davis-Price (SF)","1","9","30","3.3","14","1.6","16","1.8","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"47","Jaylen Warren (PIT)","1","6","23","3.8","4","0.7","19","3.2","0","1","-2","0","1","0","0","0","0","13","1","2","0","1"
"48","Avery Williams (ATL)","1","3","16","5.3","0","0.0","0","0.0","0","0","0","0","1","0","0","0","0","13","2","2","1","0"
"49","Raheem Mostert (MIA)","1","8","45","5.6","27","3.4","18","2.3","0","1","-1","0","2","0","0","0","0","17","2","3","1","4"
"50","Dare Ogunbowale (HOU)","1","8","28","3.5","17","2.1","11","1.4","0","1","-2","0","0","0","0","0","0","8","0","0","0","0"
"51","Ameer Abdullah (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","4"
