"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Jerick McKinnon (KC)","1","10","52","5.2","45","4.5","7","0.7","1","1","-3","26","1","1","0","0","0","26","8","8","0","4"
"2","Dalvin Cook (NYJ)","1","17","95","5.6","63","3.7","32","1.9","1","2","-3","0","2","1","1","1","0","40","4","4","0","24"
"3","Rhamondre Stevenson (NE)","1","19","172","9.1","159","8.4","13","0.7","1","0","0","34","5","3","1","0","0","34","2","3","0","0"
"4","Derrick Henry (TEN)","1","21","104","5.0","57","2.7","47","2.2","0","2","-2","4","4","0","0","0","0","13","4","4","1","0"
"5","Tyler Allgeier (ATL)","1","17","139","8.2","38","2.2","101","5.9","2","0","0","5","3","1","1","1","0","43","1","1","0","0"
"6","David Montgomery (DET)","1","12","53","4.4","50","4.2","3","0.3","0","0","0","9","0","0","0","0","0","9","3","3","1","0"
"7","Latavius Murray (BUF)","1","24","130","5.4","68","2.8","62","2.6","0","2","-5","10","3","2","1","0","0","35","1","1","0","2"
"8","Christian McCaffrey (SF)","1","26","108","4.2","62","2.4","46","1.8","2","1","-2","1","2","1","0","0","0","23","6","8","0","10"
"9","AJ Dillon (GB)","1","11","36","3.3","15","1.4","21","1.9","1","2","-5","8","0","0","0","0","0","8","3","3","0","12"
"10","Saquon Barkley (NYG)","1","18","87","4.8","43","2.4","44","2.4","3","1","-5","3","3","0","0","0","0","15","5","8","0","9"
"11","Aaron Jones (GB)","1","17","90","5.3","47","2.8","43","2.5","0","1","-1","0","3","0","0","0","0","14","4","5","3","5"
"12","Raheem Mostert (MIA)","1","17","136","8.0","28","1.6","108","6.4","5","0","0","0","3","1","1","1","1","67","1","2","0","4"
"13","James Conner (ARI)","1","16","63","3.9","23","1.4","40","2.5","1","0","0","1","1","0","0","0","0","14","3","5","0","2"
"14","Najee Harris (PIT)","1","24","86","3.6","59","2.5","27","1.1","3","1","-2","7","1","0","0","0","0","10","0","0","0","0"
"15","Ezekiel Elliott (NE)","1","16","58","3.6","42","2.6","16","1.0","0","3","-7","10","1","0","0","0","0","10","2","2","0","0"
"16","Austin Ekeler (LAC)","1","12","58","4.8","25","2.1","33","2.8","0","0","0","3","2","0","0","0","0","12","2","3","0","2"
"17","J.K. Dobbins (BAL)","1","13","125","9.6","64","4.9","61","4.7","0","1","-1","0","4","2","1","0","0","37","1","1","0","1"
"18","Marlon Mack (ARI)","1","5","37","7.4","25","5.0","12","2.4","0","0","0","3","1","0","0","0","0","17","4","4","0","8"
"19","Cordarrelle Patterson (ATL)","1","14","52","3.7","13","0.9","39","2.8","0","3","-6","3","1","0","0","0","0","11","1","3","0","0"
"20","Josh Jacobs (LV)","1","22","93","4.2","80","3.6","13","0.6","1","0","0","0","1","0","0","0","0","18","2","3","0","0"
"21","Jaylen Warren (PIT)","1","11","38","3.5","27","2.5","11","1.0","2","1","-1","2","0","0","0","0","0","9","1","1","1","3"
