"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Jamaal Williams (NO)","1","16","72","4.5","35","2.2","37","2.3","0","0","0","1","2","0","0","0","0","13","0","0","0","0"
"2","Nick Chubb (CLE)","1","12","77","6.4","66","5.5","11","0.9","2","0","0","0","4","0","0","0","0","15","5","6","1","0"
"3","Zack Moss (IND)","1","18","114","6.3","70","3.9","44","2.4","4","0","0","15","4","1","1","0","0","34","3","3","0","1"
"4","Alexander Mattison (MIN)","1","10","54","5.4","30","3.0","24","2.4","0","1","-1","1","3","0","0","0","0","11","1","1","0","3"
"5","Latavius Murray (BUF)","1","15","103","6.9","81","5.4","22","1.5","0","0","0","2","3","2","0","0","0","25","1","1","0","2"
"6","Elijah Mitchell (SF)","1","5","55","11.0","44","8.8","11","2.2","0","0","0","6","1","1","1","0","0","37","0","0","0","0"
"7","Christian McCaffrey (SF)","1","10","45","4.5","24","2.4","21","2.1","0","2","-3","0","2","0","0","0","0","19","3","3","1","7"
"8","Kenyan Drake (GB)","1","16","60","3.8","49","3.1","11","0.7","0","1","-1","4","1","0","0","0","0","18","2","5","1","0"
"9","Tyler Allgeier (ATL)","1","24","135","5.6","103","4.3","32","1.3","0","4","-5","0","5","1","0","0","0","28","0","0","0","0"
"10","Najee Harris (PIT)","1","23","80","3.5","70","3.0","10","0.4","1","2","-7","4","1","0","0","0","0","11","1","1","0","3"
"11","Derrick Henry (TEN)","1","30","109","3.6","50","1.7","59","2.0","1","5","-8","0","2","0","0","0","0","14","1","1","0","15"
"12","Joe Mixon (CIN)","1","11","27","2.5","0","0.0","0","0.0","0","1","-2","1","0","0","0","0","0","8","5","5","1","18"
"13","Cam Akers (MIN)","1","21","104","5.0","60","2.9","44","2.1","0","1","-5","0","2","1","1","0","0","32","3","3","1","7"
"14","Kenneth Walker III (SEA)","1","29","114","3.9","40","1.4","74","2.6","3","4","-7","0","2","1","0","0","0","20","1","1","0","7"
"15","Isiah Pacheco (KC)","1","8","64","8.0","42","5.3","22","2.8","0","0","0","1","1","1","1","0","0","31","0","0","0","0"
"16","Nyheim Hines (BUF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Boston Scott (PHI)","1","9","54","6.0","42","4.7","12","1.3","1","2","-2","8","2","1","0","0","0","21","0","0","0","0"
"18","Deon Jackson (NYG)","1","8","35","4.4","21","2.6","14","1.8","0","1","-1","0","1","0","0","0","0","13","6","8","0","4"
"19","Alvin Kamara (NO)","1","23","107","4.7","18","0.8","89","3.9","0","1","-3","0","2","1","0","0","0","22","1","2","0","3"
"20","Corey Clement (ARI)","1","8","23","2.9","13","1.6","10","1.3","0","0","0","1","0","0","0","0","0","5","3","4","0","1"
"21","Ronald Jones II (FA)","1","10","45","4.5","30","3.0","15","1.5","1","1","-1","2","1","0","0","0","0","13","0","0","0","0"
"22","D'Andre Swift (PHI)","1","6","25","4.2","31","4.4","8","1.1","0","1","-4","0","3","0","0","0","0","11","7","7","1","31"
"23","Tyler Badie (DEN)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","9"
"24","Rhamondre Stevenson (NE)","1","6","54","9.0","49","8.2","5","0.8","0","0","0","0","3","0","0","0","0","18","5","6","1","2"
"25","Cordarrelle Patterson (ATL)","1","5","18","3.6","0","0.0","0","0.0","0","0","0","2","0","0","0","0","0","8","2","3","0","0"
"26","Jaret Patterson (LAC)","1","17","78","4.6","40","2.4","38","2.2","0","0","0","0","2","0","0","0","0","14","0","1","0","0"
"27","Jeff Wilson Jr. (MIA)","1","16","72","4.5","35","2.2","37","2.3","1","2","-2","0","3","0","0","0","0","16","2","2","1","1"
"28","Chuba Hubbard (CAR)","1","21","69","3.3","24","1.1","45","2.1","0","2","-3","0","0","0","0","0","0","8","0","1","0","0"
"29","D'Onta Foreman (CHI)","1","12","68","5.7","36","3.0","32","2.7","0","0","0","0","2","1","0","0","0","21","0","0","0","0"
"30","Jerick McKinnon (KC)","1","2","6","3.0","-1","-0.5","7","3.5","1","1","-1","0","0","0","0","0","0","7","2","3","1","0"
"31","Gary Brightwell (NYG)","1","11","60","5.5","23","2.1","37","3.4","1","2","-3","0","2","1","0","0","0","25","1","3","1","0"
"32","Raheem Mostert (MIA)","1","11","71","6.5","34","3.1","37","3.4","5","1","-2","0","3","1","0","0","0","21","2","2","1","1"
"33","Derek Watt (FA)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"34","Damien Harris (BUF)","1","13","48","3.7","41","3.2","7","0.5","0","2","-10","0","2","0","0","0","0","19","1","4","1","0"
"35","James Cook (BUF)","1","9","45","5.0","37","4.1","8","0.9","2","0","0","0","1","0","0","0","0","10","2","2","0","0"
"36","Austin Ekeler (LAC)","1","11","34","3.1","23","2.1","11","1.0","0","0","0","0","1","0","0","0","0","12","4","4","0","14"
"37","Josh Jacobs (LV)","1","17","45","2.6","21","1.2","24","1.4","2","3","-4","0","2","0","0","0","0","12","2","3","0","0"
"38","Khalil Herbert (CHI)","1","10","50","5.0","38","3.8","12","1.2","0","1","-1","0","2","0","0","0","0","13","1","2","0","3"
"39","Aaron Jones (GB)","1","12","48","4.0","13","1.1","35","2.9","1","0","0","0","1","0","0","0","0","17","3","4","0","4"
"40","C.J. Ham (MIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","4","4","0","4"
"41","Chase Edmonds (TB)","1","9","45","5.0","10","1.1","35","3.9","0","1","-1","0","1","1","0","0","0","23","0","0","0","0"
"42","Jaylen Warren (PIT)","1","6","36","6.0","35","5.8","1","0.2","0","0","0","0","1","1","0","0","0","22","3","4","1","0"
"43","Kenneth Gainwell (PHI)","1","5","35","7.0","27","5.4","8","1.6","0","0","0","0","2","0","0","0","0","11","1","1","0","0"
"44","Jonathan Williams (WAS)","1","14","32","2.3","15","1.1","17","1.2","0","3","-6","0","0","0","0","0","0","9","2","2","0","0"
"45","Matt Breida (NYG)","1","4","28","7.0","25","6.3","3","0.8","0","0","0","0","1","0","0","0","0","16","7","8","0","0"
"46","Dare Ogunbowale (HOU)","1","11","33","3.0","21","1.9","12","1.1","0","1","-1","0","1","0","0","0","0","11","5","6","0","2"
"47","Travis Etienne Jr. (JAC)","1","7","17","2.4","14","2.0","3","0.4","0","0","0","0","0","0","0","0","0","7","2","2","0","2"
"48","Justice Hill (BAL)","1","7","34","4.9","27","3.9","7","1.0","0","0","0","0","1","0","0","0","0","12","0","0","0","0"
"49","Ke'Shawn Vaughn (NE)","1","8","26","3.3","25","3.1","1","0.1","0","1","-5","0","1","0","0","0","0","12","2","2","0","0"
"50","AJ Dillon (GB)","1","9","33","3.7","13","1.4","20","2.2","0","0","0","0","0","0","0","0","0","9","0","3","1","0"
"51","Miles Sanders (CAR)","1","11","33","3.0","27","2.5","6","0.5","0","1","-1","0","0","0","0","0","0","6","0","1","0","0"
"52","Kene Nwangwu (MIN)","1","5","13","2.6","5","1.0","8","1.6","0","1","-2","0","0","0","0","0","0","8","1","1","0","3"
"53","Kyle Juszczyk (SF)","1","1","3","3.0","2","2.0","1","1.0","0","0","0","0","0","0","0","0","0","3","1","1","0","13"
