"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Austin Ekeler (LAC)","1","16","173","10.8","127","7.9","46","2.9","2","1","-2","22","5","2","1","1","1","71","4","4","2","2"
"2","Leonard Fournette (BUF)","1","14","56","4.0","25","1.8","31","2.2","0","1","-2","1","2","0","0","0","0","14","10","11","1","18"
"3","Breece Hall (NYJ)","1","18","97","5.4","41","2.3","56","3.1","2","1","-5","5","4","0","0","0","0","17","2","2","0","26"
"4","Nick Chubb (CLE)","1","17","134","7.9","67","3.9","67","3.9","2","2","-4","41","5","2","1","1","0","41","0","1","0","0"
"5","Josh Jacobs (LV)","1","21","154","7.3","56","2.7","98","4.7","4","0","0","1","4","2","1","0","0","37","5","5","0","10"
"6","Derrick Henry (TEN)","1","28","102","3.6","43","1.5","59","2.1","5","2","-8","1","2","0","0","0","0","15","2","2","1","4"
"7","Dalvin Cook (NYJ)","1","18","94","5.2","66","3.7","28","1.6","2","1","-1","5","4","0","0","0","0","15","2","2","0","7"
"8","Jeff Wilson Jr. (MIA)","1","17","120","7.1","94","5.5","26","1.5","1","2","-2","1","4","2","1","1","0","41","1","2","0","3"
"9","Tevin Coleman (FA)","1","8","23","2.9","14","1.8","9","1.1","0","2","-3","5","1","0","0","0","0","14","3","3","1","4"
"10","Raheem Mostert (MIA)","1","18","113","6.3","59","3.3","54","3.0","2","1","-4","12","4","2","0","0","0","24","1","3","1","2"
"11","Rhamondre Stevenson (NE)","1","25","161","6.4","64","2.6","97","3.9","3","3","-5","0","5","2","1","1","0","49","2","2","1","11"
"12","Alvin Kamara (NO)","1","23","103","4.5","78","3.4","25","1.1","0","0","0","0","2","0","0","0","0","13","6","6","0","40"
"13","Dameon Pierce (HOU)","1","26","99","3.8","20","0.8","79","3.0","9","3","-4","1","3","1","0","0","0","20","3","5","0","1"
"14","Saquon Barkley (NYG)","1","13","70","5.4","59","4.5","11","0.8","0","0","0","2","1","1","1","1","0","40","3","6","0","21"
"15","Christian McCaffrey (SF)","1","14","54","3.9","29","2.1","25","1.8","0","1","-1","19","1","0","0","0","0","19","7","12","0","8"
"16","Michael Carter (ARI)","1","10","21","2.1","3","0.3","18","1.8","1","1","-2","1","0","0","0","0","0","8","2","2","0","3"
"17","Kenneth Walker III (SEA)","1","8","88","11.0","84","10.5","4","0.5","0","0","0","69","1","1","1","1","1","69","0","0","0","0"
"18","Tony Pollard (DAL)","1","8","86","10.8","30","3.8","56","7.0","2","0","0","57","1","1","1","1","1","57","0","0","0","0"
"19","Joshua Kelley (LAC)","1","10","49","4.9","27","2.7","22","2.2","1","0","0","5","2","0","0","0","0","16","2","2","0","0"
"20","David Montgomery (DET)","1","12","20","1.7","5","0.4","15","1.3","1","2","-9","9","0","0","0","0","0","9","4","4","0","30"
"21","Kareem Hunt (CLE)","1","11","47","4.3","18","1.6","29","2.6","0","1","-4","2","2","0","0","0","0","17","3","3","1","1"
"22","Travis Etienne Jr. (JAC)","1","10","71","7.1","53","5.3","18","1.8","0","2","-4","0","2","1","1","0","0","30","3","5","0","0"
"23","Eno Benjamin (NO)","1","8","25","3.1","20","2.5","5","0.6","0","2","-5","11","1","0","0","0","0","11","3","4","1","4"
"24","Melvin Gordon III (BAL)","1","15","54","3.6","25","1.7","29","1.9","1","2","-3","0","1","0","0","0","0","17","3","3","0","3"
"25","Craig Reynolds (DET)","1","6","24","4.0","9","1.5","15","2.5","0","1","-7","0","1","0","0","0","0","19","3","3","0","8"
"26","Deon Jackson (NYG)","1","13","62","4.8","42","3.2","20","1.5","0","2","-2","0","3","0","0","0","0","17","4","4","1","17"
"27","James Cook (BUF)","1","4","31","7.8","17","4.3","14","3.5","0","1","-1","24","1","1","0","0","0","24","0","0","0","0"
"28","Joe Mixon (CIN)","1","14","78","5.6","55","3.9","23","1.6","2","1","-2","0","3","0","0","0","0","12","3","3","1","0"
"29","Mike Boone (FA)","1","7","38","5.4","27","3.9","11","1.6","0","0","0","0","1","0","0","0","0","18","3","3","0","4"
"30","Dontrell Hilliard (FA)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","4","5","1","3"
"31","Avery Williams (ATL)","1","3","11","3.7","7","2.3","4","1.3","0","0","0","8","0","0","0","0","0","8","2","2","0","2"
