"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Rhamondre Stevenson (NE)","1","19","76","4.0","41","2.2","35","1.8","4","0","0","31","1","1","1","0","0","31","4","5","2","0"
"2","Kenyan Drake (GB)","1","10","119","11.9","99","9.9","20","2.0","0","0","0","30","4","3","2","0","0","30","1","2","0","0"
"3","Breece Hall (NYJ)","1","20","116","5.8","88","4.4","28","1.4","0","2","-6","34","4","1","1","0","0","34","2","2","0","0"
"4","Deon Jackson (NYG)","1","12","42","3.5","26","2.2","16","1.3","1","0","0","3","1","0","0","0","0","11","10","10","1","40"
"5","Kenneth Walker III (SEA)","1","21","97","4.6","48","2.3","49","2.3","5","4","-9","11","4","2","1","0","0","34","2","3","0","4"
"6","Leonard Fournette (BUF)","1","21","63","3.0","26","1.2","37","1.8","1","3","-6","0","1","0","0","0","0","13","6","6","1","19"
"7","Christian McCaffrey (SF)","1","13","69","5.3","45","3.5","24","1.8","2","0","0","0","2","0","0","0","0","17","7","8","1","59"
"8","Saquon Barkley (NYG)","1","22","83","3.8","38","1.7","45","2.0","1","1","-2","1","0","0","0","0","0","8","3","3","0","0"
"9","Ezekiel Elliott (NE)","1","13","81","6.2","47","3.6","34","2.6","1","0","0","14","3","0","0","0","0","14","1","1","0","0"
"10","Dalvin Cook (NYJ)","1","13","77","5.9","16","1.2","61","4.7","1","1","-1","53","1","1","1","1","1","53","1","1","1","0"
"11","Austin Ekeler (LAC)","1","14","36","2.6","15","1.1","21","1.5","0","3","-3","6","1","0","0","0","0","11","10","16","2","22"
"12","Miles Sanders (CAR)","1","18","71","3.9","47","2.6","24","1.3","2","2","-3","5","1","0","0","0","0","13","1","1","0","0"
"13","Joe Mixon (CIN)","1","8","45","5.6","23","2.9","22","2.8","1","0","0","0","1","0","0","0","0","10","4","6","2","11"
"14","Alvin Kamara (NO)","1","19","99","5.2","57","3.0","42","2.2","3","2","-3","0","3","1","0","0","0","24","6","9","4","6"
"15","Brian Robinson Jr. (WAS)","1","17","60","3.5","33","1.9","27","1.6","2","1","-2","1","1","0","0","0","0","16","0","0","0","0"
"16","Darrell Henderson Jr. (FA)","1","12","43","3.6","21","1.8","22","1.8","1","0","0","2","1","0","0","0","0","16","2","3","2","1"
"17","JaMycal Hasty (NE)","1","3","57","19.0","0","0.0","0","0.0","0","1","-5","61","1","1","1","1","1","61","1","1","0","0"
"18","Najee Harris (PIT)","1","14","42","3.0","15","1.1","27","1.9","3","2","-5","0","1","0","0","0","0","14","2","3","1","0"
"19","Travis Etienne Jr. (JAC)","1","10","86","8.6","60","6.0","26","2.6","0","3","-6","0","2","2","1","1","0","48","2","2","0","0"
"20","Devin Singletary (HOU)","1","17","85","5.0","62","3.6","23","1.4","1","2","-3","0","2","0","0","0","0","14","4","5","2","7"
"21","David Montgomery (DET)","1","15","67","4.5","29","1.9","38","2.5","0","0","0","0","1","0","0","0","0","13","1","1","0","0"
"22","Khalil Herbert (CHI)","1","7","74","10.6","5","0.7","69","9.9","1","0","0","0","1","1","1","1","1","63","0","0","0","0"
"23","Nick Chubb (CLE)","1","12","56","4.7","49","4.1","7","0.6","0","1","-2","0","1","0","0","0","0","18","1","2","0","10"
"24","Eno Benjamin (NO)","1","15","37","2.5","18","1.2","19","1.3","4","2","-4","0","0","0","0","0","0","6","3","3","0","11"
"25","Latavius Murray (BUF)","1","15","66","4.4","29","1.9","37","2.5","0","1","-1","0","1","0","0","0","0","14","1","1","0","0"
"26","Caleb Huntley (FA)","1","16","59","3.7","31","1.9","28","1.8","0","0","0","0","1","0","0","0","0","16","0","0","0","0"
"27","Mark Ingram II (FA)","1","9","46","5.1","28","3.1","18","2.0","1","1","-1","0","2","0","0","0","0","14","1","2","0","0"
"28","James Robinson (NO)","1","12","54","4.5","40","3.3","14","1.2","0","0","0","0","2","0","0","0","0","14","1","1","0","0"
"29","Antonio Gibson (WAS)","1","5","35","7.0","30","6.0","5","1.0","0","0","0","0","1","0","0","0","0","18","3","4","0","6"
"30","AJ Dillon (GB)","1","10","41","4.1","35","3.5","6","0.6","0","1","-2","0","1","0","0","0","0","19","4","6","0","0"
"31","Tony Pollard (DAL)","1","11","44","4.0","27","2.5","17","1.5","1","0","0","0","1","0","0","0","0","15","2","3","0","0"
"32","Tyler Allgeier (ATL)","1","15","51","3.4","25","1.7","26","1.7","0","1","-1","0","0","0","0","0","0","8","0","0","0","0"
"33","Raheem Mostert (MIA)","1","14","49","3.5","30","2.1","19","1.4","0","2","-2","0","1","0","0","0","0","16","1","2","0","0"
"34","Michael Carter (ARI)","1","6","41","6.8","31","5.2","10","1.7","0","0","0","0","1","1","0","0","0","25","1","1","0","3"
"35","Aaron Jones (GB)","1","9","19","2.1","11","1.2","8","0.9","0","1","-5","0","0","0","0","0","0","7","3","4","0","1"
"36","Sony Michel (FA)","1","8","28","3.5","7","0.9","21","2.6","2","0","0","0","0","0","0","0","0","7","3","3","0","4"
"37","Kyle Juszczyk (SF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","4","4","0","2"
"38","Clyde Edwards-Helaire (KC)","1","9","33","3.7","26","2.9","7","0.8","0","0","0","0","1","0","0","0","0","11","0","0","0","0"
"39","Phillip Lindsay (FA)","1","3","7","2.3","5","1.7","2","0.7","0","0","0","0","0","0","0","0","0","3","3","3","0","0"
"40","Chase Edmonds (TB)","1","2","3","1.5","1","0.5","2","1.0","0","0","0","0","0","0","0","0","0","2","2","2","1","3"
"41","Jerick McKinnon (KC)","1","2","1","0.5","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","3","3","0","0"
"42","Malcolm Brown (FA)","1","7","15","2.1","9","1.3","6","0.9","1","2","-4","0","1","0","0","0","0","10","1","1","0","0"
"43","Kenneth Gainwell (PHI)","1","5","25","5.0","18","3.6","7","1.4","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"44","Rachaad White (TB)","1","4","12","3.0","4","1.0","8","2.0","1","0","0","0","0","0","0","0","0","8","3","4","2","4"
"45","J.D. McKissic (FA)","1","2","20","10.0","14","7.0","6","3.0","0","0","0","0","1","0","0","0","0","16","0","3","0","0"
"46","D'Onta Foreman (CHI)","1","5","19","3.8","12","2.4","7","1.4","0","0","0","0","0","0","0","0","0","8","0","0","0","0"
"47","Isiah Pacheco (KC)","1","2","9","4.5","6","3.0","3","1.5","0","0","0","0","0","0","0","0","0","5","2","2","0","0"
"48","Reggie Gilliam (BUF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","3","0","0"
"49","Boston Scott (PHI)","1","6","16","2.7","13","2.2","3","0.5","0","1","-3","0","0","0","0","0","0","8","0","0","0","0"
"50","Samaje Perine (DEN)","1","2","5","2.5","4","2.0","1","0.5","0","0","0","0","0","0","0","0","0","5","2","2","1","6"
"51","J.K. Dobbins (BAL)","1","7","15","2.1","7","1.0","8","1.1","0","2","-3","0","0","0","0","0","0","6","0","0","0","0"
"52","Ronnie Rivers (LAR)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","1","6"
"53","Alec Ingold (MIA)","1","1","2","2.0","1","1.0","1","1.0","0","0","0","0","0","0","0","0","0","2","2","2","0","2"
"54","Kareem Hunt (CLE)","1","4","12","3.0","4","1.0","8","2.0","1","0","0","0","0","0","0","0","0","9","0","1","0","0"
"55","Matt Breida (NYG)","1","3","-6","-2.0","0","0.0","0","0.0","0","2","-7","0","0","0","0","0","0","1","2","2","0","0"
"56","Keith Smith (ATL)","1","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","1","1","0","5"
"57","D'Ernest Johnson (JAC)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","0"
"58","James Cook (BUF)","1","2","8","4.0","4","2.0","4","2.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"59","Melvin Gordon III (BAL)","1","3","8","2.7","3","1.0","5","1.7","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"60","Avery Williams (ATL)","1","2","6","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","1","1","0","2"
"61","Keaontay Ingram (KC)","1","3","7","2.3","1","0.3","6","2.0","0","1","-3","0","0","0","0","0","0","7","0","0","0","0"
"62","Chuba Hubbard (CAR)","1","2","6","3.0","3","1.5","3","1.5","0","0","0","0","0","0","0","0","0","4","1","1","0","1"
"63","Pierre Strong Jr. (CLE)","1","1","5","5.0","3","3.0","2","2.0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"64","Jeff Wilson Jr. (MIA)","1","7","25","3.6","16","2.3","9","1.3","0","0","0","0","0","0","0","0","0","9","0","1","0","0"
"65","Kevin Harris (NE)","1","3","5","1.7","3","1.0","2","0.7","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"66","Mike Boone (FA)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","1","4","1","3"
"67","Alexander Mattison (MIN)","1","1","3","3.0","1","1.0","2","2.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"68","Tevin Coleman (FA)","1","4","3","0.8","-1","-0.3","4","1.0","0","2","-3","0","0","0","0","0","0","5","0","0","0","0"
"69","C.J. Ham (MIN)","1","1","3","3.0","2","2.0","1","1.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"70","Jaylen Warren (PIT)","1","2","2","1.0","0","0.0","2","1.0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"71","DeeJay Dallas (SEA)","1","2","1","0.5","0","0.0","1","0.5","1","1","-1","0","0","0","0","0","0","2","0","0","0","0"
"72","Darrynton Evans (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Jake Funk (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Ke'Shawn Vaughn (NE)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Chris Evans (CIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Royce Freeman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Khari Blasingame (CHI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Corey Clement (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Cullen Gillaspia (FA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","John Lovett (FA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Snoop Conner (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Isaiah Spiller (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Gus Edwards (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Kyren Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
