"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Khalil Herbert (CHI)","1","20","157","7.9","74","3.7","83","4.2","4","2","-6","11","6","1","1","1","1","52","2","2","0","2"
"2","Jamaal Williams (NO)","1","20","87","4.4","53","2.7","34","1.7","0","2","-6","13","4","0","0","0","0","15","2","2","0","11"
"3","Cordarrelle Patterson (ATL)","1","17","141","8.3","104","6.1","37","2.2","0","0","0","17","4","1","1","1","0","40","1","1","0","0"
"4","Derrick Henry (TEN)","1","20","85","4.3","31","1.6","54","2.7","4","2","-6","1","4","1","0","0","0","24","5","6","1","7"
"5","Saquon Barkley (NYG)","1","14","81","5.8","26","1.9","55","3.9","1","1","-1","36","1","1","1","0","0","36","4","4","0","17"
"6","James Robinson (NO)","1","17","100","5.9","87","5.1","13","0.8","1","1","-1","50","3","2","1","1","1","50","3","3","0","1"
"7","Nick Chubb (CLE)","1","23","113","4.9","36","1.6","77","3.3","4","2","-7","1","3","1","1","0","0","36","0","1","0","0"
"8","Dameon Pierce (HOU)","1","20","80","4.0","17","0.9","63","3.2","1","3","-9","1","1","1","0","0","0","24","2","2","0","6"
"9","Rhamondre Stevenson (NE)","1","12","73","6.1","38","3.2","35","2.9","3","1","-3","1","3","0","0","0","0","18","4","5","0","15"
"10","Devin Singletary (HOU)","1","9","13","1.4","3","0.3","10","1.1","0","3","-6","0","0","0","0","0","0","6","9","11","2","11"
"11","Chase Edmonds (TB)","1","6","21","3.5","12","2.0","9","1.5","0","0","0","3","0","0","0","0","0","8","1","1","0","0"
"12","Dalvin Cook (NYJ)","1","17","96","5.6","60","3.5","36","2.1","2","1","-2","4","3","0","0","0","0","13","0","0","0","0"
"13","Ezekiel Elliott (NE)","1","15","73","4.9","39","2.6","34","2.3","2","1","-2","1","1","1","0","0","0","27","1","1","0","0"
"14","Samaje Perine (DEN)","1","9","47","5.2","31","3.4","16","1.8","1","0","0","0","0","0","0","0","0","7","2","2","1","0"
"15","Melvin Gordon III (BAL)","1","12","26","2.2","3","0.3","23","1.9","0","2","-9","1","0","0","0","0","0","6","5","6","0","3"
"16","Christian McCaffrey (SF)","1","25","108","4.3","63","2.5","45","1.8","0","0","0","0","2","0","0","0","0","18","2","4","0","4"
"17","Damien Harris (BUF)","1","11","41","3.7","23","2.1","18","1.6","2","0","0","2","1","0","0","0","0","10","2","3","2","4"
"18","Tony Pollard (DAL)","1","13","105","8.1","57","4.4","48","3.7","1","0","0","0","4","1","1","1","0","46","0","1","1","0"
"19","Alexander Mattison (MIN)","1","7","28","4.0","17","2.4","11","1.6","1","1","-2","6","0","0","0","0","0","9","1","1","0","0"
"20","Cam Akers (MIN)","1","12","61","5.1","41","3.4","20","1.7","0","3","-5","14","3","0","0","0","0","14","0","0","0","0"
"21","Najee Harris (PIT)","1","15","56","3.7","29","1.9","27","1.8","2","0","0","5","2","0","0","0","0","10","3","3","0","5"
"22","Antonio Gibson (WAS)","1","12","38","3.2","9","0.8","29","2.4","1","2","-13","1","1","0","0","0","0","11","1","1","0","2"
"23","Clyde Edwards-Helaire (KC)","1","7","0","0.0","-6","-0.9","6","0.9","1","2","-6","1","0","0","0","0","0","4","5","5","1","2"
"24","Josh Jacobs (LV)","1","13","66","5.1","41","3.2","25","1.9","0","0","0","0","3","0","0","0","0","13","5","5","0","6"
"25","Breece Hall (NYJ)","1","8","39","4.9","28","3.5","11","1.4","1","1","-1","0","1","0","0","0","0","16","6","11","1","12"
