"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Tony Pollard (DAL)","1","15","80","5.3","43","2.9","37","2.5","0","2","-3","0","3","1","0","0","0","20","6","6","1","0"
"2","Samaje Perine (DEN)","1","11","30","2.7","15","1.4","15","1.4","0","1","-2","0","0","0","0","0","0","8","4","4","2","17"
"3","Jamaal Williams (NO)","1","17","64","3.8","41","2.4","23","1.4","0","1","-2","4","2","0","0","0","0","15","0","0","0","0"
"4","Najee Harris (PIT)","1","20","90","4.5","39","2.0","51","2.6","1","1","-2","19","2","0","0","0","0","19","4","6","1","5"
"5","Derrick Henry (TEN)","1","28","87","3.1","42","1.5","45","1.6","5","2","-3","4","0","0","0","0","0","9","2","2","0","4"
"6","David Montgomery (DET)","1","17","67","3.9","37","2.2","30","1.8","0","0","0","2","1","0","0","0","0","15","3","4","0","10"
"7","Ezekiel Elliott (NE)","1","15","42","2.8","30","2.0","12","0.8","1","0","0","1","0","0","0","0","0","8","1","1","0","0"
"8","Austin Ekeler (LAC)","1","19","83","4.4","56","2.9","27","1.4","0","1","-1","1","0","0","0","0","0","9","2","2","0","0"
"9","Josh Jacobs (LV)","1","24","109","4.5","68","2.8","41","1.7","0","2","-2","0","3","0","0","0","0","15","3","4","1","0"
"10","Devin Singletary (HOU)","1","18","86","4.8","47","2.6","39","2.2","3","1","-3","5","3","0","0","0","0","18","2","2","0","0"
"11","Jonathan Taylor (IND)","1","22","84","3.8","37","1.7","47","2.1","3","2","-5","1","2","1","0","0","0","28","3","4","0","1"
"12","Latavius Murray (BUF)","1","17","49","2.9","39","2.3","10","0.6","0","2","-5","1","1","0","0","0","0","12","4","4","0","0"
"13","James Conner (ARI)","1","14","42","3.0","12","0.9","30","2.1","0","3","-3","2","1","0","0","0","0","14","2","5","0","8"
"14","Isiah Pacheco (KC)","1","15","107","7.1","83","5.5","24","1.6","0","1","-1","0","2","1","0","0","0","28","0","0","0","0"
"15","Christian McCaffrey (SF)","1","7","39","5.6","19","2.7","20","2.9","0","0","0","0","1","1","0","0","0","20","7","7","0","24"
"16","Antonio Gibson (WAS)","1","18","72","4.0","43","2.4","29","1.6","0","1","-4","0","2","0","0","0","0","18","3","3","0","7"
"17","Cordarrelle Patterson (ATL)","1","10","52","5.2","27","2.7","25","2.5","1","1","-1","0","1","0","0","0","0","17","2","2","0","2"
"18","Damien Harris (BUF)","1","8","65","8.1","47","5.9","18","2.3","0","2","-4","0","2","2","1","0","0","30","2","2","0","6"
"19","D'Andre Swift (PHI)","1","5","20","4.0","13","2.6","7","1.4","0","1","-2","4","1","0","0","0","0","16","3","3","1","2"
"20","Alvin Kamara (NO)","1","12","42","3.5","24","2.0","18","1.5","0","1","-1","0","1","0","0","0","0","11","4","5","0","0"
"21","Matt Breida (NYG)","1","3","13","4.3","7","2.3","6","2.0","0","0","0","3","0","0","0","0","0","5","1","1","0","0"
"22","James Cook (BUF)","1","11","86","7.8","64","5.8","22","2.0","0","1","-2","0","3","1","0","0","0","29","0","1","0","0"
"23","Rhamondre Stevenson (NE)","1","15","26","1.7","19","1.3","7","0.5","0","2","-4","0","0","0","0","0","0","5","6","6","0","32"
"24","Aaron Jones (GB)","1","12","40","3.3","19","1.6","21","1.8","3","3","-6","0","1","0","0","0","0","14","6","7","0","10"
"25","Dontrell Hilliard (FA)","1","1","4","4.0","2","2.0","2","2.0","0","0","0","0","0","0","0","0","0","4","1","1","1","0"
"26","Justin Jackson (FA)","1","9","66","7.3","30","3.3","36","4.0","1","0","0","0","2","1","0","0","0","27","1","1","1","1"
"27","Dalvin Cook (NYJ)","1","11","72","6.5","59","5.4","13","1.2","0","0","0","0","3","0","0","0","0","17","0","1","0","0"
"28","Melvin Gordon III (BAL)","1","8","31","3.9","25","3.1","6","0.8","0","1","-1","0","1","0","0","0","0","10","5","5","0","0"
"29","Nick Chubb (CLE)","1","14","19","1.4","-12","-0.9","31","2.2","2","6","-18","0","1","0","0","0","0","12","3","3","0","18"
"30","Tyler Allgeier (ATL)","1","8","55","6.9","32","4.0","23","2.9","1","0","0","0","2","1","0","0","0","26","1","1","0","2"
"31","Joe Mixon (CIN)","1","7","20","2.9","7","1.0","13","1.9","0","1","-2","0","0","0","0","0","0","7","3","3","0","11"
"32","Cam Akers (MIN)","1","14","61","4.4","31","2.2","30","2.1","1","0","0","0","1","0","0","0","0","13","0","0","0","0"
"33","Elijah Mitchell (SF)","1","9","59","6.6","36","4.0","23","2.6","1","1","-1","0","1","0","0","0","0","19","0","0","0","0"
"34","Brian Robinson Jr. (WAS)","1","15","57","3.8","32","2.1","25","1.7","0","2","-3","0","2","0","0","0","0","14","0","0","0","0"
"35","Kareem Hunt (CLE)","1","5","32","6.4","17","3.4","15","3.0","0","0","0","0","1","0","0","0","0","11","2","2","0","5"
"36","Kenyan Drake (GB)","1","10","46","4.6","39","3.9","7","0.7","0","2","-5","0","1","1","0","0","0","29","2","4","0","0"
"37","Miles Sanders (CAR)","1","13","47","3.6","31","2.4","16","1.2","0","1","-1","0","1","0","0","0","0","10","1","1","0","0"
"38","Kyren Williams (LAR)","1","7","36","5.1","21","3.0","15","2.1","0","1","-1","0","1","0","0","0","0","17","1","2","1","8"
"39","Justice Hill (BAL)","1","7","30","4.3","22","3.1","8","1.1","0","0","0","0","1","0","0","0","0","11","3","3","0","0"
"40","Saquon Barkley (NYG)","1","15","22","1.5","9","0.6","13","0.9","0","3","-5","0","0","0","0","0","0","4","2","5","0","2"
"41","Malik Davis (DAL)","1","7","13","1.9","12","1.7","1","0.1","1","3","-5","0","0","0","0","0","0","9","2","3","0","0"
"42","Chuba Hubbard (CAR)","1","4","0","0.0","-1","-0.3","1","0.3","0","1","-3","0","0","0","0","0","0","2","2","3","0","0"
"43","D'Onta Foreman (CHI)","1","11","24","2.2","15","1.4","9","0.8","0","1","-3","0","1","0","0","0","0","10","0","1","0","0"
"44","AJ Dillon (GB)","1","6","13","2.2","7","1.2","6","1.0","0","1","-2","0","0","0","0","0","0","5","1","1","0","0"
"45","Isaiah Spiller (LAC)","1","4","11","2.8","5","1.3","6","1.5","0","1","-2","0","1","0","0","0","0","11","2","2","0","0"
"46","Keaontay Ingram (KC)","1","5","19","3.8","10","2.0","9","1.8","0","1","-1","0","1","0","0","0","0","13","0","0","0","0"
"47","Michael Carter (ARI)","1","8","19","2.4","13","1.6","6","0.8","0","0","0","0","0","0","0","0","0","8","1","2","0","0"
"48","Dameon Pierce (HOU)","1","10","8","0.8","3","0.3","5","0.5","0","3","-6","0","0","0","0","0","0","3","2","3","0","0"
"49","Raheem Blackshear (CAR)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","3","0","1"
"50","Jordan Mason (SF)","1","4","14","3.5","2","0.5","12","3.0","1","0","0","0","0","0","0","0","0","8","0","0","0","0"
"51","Boston Scott (PHI)","1","3","8","2.7","7","2.3","1","0.3","0","0","0","0","0","0","0","0","0","3","2","2","0","3"
"52","Deon Jackson (NYG)","1","1","7","7.0","2","2.0","5","5.0","0","0","0","0","0","0","0","0","0","7","4","4","0","1"
"53","James Robinson (NO)","1","7","10","1.4","9","1.3","1","0.1","2","2","-3","0","0","0","0","0","0","5","0","0","0","0"
"54","Darrell Henderson Jr. (FA)","1","2","9","4.5","7","3.5","2","1.0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"55","Clyde Edwards-Helaire (KC)","1","2","9","4.5","8","4.0","1","0.5","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"56","Jaylen Warren (PIT)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"57","Alexander Mattison (MIN)","1","2","0","0.0","0","0.0","0","0.0","0","1","-3","0","0","0","0","0","0","3","1","1","0","0"
"58","Trestan Ebner (FA)","1","6","8","1.3","0","0.0","8","1.3","0","3","-5","0","0","0","0","0","0","6","0","1","0","0"
"59","David Johnson (FA)","1","1","-4","-4.0","0","0.0","0","0.0","0","1","-4","0","0","0","0","0","0","0","1","1","0","0"
"60","Zack Moss (IND)","1","2","7","3.5","2","1.0","5","2.5","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"61","Trayveon Williams (CIN)","1","2","7","3.5","3","1.5","4","2.0","0","1","-1","0","0","0","0","0","0","8","0","1","0","0"
"62","Caleb Huntley (FA)","1","1","4","4.0","3","3.0","1","1.0","0","0","0","0","0","0","0","0","0","4","1","1","0","1"
"63","Kene Nwangwu (MIN)","1","4","1","0.3","-1","-0.3","2","0.5","0","1","-3","0","0","0","0","0","0","4","1","1","0","0"
"64","Chase Edmonds (TB)","1","2","6","3.0","4","2.0","2","1.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"65","Dare Ogunbowale (HOU)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","4"
"66","Ameer Abdullah (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","4","0","0"
"67","Ty Johnson (BUF)","1","4","4","1.0","0","0.0","4","1.0","0","2","-7","0","0","0","0","0","0","7","0","1","0","0"
"68","Kyle Juszczyk (SF)","1","1","4","4.0","2","2.0","2","2.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"69","Brandon Bolden (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"70","Jerick McKinnon (KC)","1","6","24","4.0","17","2.8","7","1.2","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"71","Patrick Ricard (BAL)","1","1","4","4.0","3","3.0","1","1.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"72","Zander Horvath (FA)","1","1","3","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"73","Sony Michel (FA)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"74","Mike Davis (FA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"75","Nyheim Hines (BUF)","1","1","-8","-8.0","0","0.0","0","0.0","0","1","-8","0","0","0","0","0","0","0","0","1","1","0"
"76","Avery Williams (ATL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","Godwin Igwebuike (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Jake Funk (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","Patrick Taylor Jr. (GB)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Ke'Shawn Vaughn (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Keith Smith (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Corey Clement (ARI)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Ben Mason (FA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Brittain Brown (LV)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Royce Freeman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Spencer Brown (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Darrynton Evans (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Snoop Conner (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Gus Edwards (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
