"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Khalil Herbert (CHI)","20","157","7.9","52","4","2","2","2","12","6.0","0","0","1","28.9","28.9","48.8%"
"2","Jamaal Williams (NO)","20","87","4.4","15","0","2","2","2","20","10.0","0","0","1","22.7","22.7","17.5%"
"3","Cordarrelle Patterson (ATL)","17","141","8.3","40","3","1","1","1","12","12.0","0","0","1","21.3","21.3","2.0%"
"4","Derrick Henry (TEN)","20","85","4.3","24","1","1","5","6","58","11.6","0","0","1","20.3","20.3","99.8%"
"5","Saquon Barkley (NYG)","14","81","5.8","36","2","1","4","4","45","11.3","0","0","1","18.6","18.6","100.0%"
"6","James Robinson (NO)","17","100","5.9","50","5","1","3","3","16","5.3","0","0","1","17.6","17.6","0.1%"
"7","Nick Chubb (CLE)","23","113","4.9","36","2","1","0","1","0","0","0","0","1","17.3","17.3","22.1%"
"8","Rhamondre Stevenson (NE)","12","73","6.1","18","0","1","4","5","28","7.0","0","0","1","16.1","16.1","89.5%"
"9","Dameon Pierce (HOU)","20","80","4.0","24","1","1","2","2","21","10.5","0","0","1","16.1","16.1","62.0%"
"10","Devin Singletary (HOU)","9","13","1.4","6","0","0","9","11","78","8.7","1","0","1","15.1","15.1","73.8%"
"11","Chase Edmonds (TB)","6","21","3.5","8","0","2","1","1","6","6.0","0","0","1","14.7","14.7","1.0%"
"12","Dalvin Cook (NYJ)","17","96","5.6","13","0","1","0","0","0","0","0","1","1","13.6","13.6","23.0%"
"13","Ezekiel Elliott (NE)","15","73","4.9","27","1","1","1","1","2","2.0","0","0","1","13.5","13.5","81.3%"
"14","Samaje Perine (DEN)","9","47","5.2","7","0","0","2","2","14","7.0","1","0","1","12.1","12.1","28.2%"
"15","Christian McCaffrey (SF)","25","108","4.3","18","0","0","2","4","7","3.5","0","0","1","11.5","11.5","100.0%"
"16","Melvin Gordon III (BAL)","12","26","2.2","6","0","1","5","6","29","5.8","0","0","1","11.5","11.5","0.1%"
"17","Damien Harris (BUF)","11","41","3.7","10","0","1","2","3","5","2.5","0","0","1","10.6","10.6","7.1%"
"18","Tony Pollard (DAL)","13","105","8.1","46","3","0","0","1","0","0","0","0","1","10.5","10.5","99.8%"
"19","Alexander Mattison (MIN)","7","28","4.0","9","0","1","1","1","16","16.0","0","0","1","10.4","10.4","81.8%"
"20","Cam Akers (MIN)","12","61","5.1","14","0","1","0","0","0","0","0","1","1","10.1","10.1","20.5%"
"21","Najee Harris (PIT)","15","56","3.7","10","0","1","3","3","5","1.7","0","1","1","10.1","10.1","92.9%"
"22","Antonio Gibson (WAS)","12","38","3.2","11","0","1","1","1","2","2.0","0","0","1","10.0","10.0","58.3%"
