"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jamaal Williams (NO)","16","72","4.5","13","0","2","0","0","0","0","0","0","1","19.2","19.2","17.5%"
"2","Nick Chubb (CLE)","12","77","6.4","15","0","0","5","6","45","9.0","1","0","1","18.2","18.2","22.1%"
"3","Zack Moss (IND)","18","114","6.3","34","2","1","3","3","7","2.3","0","0","1","18.1","18.1","88.9%"
"4","Alexander Mattison (MIN)","10","54","5.4","11","0","2","1","1","6","6.0","0","0","1","18.0","18.0","81.8%"
"5","Latavius Murray (BUF)","15","103","6.9","25","2","1","1","1","15","15.0","0","0","1","17.8","17.8","15.2%"
"6","Elijah Mitchell (SF)","5","55","11.0","37","2","2","0","0","0","0","0","0","1","17.5","17.5","14.3%"
"7","Christian McCaffrey (SF)","10","45","4.5","19","0","0","3","3","34","11.3","1","0","1","13.9","13.9","100.0%"
"8","Kenyan Drake (GB)","16","60","3.8","18","0","1","2","5","19","9.5","0","0","1","13.9","13.9","0.2%"
"9","Tyler Allgeier (ATL)","24","135","5.6","28","1","0","0","0","0","0","0","0","1","13.5","13.5","42.8%"
"10","Najee Harris (PIT)","23","80","3.5","11","0","1","1","1","10","10.0","0","1","1","13.0","13.0","92.9%"
"11","Derrick Henry (TEN)","30","109","3.6","14","0","0","1","1","19","19.0","0","0","1","12.8","12.8","99.8%"
"12","Joe Mixon (CIN)","11","27","2.5","8","0","1","5","5","41","8.2","0","0","1","12.8","12.8","98.8%"
"13","Cam Akers (MIN)","21","104","5.0","32","2","0","3","3","24","8.0","0","0","1","12.8","12.8","20.5%"
"14","Kenneth Walker III (SEA)","29","114","3.9","20","1","0","1","1","10","10.0","0","0","1","12.4","12.4","96.4%"
"15","Isiah Pacheco (KC)","8","64","8.0","31","2","1","0","0","0","0","0","0","1","12.4","12.4","95.6%"
"16","Nyheim Hines (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","12.0","12.0","0.1%"
"17","Boston Scott (PHI)","9","54","6.0","21","1","1","0","0","0","0","0","0","1","11.4","11.4","0.3%"
"18","Alvin Kamara (NO)","23","107","4.7","22","1","0","1","2","3","3.0","0","0","1","11.0","11.0","98.8%"
"19","Deon Jackson (NYG)","8","35","4.4","13","0","0","6","8","75","12.5","0","0","1","11.0","11.0","1.2%"
"20","Corey Clement (ARI)","8","23","2.9","5","0","1","3","4","25","8.3","0","0","1","10.8","10.8","0.1%"
"21","Ronald Jones II (FA)","10","45","4.5","13","0","1","0","0","0","0","0","0","1","10.5","10.5","0.3%"
"22","D'Andre Swift (PHI)","6","25","4.2","11","0","0","7","7","61","8.7","0","0","1","8.6","8.6","96.8%"
"23","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","8.4","8.4","0.0%"
"24","Rhamondre Stevenson (NE)","6","54","9.0","18","0","0","5","6","28","5.6","0","0","1","8.2","8.2","89.5%"
"25","Cordarrelle Patterson (ATL)","5","18","3.6","8","0","1","2","3","1","0.5","0","0","1","7.9","7.9","2.0%"
"26","Jaret Patterson (LAC)","17","78","4.6","14","0","0","0","1","0","0","0","0","1","7.8","7.8","0.0%"
"27","Jeff Wilson Jr. (MIA)","16","72","4.5","16","0","0","2","2","2","1.0","0","0","1","7.4","7.4","12.7%"
"28","Chuba Hubbard (CAR)","21","69","3.3","8","0","0","0","1","0","0","0","0","1","6.9","6.9","74.8%"
"29","D'Onta Foreman (CHI)","12","68","5.7","21","1","0","0","0","0","0","0","0","1","6.8","6.8","41.0%"
"30","Jerick McKinnon (KC)","2","6","3.0","7","0","0","2","3","0","0.0","1","0","1","6.6","6.6","39.0%"
"31","Gary Brightwell (NYG)","11","60","5.5","25","1","0","1","3","3","3.0","0","0","1","6.3","6.3","0.3%"
"32","Derek Watt (FA)","1","1","1.0","1","0","1","0","0","0","0","0","0","1","6.1","6.1","0.0%"
