"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (NYG)","18","164","9.1","68","6","1","6","7","30","5.0","0","0","1","27.4","27.4","100.0%"
"2","Jonathan Taylor (IND)","31","161","5.2","17","0","1","4","7","14","3.5","0","0","1","23.5","23.5","94.5%"
"3","D'Andre Swift (PHI)","15","144","9.6","50","4","1","3","3","31","10.3","0","0","1","23.5","23.5","96.8%"
"4","Cordarrelle Patterson (ATL)","22","120","5.5","15","0","1","3","5","16","5.3","0","0","1","19.6","19.6","2.0%"
"5","Clyde Edwards-Helaire (KC)","7","42","6.0","18","0","0","3","3","32","10.7","2","0","1","19.4","19.4","36.5%"
"6","Kareem Hunt (CLE)","11","46","4.2","24","1","1","4","4","24","6.0","1","0","1","19.0","19.0","52.4%"
"7","Dontrell Hilliard (FA)","2","8","4.0","5","0","0","3","4","61","20.3","2","0","1","18.9","18.9","0.0%"
"8","James Robinson (NO)","11","66","6.0","22","1","1","1","2","3","3.0","1","0","1","18.9","18.9","0.1%"
"9","Miles Sanders (CAR)","13","96","7.4","24","2","1","2","2","9","4.5","0","0","1","16.5","16.5","47.5%"
"10","AJ Dillon (GB)","10","45","4.5","14","0","1","5","6","46","9.2","0","0","1","15.1","15.1","67.0%"
"11","Jamaal Williams (NO)","11","28","2.5","7","0","2","1","2","2","2.0","0","0","1","15.0","15.0","17.5%"
"12","Joe Mixon (CIN)","27","82","3.0","31","2","0","7","9","63","9.0","0","0","1","14.5","14.5","98.8%"
"13","Nick Chubb (CLE)","22","141","6.4","25","2","0","1","1","2","2.0","0","0","1","14.3","14.3","22.1%"
"14","Leonard Fournette (BUF)","21","127","6.0","17","0","0","2","2","10","5.0","0","0","1","13.7","13.7","3.0%"
"15","Antonio Gibson (WAS)","14","58","4.1","13","0","0","7","8","72","10.3","0","0","1","13.0","13.0","58.3%"
"16","Isiah Pacheco (KC)","12","62","5.2","22","1","1","0","0","0","0","0","0","1","12.2","12.2","95.6%"
"17","Christian McCaffrey (SF)","10","33","3.3","9","0","1","4","5","24","6.0","0","0","1","11.7","11.7","100.0%"
"18","James Conner (ARI)","10","26","2.6","8","0","1","5","6","29","5.8","0","0","1","11.5","11.5","90.8%"
"19","Dalvin Cook (NYJ)","20","90","4.5","16","0","0","3","5","18","6.0","0","0","1","10.8","10.8","23.0%"
"20","Khalil Herbert (CHI)","9","45","5.0","12","0","1","1","1","-2","-2.0","0","0","1","10.3","10.3","48.8%"
"21","Michael Carter (ARI)","10","60","6.0","22","1","0","7","9","40","5.7","0","0","1","10.0","10.0","1.4%"
"22","Kenneth Gainwell (PHI)","5","20","4.0","7","0","1","2","4","12","6.0","0","0","1","9.2","9.2","21.6%"
"23","Brandon Bolden (LV)","3","7","2.3","5","0","0","2","2","21","10.5","1","0","1","8.8","8.8","0.1%"
"24","Javonte Williams (DEN)","7","43","6.1","13","0","0","11","12","65","5.9","0","1","1","8.8","8.8","91.4%"
"25","Najee Harris (PIT)","10","23","2.3","11","0","0","2","2","3","1.5","1","0","1","8.6","8.6","92.9%"
"26","Derrick Henry (TEN)","21","82","3.9","18","0","0","0","1","0","0","0","0","1","8.2","8.2","99.8%"
"27","Aaron Jones (GB)","5","49","9.8","29","1","0","3","5","27","9.0","0","0","1","7.6","7.6","92.7%"
"28","Josh Jacobs (LV)","10","57","5.7","18","0","0","1","1","16","16.0","0","0","1","7.3","7.3","99.0%"
"29","Ty Montgomery II (FA)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","7.3","7.3","0.2%"
"30","Darrell Henderson Jr. (FA)","13","47","3.6","18","0","0","5","5","26","5.2","0","0","1","7.3","7.3","7.5%"
"31","Austin Ekeler (LAC)","14","36","2.6","8","0","0","4","4","36","9.0","0","0","1","7.2","7.2","100.0%"
"32","Rex Burkhead (FA)","14","40","2.9","8","0","0","5","8","30","6.0","0","0","1","7.0","7.0","10.0%"
"33","Boston Scott (PHI)","4","10","2.5","8","0","1","0","0","0","0","0","0","1","7.0","7.0","0.3%"
"34","Zander Horvath (FA)","1","2","2.0","2","0","0","2","2","6","3.0","1","0","1","6.8","6.8","0.0%"
"35","Rashaad Penny (PHI)","12","60","5.0","26","1","0","2","3","7","3.5","0","0","1","6.7","6.7","11.7%"
"36","Travis Etienne Jr. (JAC)","4","47","11.8","27","1","0","2","4","18","9.0","0","0","1","6.5","6.5","99.9%"
"37","Chase Edmonds (TB)","12","25","2.1","7","0","0","4","4","40","10.0","0","0","1","6.5","6.5","1.0%"
"38","Devin Singletary (HOU)","8","48","6.0","13","0","0","2","2","14","7.0","0","0","1","6.2","6.2","73.8%"
"39","Eno Benjamin (NO)","4","28","7.0","16","0","0","3","4","33","11.0","0","0","1","6.1","6.1","0.0%"
"40","Damien Harris (BUF)","9","48","5.3","12","0","0","2","3","10","5.0","0","0","1","5.8","5.8","7.1%"
"41","Nyheim Hines (BUF)","3","4","1.3","3","0","0","6","6","50","8.3","0","0","1","5.4","5.4","0.1%"
"42","Melvin Gordon III (BAL)","12","58","4.8","13","0","0","2","2","14","7.0","0","1","1","5.2","5.2","0.1%"
"43","David Montgomery (DET)","17","26","1.5","6","0","0","3","4","24","8.0","0","0","1","5.0","5.0","96.0%"
"44","Jerick McKinnon (KC)","4","22","5.5","18","0","0","3","4","27","9.0","0","0","1","4.9","4.9","39.0%"
"45","Ezekiel Elliott (NE)","10","52","5.2","7","0","0","1","2","-3","-3.0","0","0","1","4.9","4.9","81.3%"
"46","J.D. McKissic (FA)","3","8","2.7","5","0","0","3","3","20","6.7","0","0","1","4.8","4.8","0.0%"
"47","Alvin Kamara (NO)","9","39","4.3","15","0","0","3","4","7","2.3","0","0","1","4.6","4.6","98.8%"
"48","Kenyan Drake (GB)","11","31","2.8","8","0","0","1","1","15","15.0","0","0","1","4.6","4.6","0.2%"
"49","Elijah Mitchell (SF)","6","41","6.8","16","0","0","0","0","0","0","0","0","1","4.1","4.1","14.3%"
