"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","10","122","12.2","72","4","2","4","4","39","9.8","0","0","1","28.1","28.1","100.0%"
"2","Christian McCaffrey (SF)","19","121","6.4","37","2","1","6","9","72","12.0","0","0","1","25.3","25.3","100.0%"
"3","D'Andre Swift (PHI)","11","78","7.1","35","2","1","4","4","39","9.8","1","0","1","23.7","23.7","96.8%"
"4","Jamaal Williams (NO)","22","144","6.5","58","4","1","1","1","13","13.0","0","0","1","21.7","21.7","17.5%"
"5","Travis Etienne Jr. (JAC)","9","108","12.0","62","5","1","3","3","32","10.7","0","0","1","20.0","20.0","99.9%"
"6","Najee Harris (PIT)","22","111","5.0","15","0","0","2","3","12","6.0","1","0","1","18.3","18.3","92.9%"
"7","Jerick McKinnon (KC)","2","4","2.0","4","0","0","5","6","52","10.4","2","0","1","17.6","17.6","39.0%"
"8","Josh Jacobs (LV)","17","69","4.1","9","0","1","4","5","26","6.5","0","0","1","15.5","15.5","99.0%"
"9","Tyler Allgeier (ATL)","20","83","4.2","17","0","1","1","1","12","12.0","0","0","1","15.5","15.5","42.8%"
"10","Raheem Mostert (MIA)","9","29","3.2","6","0","0","8","8","62","7.8","1","0","1","15.1","15.1","97.8%"
"11","Cordarrelle Patterson (ATL)","9","42","4.7","22","1","1","6","8","42","7.0","0","0","1","14.4","14.4","2.0%"
"12","Kenneth Walker III (SEA)","23","133","5.8","60","4","0","1","1","9","9.0","0","0","1","14.2","14.2","96.4%"
"13","Cam Akers (MIN)","19","123","6.5","42","3","0","1","2","10","10.0","0","0","1","13.3","13.3","20.5%"
"14","Nick Chubb (CLE)","14","104","7.4","35","2","0","1","1","12","12.0","0","0","1","11.6","11.6","22.1%"
"15","JaMycal Hasty (NE)","10","33","3.3","11","0","1","6","6","23","3.8","0","0","1","11.6","11.6","0.1%"
"16","Aaron Jones (GB)","14","111","7.9","31","2","0","2","3","2","1.0","0","0","1","11.3","11.3","92.7%"
"17","James Conner (ARI)","16","79","4.9","16","0","0","3","3","31","10.3","0","0","1","11.0","11.0","90.8%"
"18","Isiah Pacheco (KC)","9","31","3.4","6","0","1","2","2","18","9.0","0","0","1","10.9","10.9","95.6%"
"19","AJ Dillon (GB)","12","41","3.4","10","0","1","0","1","0","0","0","0","1","10.1","10.1","67.0%"
"20","Jaylen Warren (PIT)","12","76","6.3","31","2","0","3","3","22","7.3","0","0","1","9.8","9.8","81.4%"
"21","DeeJay Dallas (SEA)","7","43","6.1","17","0","0","3","4","55","18.3","0","0","1","9.8","9.8","0.8%"
"22","Ezekiel Elliott (NE)","19","37","1.9","6","0","1","0","0","0","0","0","0","1","9.7","9.7","81.3%"
"23","J.K. Dobbins (BAL)","17","93","5.5","22","1","0","0","0","0","0","0","0","1","9.3","9.3","16.2%"
"24","Brian Robinson Jr. (WAS)","24","87","3.6","14","0","0","0","1","0","0","0","0","1","8.7","8.7","86.5%"
"25","Malcolm Brown (FA)","1","23","23.0","23","1","1","0","0","0","0","0","0","1","8.3","8.3","0.0%"
"26","Alvin Kamara (NO)","16","73","4.6","15","0","0","1","1","7","7.0","0","0","1","8.0","8.0","98.8%"
"27","Snoop Conner (JAC)","5","17","3.4","8","0","1","0","0","0","0","0","0","1","7.7","7.7","0.0%"
"28","Jeff Wilson Jr. (MIA)","15","45","3.0","11","0","0","3","7","31","10.3","0","0","1","7.6","7.6","12.7%"
"29","Zack Moss (IND)","15","74","4.9","12","0","0","0","0","0","0","0","0","1","7.4","7.4","88.9%"
"30","Jordan Mason (SF)","2","13","6.5","14","0","1","0","0","0","0","0","0","1","7.3","7.3","2.2%"
"31","Chase Edmonds (TB)","7","34","4.9","10","0","0","3","3","39","13.0","0","0","1","7.3","7.3","1.0%"
"32","Latavius Murray (BUF)","12","56","4.7","19","0","0","4","6","16","4.0","0","0","1","7.2","7.2","15.2%"
"33","Matt Breida (NYG)","9","59","6.6","18","0","0","1","1","8","8.0","0","0","1","6.7","6.7","2.7%"
"34","Chuba Hubbard (CAR)","3","12","4.0","7","0","0","3","3","53","17.7","0","0","1","6.5","6.5","74.8%"
"35","Malik Davis (DAL)","10","39","3.9","23","1","0","2","2","23","11.5","0","0","1","6.2","6.2","0.1%"
"36","Miles Sanders (CAR)","12","61","5.1","14","0","0","0","0","0","0","0","0","1","6.1","6.1","47.5%"
"37","Ty Johnson (BUF)","8","46","5.8","22","1","0","1","5","11","11.0","0","0","1","5.7","5.7","0.1%"
"38","Hassan Haskins (TEN)","12","40","3.3","12","0","0","2","3","13","6.5","0","0","1","5.3","5.3","0.1%"
"39","Saquon Barkley (NYG)","12","58","4.8","19","0","0","2","4","-5","-2.5","0","0","1","5.3","5.3","100.0%"
