"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"65","Dontrell Hilliard (FA)","0","0","0","0","0","0","4","4","18","4.5","0","0","1","1.8","1.8","0.0%"
"66","Joshua Kelley (LAC)","4","15","3.8","6","0","0","0","2","0","0","0","0","1","1.5","1.5","12.5%"
"67","Cam Akers (MIN)","8","13","1.6","6","0","0","0","1","0","0","0","0","1","1.3","1.3","20.5%"
"68","Tony Pollard (DAL)","8","6","0.8","9","0","0","1","3","2","2.0","0","0","1","0.8","0.8","99.8%"
"69","Trestan Ebner (FA)","6","20","3.3","11","0","0","2","3","8","4.0","0","1","1","0.8","0.8","0.0%"
"70","Zack Moss (IND)","3","6","2.0","5","0","0","0","0","0","0","0","0","1","0.6","0.6","88.9%"
"71","Nyheim Hines (BUF)","1","0","0.0","0","0","0","2","2","3","1.5","0","0","1","0.3","0.3","0.1%"
"72","D'Onta Foreman (CHI)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","41.0%"
"73","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.2%"
"74","Ke'Shawn Vaughn (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"75","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"77","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"78","Benny Snell Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.3%"
"80","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"81","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","74.8%"
"82","Zander Horvath (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"83","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"84","Chris Evans (CIN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.2%"
"85","James Cook (BUF)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","94.9%"
"86","Jerome Ford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","86.2%"
"87","Gary Brightwell (NYG)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"88","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"89","Jake Funk (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"91","Kenjon Barner (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"92","Marlon Mack (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Samaje Perine (DEN)","1","0","0.0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","28.2%"
"94","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","C.J. Ham (MIN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"96","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"98","Keith Smith (ATL)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"99","Jerick McKinnon (KC)","2","-1","-0.5","0","0","0","1","1","1","1.0","0","0","1","0.0","0.0","39.0%"
"100","Ameer Abdullah (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"101","Brandon Bolden (LV)","0","0","0","0","0","0","1","1","-1","-1.0","0","0","1","-0.1","-0.1","0.1%"
"102","Melvin Gordon III (BAL)","3","8","2.7","7","0","0","0","1","0","0","0","1","1","-1.2","-1.2","0.1%"
""
""
