"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (LV)","28","144","5.1","43","3","2","5","6","31","6.2","0","0","1","29.5","29.5","99.0%"
"2","Austin Ekeler (LAC)","13","60","4.6","20","1","2","6","7","49","8.2","1","0","1","28.9","28.9","100.0%"
"3","Rashaad Penny (PHI)","17","151","8.9","41","6","2","1","1","6","6.0","0","0","1","27.7","27.7","11.7%"
"4","Miles Sanders (CAR)","27","134","5.0","35","2","2","2","3","22","11.0","0","0","1","27.6","27.6","47.5%"
"5","Jamaal Williams (NO)","19","108","5.7","51","4","2","1","3","1","1.0","0","0","1","22.9","22.9","17.5%"
"6","Clyde Edwards-Helaire (KC)","19","92","4.8","20","1","1","1","2","2","2.0","1","0","1","21.4","21.4","36.5%"
"7","Derrick Henry (TEN)","22","114","5.2","19","0","1","3","5","33","11.0","0","0","1","20.7","20.7","99.8%"
"8","Dameon Pierce (HOU)","14","131","9.4","75","4","1","6","6","8","1.3","0","0","1","19.9","19.9","62.0%"
"9","Nick Chubb (CLE)","19","118","6.2","28","1","1","2","3","9","4.5","0","0","1","18.7","18.7","22.1%"
"10","J.K. Dobbins (BAL)","13","41","3.2","16","0","1","4","4","22","5.5","1","0","1","18.3","18.3","16.2%"
"11","Christian McCaffrey (SF)","8","27","3.4","10","0","0","9","9","81","9.0","1","0","1","16.8","16.8","100.0%"
"12","Saquon Barkley (NYG)","31","146","4.7","29","1","0","2","2","16","8.0","0","0","1","16.2","16.2","100.0%"
"13","Damien Harris (BUF)","18","86","4.8","14","0","1","1","1","-2","-2.0","0","0","1","14.4","14.4","7.1%"
"14","Breece Hall (NYJ)","17","66","3.9","16","0","1","2","6","12","6.0","0","0","1","13.8","13.8","97.4%"
"15","Jeff Wilson Jr. (MIA)","18","74","4.1","32","2","1","0","0","0","0","0","0","1","13.4","13.4","12.7%"
"16","Joe Mixon (CIN)","24","61","2.5","7","0","1","4","4","13","3.3","0","0","1","13.4","13.4","98.8%"
"17","Latavius Murray (BUF)","11","57","5.2","10","0","1","1","1","8","8.0","0","0","1","12.5","12.5","15.2%"
"18","Caleb Huntley (FA)","10","56","5.6","14","0","1","0","0","0","0","0","0","1","11.6","11.6","0.0%"
"19","Aaron Jones (GB)","16","110","6.9","20","1","0","3","4","5","1.7","0","0","1","11.5","11.5","92.7%"
"20","Leonard Fournette (BUF)","3","-3","-1.0","3","0","0","7","7","57","8.1","1","0","1","11.4","11.4","3.0%"
"21","Tyler Allgeier (ATL)","10","84","8.4","42","3","0","1","1","20","20.0","0","0","1","10.4","10.4","42.8%"
"22","Khalil Herbert (CHI)","19","77","4.1","15","0","0","1","1","24","24.0","0","0","1","10.1","10.1","48.8%"
"23","Rex Burkhead (FA)","0","0","0","0","0","0","5","5","39","7.8","1","0","1","9.9","9.9","10.0%"
"24","Cordarrelle Patterson (ATL)","9","38","4.2","13","0","1","0","0","0","0","0","0","1","9.8","9.8","2.0%"
"25","Rachaad White (TB)","3","6","2.0","4","0","1","5","5","50","10.0","0","1","1","9.6","9.6","96.2%"
"26","Rhamondre Stevenson (NE)","14","66","4.7","17","0","0","4","5","23","5.8","0","0","1","8.9","8.9","89.5%"
"27","Dalvin Cook (NYJ)","20","76","3.8","14","0","0","2","2","10","5.0","0","0","1","8.6","8.6","23.0%"
"28","AJ Dillon (GB)","17","73","4.3","13","0","0","1","2","11","11.0","0","0","1","8.4","8.4","67.0%"
"29","Ezekiel Elliott (NE)","19","49","2.6","7","0","0","2","2","32","16.0","0","0","1","8.1","8.1","81.3%"
"30","Raheem Mostert (MIA)","15","69","4.6","25","1","0","2","3","12","6.0","0","0","1","8.1","8.1","97.8%"
"31","Chase Edmonds (TB)","5","6","1.2","4","0","0","2","3","14","7.0","1","0","1","8.0","8.0","1.0%"
"32","Alexander Mattison (MIN)","3","3","1.0","2","0","0","1","1","15","15.0","1","0","1","7.8","7.8","81.8%"
"33","Kenneth Gainwell (PHI)","5","19","3.8","10","0","1","1","2","-2","-2.0","0","0","1","7.7","7.7","21.6%"
"34","James Conner (ARI)","15","55","3.7","8","0","0","3","3","22","7.3","0","0","1","7.7","7.7","90.8%"
"35","Devin Singletary (HOU)","11","49","4.5","18","0","0","4","5","47","11.8","0","1","1","7.6","7.6","73.8%"
"36","Najee Harris (PIT)","18","74","4.1","16","0","0","0","0","0","0","0","0","1","7.4","7.4","92.9%"
"37","Kareem Hunt (CLE)","10","49","4.9","20","1","0","2","3","19","9.5","0","0","1","6.8","6.8","52.4%"
"38","Justin Jackson (FA)","2","3","1.5","3","0","0","2","2","4","2.0","1","0","1","6.7","6.7","0.0%"
"39","Isiah Pacheco (KC)","11","63","5.7","9","0","0","0","0","0","0","0","0","1","6.3","6.3","95.6%"
"40","Antonio Gibson (WAS)","13","49","3.8","11","0","0","3","3","14","4.7","0","0","1","6.3","6.3","58.3%"
"41","Justice Hill (BAL)","8","45","5.6","14","0","0","2","2","12","6.0","0","0","1","5.7","5.7","10.8%"
"42","J.D. McKissic (FA)","8","40","5.0","33","2","0","3","4","16","5.3","0","0","1","5.6","5.6","0.0%"
"43","Jonathan Williams (WAS)","5","48","9.6","23","1","0","0","0","0","0","0","0","1","4.8","4.8","0.0%"
"44","Eno Benjamin (NO)","5","36","7.2","15","0","0","1","1","9","9.0","0","0","1","4.5","4.5","0.0%"
"45","Kyle Juszczyk (SF)","1","9","9.0","9","0","0","1","1","35","35.0","0","0","1","4.4","4.4","0.3%"
"46","Mark Ingram II (FA)","10","30","3.0","8","0","0","3","3","13","4.3","0","0","1","4.3","4.3","0.0%"
"47","Craig Reynolds (DET)","2","30","15.0","21","1","0","1","1","12","12.0","0","0","1","4.2","4.2","1.8%"
"48","Darrell Henderson Jr. (FA)","7","27","3.9","7","0","0","3","4","12","4.0","0","0","1","3.9","3.9","7.5%"
"49","Travis Etienne Jr. (JAC)","8","32","4.0","11","0","0","0","1","0","0","0","0","1","3.2","3.2","99.9%"
"50","James Robinson (NO)","8","29","3.6","9","0","0","0","0","0","0","0","0","1","2.9","2.9","0.1%"
"51","Mike Boone (FA)","3","20","6.7","13","0","0","1","3","9","9.0","0","0","1","2.9","2.9","0.5%"
"52","Michael Carter (ARI)","9","15","1.7","5","0","0","2","3","14","7.0","0","0","1","2.9","2.9","1.4%"
"53","Javonte Williams (DEN)","10","28","2.8","13","0","0","1","1","-1","-1.0","0","0","1","2.7","2.7","91.4%"
"54","Sony Michel (FA)","6","11","1.8","4","0","0","3","3","16","5.3","0","0","1","2.7","2.7","0.0%"
"55","Kenneth Walker III (SEA)","8","29","3.6","13","0","0","1","1","-5","-5.0","0","0","1","2.4","2.4","96.4%"
"56","Zamir White (LV)","2","24","12.0","22","1","0","0","0","0","0","0","0","1","2.4","2.4","11.7%"
"57","Jonathan Taylor (IND)","20","42","2.1","11","0","0","1","3","1","1.0","0","1","1","2.3","2.3","94.5%"
"58","Jaylen Warren (PIT)","3","18","6.0","14","0","0","1","1","4","4.0","0","0","1","2.2","2.2","81.4%"
"59","JaMycal Hasty (NE)","0","0","0","0","0","0","2","2","22","11.0","0","0","1","2.2","2.2","0.1%"
"60","Avery Williams (ATL)","1","21","21.0","21","1","0","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"61","Patrick Ricard (BAL)","1","3","3.0","3","0","0","3","3","17","5.7","0","0","1","2.0","2.0","0.1%"
"62","Darrel Williams (FA)","4","19","4.8","13","0","0","0","1","0","0","0","0","1","1.9","1.9","0.0%"
"63","Trey Sermon (IND)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","1.6%"
"64","Matt Breida (NYG)","3","18","6.0","13","0","0","0","0","0","0","0","0","1","1.8","1.8","2.7%"
