"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Nick Chubb (CLE)","17","87","5.1","22","1","3","3","3","26","8.7","0","0","1","29.3","29.3","22.1%"
"2","Aaron Jones (GB)","15","132","8.8","36","2","1","3","3","38","12.7","1","0","1","29.0","29.0","92.7%"
"3","Tony Pollard (DAL)","9","43","4.8","17","0","1","4","7","55","13.8","0","0","1","15.8","15.8","99.8%"
"4","D'Andre Swift (PHI)","5","56","11.2","50","4","0","2","5","31","15.5","1","0","1","14.7","14.7","96.8%"
"5","Damien Harris (BUF)","15","71","4.7","16","0","1","2","2","16","8.0","0","0","1","14.7","14.7","7.1%"
"6","James Robinson (NO)","23","64","2.8","37","2","1","2","2","14","7.0","0","0","1","13.8","13.8","0.1%"
"7","David Montgomery (DET)","15","122","8.1","28","1","0","2","2","14","7.0","0","0","1","13.6","13.6","96.0%"
"8","Christian McCaffrey (SF)","15","102","6.8","49","3","0","4","5","26","6.5","0","0","1","12.8","12.8","100.0%"
"9","Darrel Williams (FA)","8","59","7.4","30","2","1","2","3","3","1.5","0","0","1","12.2","12.2","0.0%"
"10","Breece Hall (NYJ)","7","50","7.1","23","1","0","1","1","10","10.0","1","0","1","12.0","12.0","97.4%"
"11","Clyde Edwards-Helaire (KC)","8","74","9.3","52","4","0","4","4","44","11.0","0","0","1","11.8","11.8","36.5%"
"12","Darrell Henderson Jr. (FA)","10","47","4.7","13","0","1","0","0","0","0","0","0","1","10.7","10.7","7.5%"
"13","Jeff Wilson Jr. (MIA)","18","84","4.7","16","0","0","2","2","19","9.5","0","0","1","10.3","10.3","12.7%"
"14","Antonio Gibson (WAS)","14","28","2.0","8","0","1","2","4","13","6.5","0","0","1","10.1","10.1","58.3%"
"15","Austin Ekeler (LAC)","14","39","2.8","8","0","0","9","10","55","6.1","0","0","1","9.4","9.4","100.0%"
"16","Najee Harris (PIT)","15","49","3.3","8","0","0","5","6","40","8.0","0","0","1","8.9","8.9","92.9%"
"17","Saquon Barkley (NYG)","21","72","3.4","16","0","0","3","4","16","5.3","0","0","1","8.8","8.8","100.0%"
"18","Miles Sanders (CAR)","17","80","4.7","12","0","0","3","3","6","2.0","0","0","1","8.6","8.6","47.5%"
"19","Javonte Williams (DEN)","15","75","5.0","17","0","0","1","4","10","10.0","0","0","1","8.5","8.5","91.4%"
"20","Derrick Henry (TEN)","13","25","1.9","9","0","1","0","0","0","0","0","0","1","8.5","8.5","99.8%"
"21","Joe Mixon (CIN)","19","57","3.0","10","0","0","3","4","26","8.7","0","0","1","8.3","8.3","98.8%"
"22","Josh Jacobs (LV)","19","69","3.6","13","0","0","1","1","12","12.0","0","0","1","8.1","8.1","99.0%"
"23","Raheem Mostert (MIA)","11","51","4.6","11","0","0","3","3","28","9.3","0","0","1","7.9","7.9","97.8%"
"24","Dameon Pierce (HOU)","15","69","4.6","12","0","0","1","1","8","8.0","0","0","1","7.7","7.7","62.0%"
"25","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","3","17","8.5","1","0","1","7.7","7.7","0.0%"
"26","Jerick McKinnon (KC)","4","12","3.0","5","0","0","2","2","4","2.0","1","0","1","7.6","7.6","39.0%"
"27","Kareem Hunt (CLE)","13","58","4.5","13","0","0","2","2","16","8.0","0","0","1","7.4","7.4","52.4%"
"28","Leonard Fournette (BUF)","24","65","2.7","13","0","0","2","4","9","4.5","0","0","1","7.4","7.4","3.0%"
"29","AJ Dillon (GB)","18","61","3.4","11","0","0","1","3","6","6.0","0","0","1","6.7","6.7","67.0%"
"30","J.D. McKissic (FA)","3","9","3.0","4","0","0","7","7","54","7.7","0","0","1","6.3","6.3","0.0%"
"31","Jonathan Taylor (IND)","9","54","6.0","21","2","0","1","1","9","9.0","0","0","1","6.3","6.3","94.5%"
"32","Cam Akers (MIN)","15","44","2.9","8","0","0","2","3","18","9.0","0","0","1","6.2","6.2","20.5%"
"33","Zander Horvath (FA)","0","0","0","0","0","0","1","2","1","1.0","1","0","1","6.1","6.1","0.0%"
"34","Kyle Juszczyk (SF)","2","1","0.5","1","0","1","0","1","0","0","0","0","1","6.1","6.1","0.3%"
"35","Jamaal Williams (NO)","12","53","4.4","12","0","0","1","1","7","7.0","0","0","1","6.0","6.0","17.5%"
"36","Melvin Gordon III (BAL)","10","47","4.7","9","0","0","1","1","6","6.0","0","0","1","5.3","5.3","0.1%"
