"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"37","Travis Etienne Jr. (JAC)","9","20","2.2","6","0","0","3","3","33","11.0","0","0","1","5.3","5.3","99.9%"
"38","James Cook (BUF)","11","53","4.8","33","2","0","0","1","0","0","0","0","1","5.3","5.3","94.9%"
"39","Eno Benjamin (NO)","8","31","3.9","7","0","0","3","4","20","6.7","0","0","1","5.1","5.1","0.0%"
"40","James Conner (ARI)","7","25","3.6","6","0","0","2","4","26","13.0","0","0","1","5.1","5.1","90.8%"
"41","Rhamondre Stevenson (NE)","9","47","5.2","8","0","0","1","2","4","4.0","0","0","1","5.1","5.1","89.5%"
"42","Michael Carter (ARI)","7","23","3.3","8","0","0","5","5","27","5.4","0","0","1","5.0","5.0","1.4%"
"43","Ezekiel Elliott (NE)","15","53","3.5","11","0","0","1","2","-4","-4.0","0","0","1","4.9","4.9","81.3%"
"44","Travis Homer (CHI)","2","9","4.5","5","0","0","4","4","33","8.3","0","0","1","4.2","4.2","0.1%"
"45","Khalil Herbert (CHI)","4","38","9.5","27","1","0","1","1","3","3.0","0","0","1","4.1","4.1","48.8%"
"46","Chase Edmonds (TB)","5","33","6.6","28","1","0","1","3","8","8.0","0","0","1","4.1","4.1","1.0%"
"47","Mark Ingram II (FA)","10","58","5.8","12","0","0","2","2","3","1.5","0","1","1","4.1","4.1","0.0%"
"48","Cordarrelle Patterson (ATL)","10","41","4.1","11","0","0","0","1","0","0","0","0","1","4.1","4.1","2.0%"
"49","Hassan Haskins (TEN)","9","37","4.1","9","0","0","1","1","0","0.0","0","0","1","3.7","3.7","0.1%"
"50","Nyheim Hines (BUF)","1","0","0.0","0","0","0","4","5","37","9.3","0","0","1","3.7","3.7","0.1%"
"51","Dalvin Cook (NYJ)","6","17","2.8","6","0","0","4","6","19","4.8","0","0","1","3.6","3.6","23.0%"
"52","Tyrion Davis-Price (SF)","14","33","2.4","20","1","0","0","0","0","0","0","0","1","3.3","3.3","0.1%"
"53","Tyler Allgeier (ATL)","10","30","3.0","9","0","0","0","0","0","0","0","0","1","3.0","3.0","42.8%"
"54","Craig Reynolds (DET)","3","16","5.3","11","0","0","1","1","13","13.0","0","0","1","2.9","2.9","1.8%"
"55","Joshua Kelley (LAC)","4","22","5.5","8","0","0","1","2","3","3.0","0","0","1","2.5","2.5","12.5%"
"56","Ameer Abdullah (LV)","0","0","0","0","0","0","1","1","23","23.0","0","0","1","2.3","2.3","1.1%"
"57","Devin Singletary (HOU)","6","19","3.2","16","0","0","2","3","2","1.0","0","0","1","2.1","2.1","73.8%"
"58","Boston Scott (PHI)","4","19","4.8","16","0","0","1","1","2","2.0","0","0","1","2.1","2.1","0.3%"
"59","Tony Jones Jr. (ARI)","2","8","4.0","6","0","0","2","2","12","6.0","0","0","1","2.0","2.0","0.2%"
"60","Sony Michel (FA)","4","13","3.3","7","0","0","1","1","6","6.0","0","0","1","1.9","1.9","0.0%"
"61","Kenneth Gainwell (PHI)","2","7","3.5","4","0","0","1","2","11","11.0","0","0","1","1.8","1.8","21.6%"
"62","Dwayne Washington (DEN)","4","18","4.5","8","0","0","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"63","Zack Moss (IND)","3","17","5.7","17","0","0","0","1","0","0","0","0","1","1.7","1.7","88.9%"
"64","Alec Ingold (MIA)","1","1","1.0","1","0","0","2","2","15","7.5","0","0","1","1.6","1.6","0.1%"
"65","Justice Hill (BAL)","3","16","5.3","13","0","0","0","0","0","0","0","0","1","1.6","1.6","10.8%"
"66","Kenneth Walker III (SEA)","4","10","2.5","8","0","0","2","3","5","2.5","0","0","1","1.5","1.5","96.4%"
"67","Jaylen Warren (PIT)","4","15","3.8","6","0","0","1","1","0","0.0","0","0","1","1.5","1.5","81.4%"
"68","Rashaad Penny (PHI)","6","15","2.5","6","0","0","0","0","0","0","0","0","1","1.5","1.5","11.7%"
"69","Alexander Mattison (MIN)","2","8","4.0","5","0","0","3","5","6","2.0","0","0","1","1.4","1.4","81.8%"
"70","Gary Brightwell (NYG)","1","14","14.0","14","0","0","0","0","0","0","0","0","1","1.4","1.4","0.3%"
"71","Samaje Perine (DEN)","1","2","2.0","2","0","0","1","1","8","8.0","0","0","1","1.0","1.0","28.2%"
"72","Rex Burkhead (FA)","0","0","0","0","0","0","2","3","9","4.5","0","0","1","0.9","0.9","10.0%"
"73","D'Onta Foreman (CHI)","2","9","4.5","7","0","0","0","0","0","0","0","0","1","0.9","0.9","41.0%"
"74","Michael Burton (DEN)","1","6","6.0","6","0","0","1","1","2","2.0","0","0","1","0.8","0.8","0.1%"
"75","Kenyan Drake (GB)","6","8","1.3","6","0","0","0","0","0","0","0","0","1","0.8","0.8","0.2%"
"76","Avery Williams (ATL)","0","0","0","0","0","0","1","1","6","6.0","0","0","1","0.6","0.6","0.0%"
"77","Isiah Pacheco (KC)","2","6","3.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","95.6%"
"78","Patrick Ricard (BAL)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.1%"
"79","Ty Johnson (BUF)","0","0","0","0","0","0","1","3","4","4.0","0","0","1","0.4","0.4","0.1%"
"80","Mike Davis (FA)","5","4","0.8","3","0","0","0","0","0","0","0","0","1","0.4","0.4","1.0%"
"81","Caleb Huntley (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"82","Derek Watt (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"83","Zamir White (LV)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","11.7%"
"84","Adam Prentice (NO)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","0.0%"
"85","Rachaad White (TB)","2","1","0.5","2","0","0","0","2","0","0","0","0","1","0.1","0.1","96.2%"
"86","Chris Myarick (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"87","Andrew Beck (HOU)","1","-1","-1.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","9.9%"
"89","Pierre Strong Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"90","Trestan Ebner (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"91","Jordan Mason (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.2%"
"92","Jerome Ford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","86.2%"
"93","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"94","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"95","Taiwan Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","Giovani Bernard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","Latavius Murray (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","15.2%"
"98","Marlon Mack (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"100","Brandin Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"101","Justin Jackson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Demetric Felton Jr. (CIN)","1","-4","-4.0","0","0","0","1","1","3","3.0","0","0","1","-0.1","-0.1","0.0%"
"103","Deon Jackson (NYG)","2","-3","-1.5","1","0","0","0","0","0","0","0","0","1","-0.3","-0.3","1.2%"
"104","Matt Breida (NYG)","1","-4","-4.0","0","0","0","0","1","0","0","0","0","1","-0.4","-0.4","2.7%"
"105","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","-1.0","-1.0","0.8%"
"106","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","74.8%"
""
""
