"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","22","147","6.7","66","4","1","2","2","16","8.0","0","0","1","22.3","22.3","94.5%"
"2","Saquon Barkley (NYG)","35","152","4.3","27","1","1","1","1","8","8.0","0","0","1","22.0","22.0","100.0%"
"3","Aaron Jones (GB)","24","138","5.8","30","2","1","2","2","18","9.0","0","0","1","21.6","21.6","92.7%"
"4","Dalvin Cook (NYJ)","14","119","8.5","81","4","1","3","5","27","9.0","0","0","1","20.6","20.6","23.0%"
"5","James Conner (ARI)","21","69","3.3","9","0","2","3","3","17","5.7","0","0","1","20.6","20.6","90.8%"
"6","Jeff Wilson Jr. (MIA)","17","119","7.0","20","1","1","2","5","24","12.0","0","0","1","20.3","20.3","12.7%"
"7","D'Onta Foreman (CHI)","31","130","4.2","23","1","1","0","1","0","0","0","0","1","19.0","19.0","41.0%"
"8","Tony Pollard (DAL)","22","115","5.2","14","0","1","3","6","13","4.3","0","0","1","18.8","18.8","99.8%"
"9","Josh Jacobs (LV)","21","78","3.7","22","1","1","6","8","28","4.7","0","0","1","16.6","16.6","99.0%"
"10","Devin Singletary (HOU)","13","47","3.6","21","1","2","1","2","0","0.0","0","1","1","14.7","14.7","73.8%"
"11","Raheem Mostert (MIA)","8","65","8.1","24","1","1","4","4","22","5.5","0","0","1","14.7","14.7","97.8%"
"12","Brian Robinson Jr. (WAS)","26","86","3.3","11","0","1","0","0","0","0","0","0","1","14.6","14.6","86.5%"
"13","Christian McCaffrey (SF)","14","38","2.7","12","0","1","4","6","39","9.8","0","0","1","13.7","13.7","100.0%"
"14","Nick Chubb (CLE)","11","63","5.7","33","2","1","3","4","18","6.0","0","1","1","12.1","12.1","22.1%"
"15","Jamaal Williams (NO)","16","59","3.7","13","0","1","0","0","0","0","0","0","1","11.9","11.9","17.5%"
"16","Antonio Gibson (WAS)","14","44","3.1","7","0","1","3","3","14","4.7","0","0","1","11.8","11.8","58.3%"
"17","Leonard Fournette (BUF)","14","57","4.1","10","0","1","1","1","1","1.0","0","0","1","10.8","10.8","3.0%"
"18","Rachaad White (TB)","22","105","4.8","29","1","0","0","0","0","0","0","0","1","10.5","10.5","96.2%"
"19","Alec Ingold (MIA)","0","0","0","0","0","0","4","4","45","11.3","1","0","1","10.5","10.5","0.1%"
"20","Dameon Pierce (HOU)","17","94","5.5","44","3","0","2","3","28","14.0","0","1","1","10.2","10.2","62.0%"
"21","Najee Harris (PIT)","20","99","5.0","36","2","0","0","1","0","0","0","0","1","9.9","9.9","92.9%"
"22","Darrell Henderson Jr. (FA)","6","21","3.5","6","0","1","1","1","11","11.0","0","0","1","9.2","9.2","7.5%"
"23","Elijah Mitchell (SF)","18","89","4.9","12","0","0","1","2","-1","-1.0","0","0","1","8.8","8.8","14.3%"
"24","Jaylen Warren (PIT)","9","37","4.1","21","1","0","3","3","40","13.3","0","0","1","7.7","7.7","81.4%"
