"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (LV)","20","143","7.2","15","0","3","3","4","12","4.0","0","0","1","33.5","33.5","99.0%"
"2","Kenneth Walker III (SEA)","23","167","7.3","74","4","2","0","0","0","0","0","0","1","28.7","28.7","96.4%"
"3","Austin Ekeler (LAC)","9","31","3.4","13","0","1","12","12","96","8.0","1","0","1","24.7","24.7","100.0%"
"4","Aaron Jones (GB)","8","23","2.9","8","0","0","9","10","53","5.9","2","0","1","19.6","19.6","92.7%"
"5","Eno Benjamin (NO)","12","92","7.7","45","3","1","4","5","21","5.3","0","0","1","19.3","19.3","0.0%"
"6","Gus Edwards (BAL)","16","66","4.1","12","0","2","0","1","0","0","0","0","1","18.6","18.6","76.2%"
"7","Travis Etienne Jr. (JAC)","14","114","8.1","49","3","1","1","5","5","5.0","0","1","1","17.9","17.9","99.9%"
"8","Ezekiel Elliott (NE)","15","57","3.8","18","0","2","0","0","0","0","0","0","1","17.7","17.7","81.3%"
"9","Raheem Mostert (MIA)","16","79","4.9","12","0","0","4","5","30","7.5","1","0","1","16.9","16.9","97.8%"
"10","Nick Chubb (CLE)","16","91","5.7","22","1","1","2","3","16","8.0","0","0","1","16.7","16.7","22.1%"
"11","Rhamondre Stevenson (NE)","11","39","3.5","7","0","1","8","8","59","7.4","0","0","1","15.8","15.8","89.5%"
"12","Joe Mixon (CIN)","17","58","3.4","11","0","1","3","3","33","11.0","0","0","1","15.1","15.1","98.8%"
"13","Khalil Herbert (CHI)","12","62","5.2","13","0","0","1","2","25","25.0","1","0","1","14.7","14.7","48.8%"
"14","D'Onta Foreman (CHI)","15","118","7.9","60","5","0","2","2","27","13.5","0","0","1","14.5","14.5","41.0%"
"15","Derrick Henry (TEN)","30","128","4.3","23","2","0","3","3","10","3.3","0","0","1","13.8","13.8","99.8%"
"16","Antonio Gibson (WAS)","10","59","5.9","20","1","0","3","4","18","6.0","1","0","1","13.7","13.7","58.3%"
"17","Saquon Barkley (NYG)","24","110","4.6","20","1","0","4","4","25","6.3","0","0","1","13.5","13.5","100.0%"
"18","Chuba Hubbard (CAR)","9","63","7.0","17","0","1","2","3","10","5.0","0","0","1","13.3","13.3","74.8%"
"19","Breece Hall (NYJ)","4","72","18.0","62","4","1","0","0","0","0","0","0","1","13.2","13.2","97.4%"
"20","David Montgomery (DET)","15","62","4.1","12","0","1","0","0","0","0","0","0","1","12.2","12.2","96.0%"
"21","Dameon Pierce (HOU)","20","92","4.6","22","1","0","4","4","25","6.3","0","0","1","11.7","11.7","62.0%"
"22","Tyler Allgeier (ATL)","16","50","3.1","9","0","1","0","0","0","0","0","0","1","11.0","11.0","42.8%"
"23","Tony Pollard (DAL)","12","83","6.9","28","2","0","2","2","26","13.0","0","0","1","10.9","10.9","99.8%"
"24","Alvin Kamara (NO)","11","49","4.5","17","0","0","7","9","56","8.0","0","0","1","10.5","10.5","98.8%"
"25","Keaontay Ingram (KC)","9","14","1.6","11","0","1","2","2","23","11.5","0","0","1","9.7","9.7","1.8%"
"26","Clyde Edwards-Helaire (KC)","6","32","5.3","16","0","1","0","1","0","0","0","0","1","9.2","9.2","36.5%"
"27","Brian Robinson Jr. (WAS)","20","73","3.7","24","1","0","2","2","13","6.5","0","0","1","8.6","8.6","86.5%"
"28","Jonathan Taylor (IND)","10","58","5.8","14","0","0","7","8","27","3.9","0","0","1","8.5","8.5","94.5%"
"29","Latavius Murray (BUF)","8","24","3.0","5","0","1","2","3","-1","-0.5","0","0","1","8.3","8.3","15.2%"
"30","Najee Harris (PIT)","17","65","3.8","16","0","0","3","4","15","5.0","0","0","1","8.0","8.0","92.9%"
"31","Michael Carter (ARI)","13","29","2.2","5","0","0","2","2","45","22.5","0","0","1","7.4","7.4","1.4%"
"32","Kareem Hunt (CLE)","5","4","0.8","6","0","1","1","2","4","4.0","0","0","1","6.8","6.8","52.4%"
"33","Jamaal Williams (NO)","15","79","5.3","20","1","0","1","1","4","4.0","0","1","1","6.3","6.3","17.5%"
"34","Christian McCaffrey (SF)","8","38","4.8","12","0","0","2","2","24","12.0","0","0","1","6.2","6.2","100.0%"
"35","Dare Ogunbowale (HOU)","1","8","8.0","8","0","0","5","7","54","10.8","0","0","1","6.2","6.2","0.1%"
"36","Jeff Wilson Jr. (MIA)","7","54","7.7","15","0","0","0","1","0","0","0","0","1","5.4","5.4","12.7%"
"37","Melvin Gordon III (BAL)","11","33","3.0","7","0","0","2","4","17","8.5","0","0","1","5.0","5.0","0.1%"
"38","Jerick McKinnon (KC)","2","12","6.0","9","0","0","2","3","36","18.0","0","0","1","4.8","4.8","39.0%"
"39","Isiah Pacheco (KC)","8","43","5.4","17","0","0","0","0","0","0","0","0","1","4.3","4.3","95.6%"
"40","Nyheim Hines (BUF)","4","2","0.5","2","0","0","5","5","41","8.2","0","0","1","4.3","4.3","0.1%"
"41","DeeJay Dallas (SEA)","6","35","5.8","11","0","0","2","2","6","3.0","0","0","1","4.1","4.1","0.8%"
"42","Kyle Juszczyk (SF)","0","0","0","0","0","0","3","4","34","11.3","0","0","1","3.4","3.4","0.3%"
"43","Matt Breida (NYG)","4","19","4.8","6","0","0","1","1","14","14.0","0","0","1","3.3","3.3","2.7%"
"44","Rachaad White (TB)","6","24","4.0","11","0","0","1","2","8","8.0","0","0","1","3.2","3.2","96.2%"
"45","Craig Reynolds (DET)","4","12","3.0","8","0","0","3","3","18","6.0","0","0","1","3.0","3.0","1.8%"
"46","Leonard Fournette (BUF)","8","19","2.4","9","0","0","2","3","7","3.5","0","0","1","2.6","2.6","3.0%"
"47","Jaylen Warren (PIT)","2","7","3.5","4","0","0","2","2","17","8.5","0","0","1","2.4","2.4","81.4%"
"48","Mike Boone (FA)","4","23","5.8","15","0","0","0","0","0","0","0","0","1","2.3","2.3","0.5%"
"49","Caleb Huntley (FA)","6","22","3.7","10","0","0","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"50","Mark Ingram II (FA)","4","6","1.5","5","0","0","3","3","16","5.3","0","0","1","2.2","2.2","0.0%"
"51","Patrick Ricard (BAL)","1","0","0.0","0","0","0","2","2","20","10.0","0","0","1","2.0","2.0","0.1%"
"52","Rex Burkhead (FA)","2","8","4.0","4","0","0","5","6","11","2.2","0","0","1","1.9","1.9","10.0%"
"53","Chase Edmonds (TB)","7","17","2.4","9","0","0","0","2","0","0","0","0","1","1.7","1.7","1.0%"
"54","AJ Dillon (GB)","4","15","3.8","7","0","0","0","0","0","0","0","0","1","1.5","1.5","67.0%"
"55","Sony Michel (FA)","2","5","2.5","4","0","0","1","3","8","8.0","0","0","1","1.3","1.3","0.0%"
"56","Damien Harris (BUF)","3","8","2.7","4","0","0","1","2","2","2.0","0","0","1","1.0","1.0","7.1%"
"57","Ty Johnson (BUF)","1","3","3.0","3","0","0","1","1","6","6.0","0","0","1","0.9","0.9","0.1%"
"58","Samaje Perine (DEN)","1","0","0.0","0","0","0","2","2","8","4.0","0","0","1","0.8","0.8","28.2%"
"59","Trestan Ebner (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"60","Ameer Abdullah (LV)","0","0","0","0","0","0","2","2","7","3.5","0","0","1","0.7","0.7","1.1%"
"61","Justice Hill (BAL)","5","26","5.2","9","0","0","0","0","0","0","0","1","1","0.6","0.6","10.8%"
"62","JaMycal Hasty (NE)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"63","Hassan Haskins (TEN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.1%"
"64","Kenyan Drake (GB)","11","5","0.5","4","0","0","0","1","0","0","0","0","1","0.5","0.5","0.2%"
"65","J.D. McKissic (FA)","1","4","4.0","4","0","0","0","2","0","0","0","0","1","0.4","0.4","0.0%"
"66","Tyrion Davis-Price (SF)","2","4","2.0","3","0","0","0","2","0","0","0","0","1","0.4","0.4","0.1%"
"67","Avery Williams (ATL)","1","4","4.0","4","0","0","0","1","0","0","0","0","1","0.4","0.4","0.0%"
"68","Dontrell Hilliard (FA)","1","4","4.0","4","0","0","0","2","0","0","0","0","1","0.4","0.4","0.0%"
"69","Deon Jackson (NYG)","2","3","1.5","4","0","0","0","0","0","0","0","0","1","0.3","0.3","1.2%"
"70","Justin Jackson (FA)","3","2","0.7","5","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"71","Zamir White (LV)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","11.7%"
"72","Chris Myarick (FA)","0","0","0","0","0","0","2","2","21","10.5","0","0","1","0.0","0.0","0.0%"
"73","Andrew Beck (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"74","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.2%"
"75","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Benny Snell Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","James Robinson (NO)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"78","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"80","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"81","Brandon Bolden (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"82","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Derek Watt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"85","Raheem Blackshear (CAR)","2","-5","-2.5","0","0","0","0","0","0","0","0","0","1","-0.5","-0.5","0.4%"
