"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Mixon (CIN)","22","153","7.0","29","2","4","4","5","58","14.5","1","0","1","51.1","51.1","98.8%"
"2","Kenneth Walker III (SEA)","26","109","4.2","15","0","2","3","4","20","6.7","0","0","1","24.9","24.9","96.4%"
"3","Travis Etienne Jr. (JAC)","28","109","3.9","18","0","2","2","2","17","8.5","0","0","1","24.6","24.6","99.9%"
"4","Derrick Henry (TEN)","17","115","6.8","56","5","2","0","0","0","0","0","0","1","23.5","23.5","99.8%"
"5","Kenyan Drake (GB)","24","93","3.9","18","0","2","2","2","16","8.0","0","0","1","22.9","22.9","0.2%"
"6","Cordarrelle Patterson (ATL)","13","44","3.4","7","0","2","1","1","9","9.0","0","0","1","17.3","17.3","2.0%"
"7","Austin Ekeler (LAC)","14","47","3.4","9","0","1","7","8","24","3.4","1","1","1","17.1","17.1","100.0%"
"8","Miles Sanders (CAR)","17","93","5.5","25","1","1","0","0","0","0","0","0","1","15.3","15.3","47.5%"
"9","Michael Carter (ARI)","12","76","6.3","25","1","1","1","1","10","10.0","0","0","1","14.6","14.6","1.4%"
"10","Dameon Pierce (HOU)","27","139","5.1","36","2","0","0","0","0","0","0","0","1","13.9","13.9","62.0%"
"11","Jeff Wilson Jr. (MIA)","9","51","5.7","28","1","0","3","3","21","7.0","1","0","1","13.2","13.2","12.7%"
"12","Rhamondre Stevenson (NE)","15","60","4.0","16","0","0","3","7","10","3.3","1","0","1","13.0","13.0","89.5%"
"13","Tyler Allgeier (ATL)","10","99","9.9","44","3","0","1","1","24","24.0","0","0","1","12.3","12.3","42.8%"
"14","Dalvin Cook (NYJ)","17","47","2.8","9","0","0","2","6","9","4.5","1","0","1","11.6","11.6","23.0%"
"15","James Robinson (NO)","13","48","3.7","16","0","0","2","2","5","2.5","1","0","1","11.3","11.3","0.1%"
"16","Raheem Blackshear (CAR)","5","13","2.6","5","0","1","4","4","40","10.0","0","0","1","11.3","11.3","0.4%"
"17","Jamaal Williams (NO)","24","81","3.4","14","0","0","0","0","0","0","0","0","1","10.1","10.1","17.5%"
"18","Kenneth Gainwell (PHI)","4","22","5.5","8","0","1","3","3","16","5.3","0","0","1","9.8","9.8","21.6%"
"19","Josh Jacobs (LV)","17","67","3.9","15","0","0","3","3","20","6.7","0","0","1","8.7","8.7","99.0%"
"20","Raheem Mostert (MIA)","9","26","2.9","14","0","1","0","2","0","0","0","0","1","8.6","8.6","97.8%"
"21","James Conner (ARI)","7","45","6.4","14","0","0","5","5","19","3.8","0","0","1","6.4","6.4","90.8%"
"22","Alvin Kamara (NO)","9","30","3.3","10","0","0","3","4","32","10.7","0","0","1","6.2","6.2","98.8%"
"23","Leonard Fournette (BUF)","9","19","2.1","6","0","0","5","7","41","8.2","0","0","1","6.0","6.0","3.0%"
"24","Darrell Henderson Jr. (FA)","12","56","4.7","23","1","0","0","1","0","0","0","0","1","5.6","5.6","7.5%"
"25","Samaje Perine (DEN)","6","51","8.5","29","1","0","1","2","3","3.0","0","0","1","5.4","5.4","28.2%"
"26","D'Andre Swift (PHI)","2","10","5.0","7","0","0","3","4","40","13.3","0","0","1","5.0","5.0","96.8%"
"27","Devin Singletary (HOU)","8","24","3.0","5","0","0","4","5","24","6.0","0","0","1","4.8","4.8","73.8%"
"28","Antonio Gibson (WAS)","11","36","3.3","9","0","0","2","3","11","5.5","0","0","1","4.7","4.7","58.3%"
"29","Aaron Jones (GB)","9","25","2.8","9","0","0","2","2","20","10.0","0","0","1","4.5","4.5","92.7%"
"30","Jerick McKinnon (KC)","3","4","1.3","3","0","0","6","8","40","6.7","0","0","1","4.4","4.4","39.0%"
"31","AJ Dillon (GB)","11","34","3.1","9","0","0","2","4","10","5.0","0","0","1","4.4","4.4","67.0%"
"32","David Montgomery (DET)","14","36","2.6","8","0","0","1","2","8","8.0","0","0","1","4.4","4.4","96.0%"
"33","Brian Robinson Jr. (WAS)","13","44","3.4","6","0","0","2","2","-6","-3.0","0","0","1","3.8","3.8","86.5%"
"34","Deon Jackson (NYG)","11","23","2.1","5","0","0","2","3","13","6.5","0","0","1","3.6","3.6","1.2%"
"35","Rachaad White (TB)","8","27","3.4","7","0","0","3","3","7","2.3","0","0","1","3.4","3.4","96.2%"
"36","Caleb Huntley (FA)","7","34","4.9","9","0","0","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"37","James Cook (BUF)","4","15","3.8","6","0","0","2","4","18","9.0","0","0","1","3.3","3.3","94.9%"
"38","Travis Homer (CHI)","1","7","7.0","7","0","0","3","3","25","8.3","0","0","1","3.2","3.2","0.1%"
"39","Isaiah Spiller (LAC)","7","29","4.1","7","0","0","0","0","0","0","0","0","1","2.9","2.9","0.3%"
"40","Jordan Wilkins (FA)","3","13","4.3","5","0","0","4","5","15","3.8","0","0","1","2.8","2.8","0.0%"
"41","Eno Benjamin (NO)","4","12","3.0","5","0","0","1","1","15","15.0","0","0","1","2.7","2.7","0.0%"
"42","Justin Jackson (FA)","4","27","6.8","11","0","0","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"43","Spencer Brown (CAR)","3","16","5.3","7","0","0","2","3","10","5.0","0","0","1","2.6","2.6","0.0%"
"44","Khalil Herbert (CHI)","7","23","3.3","5","0","0","0","0","0","0","0","0","1","2.3","2.3","48.8%"
"45","D'Onta Foreman (CHI)","7","23","3.3","6","0","0","2","3","-2","-1.0","0","0","1","2.1","2.1","41.0%"
"46","Justice Hill (BAL)","4","11","2.8","9","0","0","1","1","8","8.0","0","0","1","1.9","1.9","10.8%"
"47","Malcolm Brown (FA)","2","9","4.5","6","0","0","1","1","10","10.0","0","0","1","1.9","1.9","0.0%"
"48","Clyde Edwards-Helaire (KC)","4","5","1.3","3","0","0","1","2","14","14.0","0","0","1","1.9","1.9","36.5%"
"49","J.J. Taylor (HOU)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","1.7","1.7","0.0%"
"50","Ty Johnson (BUF)","2","17","8.5","12","0","0","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"51","Rex Burkhead (FA)","1","9","9.0","9","0","0","1","2","6","6.0","0","0","1","1.5","1.5","10.0%"
"52","Dwayne Washington (DEN)","3","7","2.3","5","0","0","1","1","7","7.0","0","0","1","1.4","1.4","0.0%"
"53","Sony Michel (FA)","1","12","12.0","12","0","0","0","1","0","0","0","0","1","1.2","1.2","0.0%"
"54","JaMycal Hasty (NE)","3","6","2.0","4","0","0","1","1","5","5.0","0","0","1","1.1","1.1","0.1%"
"55","Brandon Bolden (LV)","1","5","5.0","5","0","0","1","1","5","5.0","0","0","1","1.0","1.0","0.1%"
"56","Isiah Pacheco (KC)","5","5","1.0","2","0","0","1","1","4","4.0","0","0","1","0.9","0.9","95.6%"
"57","Michael Burton (DEN)","1","0","0.0","0","0","0","1","1","9","9.0","0","0","1","0.9","0.9","0.1%"
"58","Ameer Abdullah (LV)","0","0","0","0","0","0","1","3","8","8.0","0","0","1","0.8","0.8","1.1%"
"59","Dontrell Hilliard (FA)","3","12","4.0","5","0","0","1","1","-4","-4.0","0","0","1","0.8","0.8","0.0%"
"60","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
