"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","16","173","10.8","71","5","1","4","4","26","6.5","1","0","1","31.9","31.9","100.0%"
"2","Leonard Fournette (BUF)","14","56","4.0","14","0","1","10","11","83","8.3","1","0","1","25.9","25.9","3.0%"
"3","Breece Hall (NYJ)","18","97","5.4","17","0","1","2","2","100","50.0","0","0","1","25.7","25.7","97.4%"
"4","Nick Chubb (CLE)","17","134","7.9","41","4","2","0","1","0","0","0","0","1","25.4","25.4","22.1%"
"5","Josh Jacobs (LV)","21","154","7.3","37","3","1","5","5","39","7.8","0","0","1","25.3","25.3","99.0%"
"6","Derrick Henry (TEN)","28","102","3.6","15","0","2","2","2","30","15.0","0","0","1","25.2","25.2","99.8%"
"7","Dalvin Cook (NYJ)","18","94","5.2","15","0","2","2","2","27","13.5","0","0","1","24.1","24.1","23.0%"
"8","Jeff Wilson Jr. (MIA)","17","120","7.1","41","4","1","1","2","12","12.0","0","0","1","19.2","19.2","12.7%"
"9","Tevin Coleman (FA)","8","23","2.9","14","0","1","3","3","44","14.7","1","0","1","18.7","18.7","0.0%"
"10","Raheem Mostert (MIA)","18","113","6.3","24","2","1","1","3","9","9.0","0","0","1","18.2","18.2","97.8%"
"11","Rhamondre Stevenson (NE)","25","161","6.4","49","4","0","2","2","14","7.0","0","0","1","17.5","17.5","89.5%"
"12","Alvin Kamara (NO)","23","103","4.5","13","0","0","6","6","91","15.2","0","1","1","17.4","17.4","98.8%"
"13","Dameon Pierce (HOU)","26","99","3.8","20","1","1","3","5","14","4.7","0","0","1","17.3","17.3","62.0%"
"14","Saquon Barkley (NYG)","13","70","5.4","40","3","1","3","6","36","12.0","0","0","1","16.6","16.6","100.0%"
"15","Christian McCaffrey (SF)","14","54","3.9","19","0","1","7","12","50","7.1","0","0","1","16.4","16.4","100.0%"
"16","Michael Carter (ARI)","10","21","2.1","8","0","2","2","2","12","6.0","0","0","1","15.3","15.3","1.4%"
"17","Kenneth Walker III (SEA)","8","88","11.0","69","4","1","0","0","0","0","0","0","1","14.8","14.8","96.4%"
"18","Tony Pollard (DAL)","8","86","10.8","57","4","1","0","0","0","0","0","0","1","14.6","14.6","99.8%"
"19","David Montgomery (DET)","12","20","1.7","9","0","1","4","4","62","15.5","0","0","1","14.2","14.2","96.0%"
"20","Joshua Kelley (LAC)","10","49","4.9","16","0","1","2","2","33","16.5","0","0","1","14.2","14.2","12.5%"
"21","Kareem Hunt (CLE)","11","47","4.3","17","0","1","3","3","10","3.3","0","0","1","11.7","11.7","52.4%"
"22","Travis Etienne Jr. (JAC)","10","71","7.1","30","2","0","3","5","43","14.3","0","0","1","11.4","11.4","99.9%"
"23","Eno Benjamin (NO)","8","25","3.1","11","0","1","3","4","28","9.3","0","0","1","11.3","11.3","0.0%"
"24","Melvin Gordon III (BAL)","15","54","3.6","17","0","0","3","3","49","16.3","0","0","1","10.3","10.3","0.1%"
"25","Craig Reynolds (DET)","6","24","4.0","19","0","0","3","3","68","22.7","0","0","1","9.2","9.2","1.8%"
"26","James Cook (BUF)","4","31","7.8","24","1","1","0","0","0","0","0","0","1","9.1","9.1","94.9%"
"27","Deon Jackson (NYG)","13","62","4.8","17","0","0","4","4","29","7.3","0","0","1","9.1","9.1","1.2%"
"28","Joe Mixon (CIN)","14","78","5.6","12","0","0","3","3","10","3.3","0","0","1","8.8","8.8","98.8%"
"29","Mike Boone (FA)","7","38","5.4","18","0","0","3","3","47","15.7","0","0","1","8.5","8.5","0.5%"
"30","Dontrell Hilliard (FA)","1","0","0.0","0","0","0","4","5","23","5.8","1","0","1","8.3","8.3","0.0%"
"31","Avery Williams (ATL)","3","11","3.7","8","0","1","2","2","10","5.0","0","0","1","8.1","8.1","0.0%"
"32","Aaron Jones (GB)","13","63","4.8","11","0","0","2","3","17","8.5","0","0","1","8.0","8.0","92.7%"
"33","Ezekiel Elliott (NE)","22","78","3.5","12","0","0","0","0","0","0","0","0","1","7.8","7.8","81.3%"
"34","Jerick McKinnon (KC)","8","53","6.6","30","2","0","2","3","19","9.5","0","0","1","7.2","7.2","39.0%"
"35","Gary Brightwell (NYG)","2","5","2.5","3","0","1","0","0","0","0","0","0","1","6.5","6.5","0.3%"
"36","Miles Sanders (CAR)","15","58","3.9","12","0","0","2","3","6","3.0","0","0","1","6.4","6.4","47.5%"
"37","Jaylen Warren (PIT)","5","24","4.8","12","0","0","4","5","39","9.8","0","0","1","6.3","6.3","81.4%"
"38","James Conner (ARI)","9","55","6.1","17","0","0","1","1","8","8.0","0","0","1","6.3","6.3","90.8%"
"39","Jamaal Williams (NO)","15","56","3.7","13","0","0","0","0","0","0","0","0","1","5.6","5.6","17.5%"
"40","Samaje Perine (DEN)","3","17","5.7","9","0","0","4","4","39","9.8","0","0","1","5.6","5.6","28.2%"
"41","Phillip Lindsay (FA)","11","40","3.6","15","0","0","3","4","14","4.7","0","0","1","5.4","5.4","0.0%"
"42","Rashaad Penny (PHI)","8","54","6.8","32","2","0","0","0","0","0","0","0","1","5.4","5.4","11.7%"
"43","Devin Singletary (HOU)","6","42","7.0","23","1","0","1","2","4","4.0","0","0","1","4.6","4.6","73.8%"
"44","Tyler Allgeier (ATL)","13","45","3.5","17","0","0","0","0","0","0","0","0","1","4.5","4.5","42.8%"
"45","J.K. Dobbins (BAL)","8","44","5.5","17","0","0","0","0","0","0","0","0","1","4.4","4.4","16.2%"
"46","Rachaad White (TB)","5","14","2.8","7","0","0","3","4","28","9.3","0","0","1","4.2","4.2","96.2%"
"47","Alexander Mattison (MIN)","9","19","2.1","7","0","0","3","4","21","7.0","0","0","1","4.0","4.0","81.8%"
"48","Antonio Gibson (WAS)","3","6","2.0","3","0","0","3","4","33","11.0","0","0","1","3.9","3.9","58.3%"
"49","James Robinson (NO)","10","27","2.7","9","0","0","2","2","12","6.0","0","0","1","3.9","3.9","0.1%"
"50","J.D. McKissic (FA)","0","0","0","0","0","0","5","7","37","7.4","0","0","1","3.7","3.7","0.0%"
"51","Najee Harris (PIT)","11","20","1.8","6","0","0","3","4","16","5.3","0","0","1","3.6","3.6","92.9%"
"52","Mark Ingram II (FA)","9","16","1.8","4","0","0","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"53","Clyde Edwards-Helaire (KC)","9","15","1.7","8","0","0","3","4","20","6.7","0","0","1","3.5","3.5","36.5%"
"54","AJ Dillon (GB)","6","34","5.7","11","0","0","0","0","0","0","0","0","1","3.4","3.4","67.0%"
"55","Brandon Bolden (LV)","1","5","5.0","5","0","0","3","3","29","9.7","0","0","1","3.4","3.4","0.1%"
"56","Caleb Huntley (FA)","8","34","4.3","22","1","0","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"57","Cam Akers (MIN)","13","33","2.5","13","0","0","0","1","0","0","0","0","1","3.3","3.3","20.5%"
"58","Myles Gaskin (MIN)","4","9","2.3","6","0","0","3","5","24","8.0","0","0","1","3.3","3.3","0.1%"
"59","Darrell Henderson Jr. (FA)","0","0","0","0","0","0","4","5","30","7.5","0","0","1","3.0","3.0","7.5%"
"60","Rex Burkhead (FA)","3","15","5.0","9","0","0","2","3","13","6.5","0","0","1","2.8","2.8","10.0%"
"61","Matt Breida (NYG)","4","14","3.5","10","0","0","2","2","13","6.5","0","0","1","2.7","2.7","2.7%"
"62","Kenyan Drake (GB)","4","26","6.5","14","0","0","1","1","1","1.0","0","0","1","2.7","2.7","0.2%"
"63","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","2","27","13.5","0","0","1","2.7","2.7","0.3%"
"64","Brian Robinson Jr. (WAS)","9","22","2.4","6","0","0","0","0","0","0","0","0","1","2.2","2.2","86.5%"
"65","Kenneth Gainwell (PHI)","3","20","6.7","11","0","0","0","0","0","0","0","0","1","2.0","2.0","21.6%"
"66","Justin Jackson (FA)","3","14","4.7","11","0","0","0","1","0","0","0","0","1","1.4","1.4","0.0%"
"67","Damien Harris (BUF)","4","11","2.8","9","0","0","1","1","1","1.0","0","0","1","1.2","1.2","7.1%"
"68","Khalil Herbert (CHI)","4","11","2.8","7","0","0","0","0","0","0","0","0","1","1.1","1.1","48.8%"
"69","DeeJay Dallas (SEA)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","1","1.0","1.0","0.8%"
"70","Darrel Williams (FA)","3","9","3.0","7","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"71","Nyheim Hines (BUF)","1","3","3.0","3","0","0","1","2","5","5.0","0","0","1","0.8","0.8","0.1%"
"72","Zack Moss (IND)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","88.9%"
"73","JaMycal Hasty (NE)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"74","Jakob Johnson (LV)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.0%"
"75","Zander Horvath (FA)","2","3","1.5","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"76","Mike Davis (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","1.0%"
"77","D'Onta Foreman (CHI)","2","2","1.0","5","0","0","0","0","0","0","0","0","1","0.2","0.2","41.0%"
"78","Devine Ozigbo (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"79","Derek Watt (FA)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","0.1","0.1","0.0%"
"80","Chase Edmonds (TB)","1","1","1.0","1","0","0","0","2","0","0","0","0","1","0.1","0.1","1.0%"
"81","Chris Myarick (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.0","0.0","0.0%"
"82","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","49.5%"
"83","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"84","Andrew Beck (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"85","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
