"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jerick McKinnon (KC)","10","52","5.2","26","1","1","8","8","70","8.8","1","0","1","26.2","26.2","39.0%"
"2","Dalvin Cook (NYJ)","17","95","5.6","40","3","0","4","4","95","23.8","1","1","1","23.0","23.0","23.0%"
"3","Rhamondre Stevenson (NE)","19","172","9.1","34","4","1","2","3","-4","-2.0","0","0","1","22.8","22.8","89.5%"
"4","Derrick Henry (TEN)","21","104","5.0","13","0","1","4","4","59","14.8","0","0","1","22.3","22.3","99.8%"
"5","Tyler Allgeier (ATL)","17","139","8.2","43","3","1","1","1","-3","-3.0","0","0","1","21.6","21.6","42.8%"
"6","David Montgomery (DET)","12","53","4.4","9","0","1","3","3","38","12.7","1","0","1","21.1","21.1","96.0%"
"7","Latavius Murray (BUF)","24","130","5.4","35","3","1","1","1","12","12.0","0","0","1","20.2","20.2","15.2%"
"8","Christian McCaffrey (SF)","26","108","4.2","23","1","1","6","8","30","5.0","0","0","1","19.8","19.8","100.0%"
"9","AJ Dillon (GB)","11","36","3.3","8","0","2","3","3","35","11.7","0","0","1","19.1","19.1","67.0%"
"10","Saquon Barkley (NYG)","18","87","4.8","15","0","1","5","8","33","6.6","0","0","1","18.0","18.0","100.0%"
"11","Aaron Jones (GB)","17","90","5.3","14","0","0","4","5","36","9.0","1","1","1","16.6","16.6","92.7%"
"12","Raheem Mostert (MIA)","17","136","8.0","67","4","0","1","2","20","20.0","0","0","1","15.6","15.6","97.8%"
"13","James Conner (ARI)","16","63","3.9","14","0","1","3","5","28","9.3","0","0","1","15.1","15.1","90.8%"
"14","Najee Harris (PIT)","24","86","3.6","10","0","1","0","0","0","0","0","0","1","14.6","14.6","92.9%"
"15","Ezekiel Elliott (NE)","16","58","3.6","10","0","1","2","2","13","6.5","0","0","1","13.1","13.1","81.3%"
"16","Austin Ekeler (LAC)","12","58","4.8","12","0","1","2","3","12","6.0","0","0","1","13.0","13.0","100.0%"
"17","J.K. Dobbins (BAL)","13","125","9.6","37","3","0","1","1","3","3.0","0","0","1","12.8","12.8","16.2%"
"18","Marlon Mack (ARI)","5","37","7.4","17","0","1","4","4","26","6.5","0","0","1","12.3","12.3","0.0%"
"19","Cordarrelle Patterson (ATL)","14","52","3.7","11","0","1","1","3","0","0.0","0","0","1","11.2","11.2","2.0%"
"20","Josh Jacobs (LV)","22","93","4.2","18","0","0","2","3","17","8.5","0","0","1","11.0","11.0","99.0%"
"21","Jaylen Warren (PIT)","11","38","3.5","9","0","1","1","1","11","11.0","0","0","1","10.9","10.9","81.4%"
"22","Travis Etienne Jr. (JAC)","19","103","5.4","16","0","0","2","3","24","12.0","0","1","1","10.7","10.7","99.9%"
"23","Brian Robinson Jr. (WAS)","12","89","7.4","19","0","0","1","1","18","18.0","0","0","1","10.7","10.7","86.5%"
"24","Tony Pollard (DAL)","19","75","3.9","21","1","0","4","5","31","7.8","0","0","1","10.6","10.6","99.8%"
"25","Alvin Kamara (NO)","21","91","4.3","13","0","0","2","2","13","6.5","0","0","1","10.4","10.4","98.8%"
"26","Salvon Ahmed (MIA)","6","43","7.2","11","0","1","0","0","0","0","0","0","1","10.3","10.3","1.1%"
"27","Cam Akers (MIN)","12","65","5.4","19","0","0","3","3","35","11.7","0","0","1","10.0","10.0","20.5%"
"28","James Cook (BUF)","5","34","6.8","16","0","0","2","3","5","2.5","1","0","1","9.9","9.9","94.9%"
"29","Nick Chubb (CLE)","21","99","4.7","18","0","0","0","2","0","0","0","0","1","9.9","9.9","22.1%"
"30","Deon Jackson (NYG)","13","55","4.2","16","0","0","1","1","1","1.0","1","1","1","9.6","9.6","1.2%"
"31","Joshua Kelley (LAC)","10","24","2.4","4","0","1","1","2","7","7.0","0","0","1","9.1","9.1","12.5%"
"32","Zack Moss (IND)","24","81","3.4","11","0","0","0","1","0","0","0","0","1","8.1","8.1","88.9%"
"33","Kenneth Walker III (SEA)","12","47","3.9","15","0","0","4","5","32","8.0","0","0","1","7.9","7.9","96.4%"
"34","Isiah Pacheco (KC)","15","86","5.7","18","0","0","1","1","11","11.0","0","1","1","7.7","7.7","95.6%"
"35","D'Andre Swift (PHI)","8","52","6.5","16","0","0","5","9","23","4.6","0","0","1","7.5","7.5","96.8%"
"36","Leonard Fournette (BUF)","10","44","4.4","8","0","0","4","4","30","7.5","0","0","1","7.4","7.4","3.0%"
"37","Devin Singletary (HOU)","13","42","3.2","8","0","0","3","4","28","9.3","0","0","1","7.0","7.0","73.8%"
"38","Nyheim Hines (BUF)","0","0","0","0","0","0","1","1","10","10.0","1","0","1","7.0","7.0","0.1%"
"39","Chuba Hubbard (CAR)","4","10","2.5","3","0","0","3","3","57","19.0","0","0","1","6.7","6.7","74.8%"
"40","C.J. Ham (MIN)","2","1","0.5","1","0","1","1","1","4","4.0","0","0","1","6.5","6.5","0.1%"
"41","Jordan Mason (SF)","4","64","16.0","55","4","0","0","0","0","0","0","0","1","6.4","6.4","2.2%"
"42","Royce Freeman (LAR)","11","51","4.6","11","0","0","1","1","5","5.0","0","0","1","5.6","5.6","9.8%"
"43","Gus Edwards (BAL)","7","55","7.9","25","1","0","0","0","0","0","0","0","1","5.5","5.5","76.2%"
"44","Joe Mixon (CIN)","11","21","1.9","5","0","0","5","6","33","6.6","0","0","1","5.4","5.4","98.8%"
"45","Rachaad White (TB)","11","38","3.5","7","0","0","1","2","5","5.0","0","0","1","4.3","4.3","96.2%"
"46","Pierre Strong Jr. (CLE)","4","25","6.3","14","0","0","3","3","12","4.0","0","0","1","3.7","3.7","0.7%"
"47","Jamaal Williams (NO)","13","33","2.5","10","0","0","0","0","0","0","0","0","1","3.3","3.3","17.5%"
"48","Michael Carter (ARI)","4","15","3.8","6","0","0","1","1","16","16.0","0","0","1","3.1","3.1","1.4%"
"49","Justin Jackson (FA)","6","16","2.7","4","0","0","1","2","15","15.0","0","0","1","3.1","3.1","0.0%"
"50","Antonio Gibson (WAS)","5","21","4.2","10","0","0","2","4","6","3.0","0","0","1","2.7","2.7","58.3%"
"51","Kareem Hunt (CLE)","4","24","6.0","9","0","0","1","1","3","3.0","0","0","1","2.7","2.7","52.4%"
"52","Samaje Perine (DEN)","7","24","3.4","9","0","0","1","1","0","0.0","0","0","1","2.4","2.4","28.2%"
"53","Zonovan Knight (DET)","13","23","1.8","5","0","0","0","0","0","0","0","0","1","2.3","2.3","0.3%"
"54","Kevin Harris (NE)","5","19","3.8","11","0","0","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"55","Justice Hill (BAL)","1","3","3.0","3","0","0","1","1","15","15.0","0","0","1","1.8","1.8","10.8%"
"56","Rex Burkhead (FA)","0","0","0","0","0","0","2","4","17","8.5","0","0","1","1.7","1.7","10.0%"
"57","JaMycal Hasty (NE)","1","13","13.0","13","0","0","1","1","2","2.0","0","0","1","1.5","1.5","0.1%"
"58","Patrick Taylor Jr. (GB)","4","15","3.8","6","0","0","0","0","0","0","0","0","1","1.5","1.5","2.3%"
"59","Hassan Haskins (TEN)","1","8","8.0","8","0","0","2","2","7","3.5","0","0","1","1.5","1.5","0.1%"
"60","Dare Ogunbowale (HOU)","8","14","1.8","3","0","0","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"61","Ameer Abdullah (LV)","0","0","0","0","0","0","2","2","14","7.0","0","0","1","1.4","1.4","1.1%"
"62","Kenneth Gainwell (PHI)","3","5","1.7","3","0","0","2","2","9","4.5","0","0","1","1.4","1.4","21.6%"
"63","Jonathan Taylor (IND)","0","0","0","0","0","0","1","1","13","13.0","0","0","1","1.3","1.3","94.5%"
"64","Matt Breida (NYG)","2","6","3.0","5","0","0","1","1","6","6.0","0","0","1","1.2","1.2","2.7%"
"65","Avery Williams (ATL)","0","0","0","0","0","0","2","2","10","5.0","0","0","1","1.0","1.0","0.0%"
"66","Travis Homer (CHI)","1","5","5.0","5","0","0","4","4","25","6.3","0","1","1","1.0","1.0","0.1%"
"67","Miles Sanders (CAR)","11","42","3.8","18","0","0","1","1","-13","-13.0","0","1","1","0.9","0.9","47.5%"
"68","Alec Ingold (MIA)","1","2","2.0","2","0","0","1","2","7","7.0","0","0","1","0.9","0.9","0.1%"
"69","Darrynton Evans (MIA)","2","9","4.5","6","0","0","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"70","D'Onta Foreman (CHI)","10","9","0.9","5","0","0","0","0","0","0","0","0","1","0.9","0.9","41.0%"
"71","Kyren Williams (LAR)","2","7","3.5","5","0","0","0","0","0","0","0","0","1","0.7","0.7","96.0%"
"72","Ronald Jones II (FA)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.3%"
"73","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.0%"
"74","Zamir White (LV)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","11.7%"
"75","Adam Prentice (NO)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.0%"
"76","Snoop Conner (JAC)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"77","Derek Watt (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"78","Devine Ozigbo (FA)","2","2","1.0","4","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"79","Caleb Huntley (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"80","Alexander Mattison (MIN)","2","1","0.5","1","0","0","0","0","0","0","0","0","1","0.1","0.1","81.8%"
"81","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.2%"
