"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tony Pollard (DAL)","15","80","5.3","20","1","0","6","6","109","18.2","2","0","1","30.9","30.9","99.8%"
"2","Samaje Perine (DEN)","11","30","2.7","8","0","0","4","4","52","13.0","3","0","1","26.2","26.2","28.2%"
"3","Jamaal Williams (NO)","17","64","3.8","15","0","3","0","0","0","0","0","0","1","24.4","24.4","17.5%"
"4","Najee Harris (PIT)","20","90","4.5","19","0","2","4","6","26","6.5","0","0","1","23.6","23.6","92.9%"
"5","Derrick Henry (TEN)","28","87","3.1","9","0","1","2","2","45","22.5","0","0","1","23.4","23.4","99.8%"
"6","David Montgomery (DET)","17","67","3.9","15","0","1","3","4","54","18.0","0","0","1","18.1","18.1","96.0%"
"7","Ezekiel Elliott (NE)","15","42","2.8","8","0","2","1","1","5","5.0","0","0","1","16.7","16.7","81.3%"
"8","Austin Ekeler (LAC)","19","83","4.4","9","0","1","2","2","17","8.5","0","0","1","16.0","16.0","100.0%"
"9","Josh Jacobs (LV)","24","109","4.5","15","0","0","3","4","51","17.0","0","0","1","16.0","16.0","99.0%"
"10","Devin Singletary (HOU)","18","86","4.8","18","0","1","2","2","11","5.5","0","0","1","15.7","15.7","73.8%"
"11","Jonathan Taylor (IND)","22","84","3.8","28","1","1","3","4","10","3.3","0","1","1","13.4","13.4","94.5%"
"12","Latavius Murray (BUF)","17","49","2.9","12","0","1","4","4","23","5.8","0","0","1","13.2","13.2","15.2%"
"13","James Conner (ARI)","14","42","3.0","14","0","1","2","5","12","6.0","0","0","1","11.4","11.4","90.8%"
"14","Isiah Pacheco (KC)","15","107","7.1","28","1","0","0","0","0","0","0","0","1","10.7","10.7","95.6%"
"15","Christian McCaffrey (SF)","7","39","5.6","20","1","0","7","7","67","9.6","0","0","1","10.6","10.6","100.0%"
"16","Antonio Gibson (WAS)","18","72","4.0","18","0","0","3","3","31","10.3","0","0","1","10.3","10.3","58.3%"
"17","Cordarrelle Patterson (ATL)","10","52","5.2","17","0","0","2","2","7","3.5","0","1","1","9.9","9.9","2.0%"
"18","Damien Harris (BUF)","8","65","8.1","30","3","0","2","2","28","14.0","0","0","1","9.3","9.3","7.1%"
"19","D'Andre Swift (PHI)","5","20","4.0","16","0","1","3","3","12","4.0","0","0","1","9.2","9.2","96.8%"
"20","Matt Breida (NYG)","3","13","4.3","5","0","1","1","1","16","16.0","0","0","1","8.9","8.9","2.7%"
"21","Alvin Kamara (NO)","12","42","3.5","11","0","0","4","5","47","11.8","0","0","1","8.9","8.9","98.8%"
"22","James Cook (BUF)","11","86","7.8","29","1","0","0","1","0","0","0","0","1","8.6","8.6","94.9%"
"23","Rhamondre Stevenson (NE)","15","26","1.7","5","0","0","6","6","56","9.3","0","0","1","8.2","8.2","89.5%"
"24","Aaron Jones (GB)","12","40","3.3","14","0","0","6","7","20","3.3","0","0","1","8.0","8.0","92.7%"
"25","Dontrell Hilliard (FA)","1","4","4.0","4","0","0","1","1","14","14.0","1","0","1","7.8","7.8","0.0%"
"26","Justin Jackson (FA)","9","66","7.3","27","1","0","1","1","11","11.0","0","0","1","7.7","7.7","0.0%"
"27","Dalvin Cook (NYJ)","11","72","6.5","17","0","0","0","1","0","0","0","0","1","7.2","7.2","23.0%"
"28","Melvin Gordon III (BAL)","8","31","3.9","10","0","0","5","5","39","7.8","0","0","1","7.0","7.0","0.1%"
"29","Nick Chubb (CLE)","14","19","1.4","12","0","0","3","3","48","16.0","0","0","1","6.7","6.7","22.1%"
"30","Tyler Allgeier (ATL)","8","55","6.9","26","1","0","1","1","9","9.0","0","0","1","6.4","6.4","42.8%"
"31","Joe Mixon (CIN)","7","20","2.9","7","0","0","3","3","42","14.0","0","0","1","6.2","6.2","98.8%"
"32","Cam Akers (MIN)","14","61","4.4","13","0","0","0","0","0","0","0","0","1","6.1","6.1","20.5%"
"33","Elijah Mitchell (SF)","9","59","6.6","19","0","0","0","0","0","0","0","0","1","5.9","5.9","14.3%"
"34","Brian Robinson Jr. (WAS)","15","57","3.8","14","0","0","0","0","0","0","0","0","1","5.7","5.7","86.5%"
"35","Kareem Hunt (CLE)","5","32","6.4","11","0","0","2","2","22","11.0","0","0","1","5.4","5.4","52.4%"
"36","Kenyan Drake (GB)","10","46","4.6","29","1","0","2","4","7","3.5","0","0","1","5.3","5.3","0.2%"
"37","Miles Sanders (CAR)","13","47","3.6","10","0","0","1","1","1","1.0","0","0","1","4.8","4.8","47.5%"
"38","Kyren Williams (LAR)","7","36","5.1","17","0","0","1","2","8","8.0","0","0","1","4.4","4.4","96.0%"
