"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (TEN)","32","219","6.8","41","4","2","1","1","9","9.0","0","0","1","34.8","34.8","99.8%"
"2","Alvin Kamara (NO)","18","62","3.4","9","0","1","9","10","96","10.7","2","0","1","33.8","33.8","98.8%"
"3","Tony Pollard (DAL)","14","131","9.4","54","4","3","1","1","16","16.0","0","0","1","32.7","32.7","99.8%"
"4","Christian McCaffrey (SF)","18","94","5.2","25","2","1","8","9","55","6.9","1","0","1","32.3","32.3","100.0%"
"5","D'Onta Foreman (CHI)","26","118","4.5","16","0","3","0","1","0","0","0","0","1","31.8","31.8","41.0%"
"6","Nick Chubb (CLE)","23","101","4.4","21","1","2","1","1","3","3.0","0","0","1","24.4","24.4","22.1%"
"7","Travis Etienne Jr. (JAC)","24","156","6.5","49","3","1","3","3","6","2.0","0","0","1","22.2","22.2","99.9%"
"8","Dalvin Cook (NYJ)","20","111","5.6","30","2","1","5","6","30","6.0","0","0","1","20.1","20.1","23.0%"
"9","Jamaal Williams (NO)","10","53","5.3","15","0","2","3","3","23","7.7","0","0","1","19.6","19.6","17.5%"
"10","Khalil Herbert (CHI)","16","99","6.2","36","2","1","0","0","0","0","0","0","1","15.9","15.9","48.8%"
"11","Aaron Jones (GB)","20","143","7.2","32","2","0","4","5","14","3.5","0","0","1","15.7","15.7","92.7%"
"12","Tyler Allgeier (ATL)","14","39","2.8","13","0","0","3","3","46","15.3","1","0","1","14.5","14.5","42.8%"
"13","Rhamondre Stevenson (NE)","16","71","4.4","35","2","0","7","7","72","10.3","0","0","1","14.3","14.3","89.5%"
"14","Miles Sanders (CAR)","9","78","8.7","21","1","1","0","0","0","0","0","0","1","13.8","13.8","47.5%"
"15","Antonio Gibson (WAS)","7","19","2.7","5","0","0","7","7","58","8.3","1","0","1","13.7","13.7","58.3%"
"16","Kenyan Drake (GB)","7","62","8.9","40","3","0","4","4","5","1.3","1","0","1","12.7","12.7","0.2%"
"17","Saquon Barkley (NYG)","20","53","2.7","15","0","1","3","5","9","3.0","0","0","1","12.2","12.2","100.0%"
"18","Latavius Murray (BUF)","14","46","3.3","9","0","1","1","2","13","13.0","0","0","1","11.9","11.9","15.2%"
"19","Leonard Fournette (BUF)","9","24","2.7","9","0","1","3","3","34","11.3","0","0","1","11.8","11.8","3.0%"
"20","Kenneth Walker III (SEA)","18","51","2.8","16","0","1","1","2","1","1.0","0","0","1","11.2","11.2","96.4%"
"21","Melvin Gordon III (BAL)","9","29","3.2","9","0","1","3","4","23","7.7","0","0","1","11.2","11.2","0.1%"
"22","Dameon Pierce (HOU)","15","35","2.3","16","0","0","3","5","16","5.3","1","0","1","11.1","11.1","62.0%"
"23","Nyheim Hines (BUF)","5","20","4.0","9","0","1","2","2","29","14.5","0","0","1","10.9","10.9","0.1%"
"24","Alexander Mattison (MIN)","5","40","8.0","15","0","1","0","0","0","0","0","0","1","10.0","10.0","81.8%"
"25","Dontrell Hilliard (FA)","8","83","10.4","30","3","0","1","1","12","12.0","0","0","1","9.5","9.5","0.0%"
"26","D'Andre Swift (PHI)","5","6","1.2","7","0","0","5","5","27","5.4","1","0","1","9.3","9.3","96.8%"
"27","Caleb Huntley (FA)","16","91","5.7","30","2","0","0","0","0","0","0","0","1","9.1","9.1","0.0%"
"28","Devin Singletary (HOU)","14","67","4.8","30","2","0","1","2","16","16.0","0","0","1","8.3","8.3","73.8%"
"29","James Cook (BUF)","5","35","7.0","17","0","0","1","1","41","41.0","0","0","1","7.6","7.6","94.9%"
"30","Jaylen Warren (PIT)","6","50","8.3","19","0","0","3","3","25","8.3","0","0","1","7.5","7.5","81.4%"
"31","Kareem Hunt (CLE)","11","42","3.8","15","0","0","4","4","30","7.5","0","0","1","7.2","7.2","52.4%"
