"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cam Akers (MIN)","23","118","5.1","21","1","3","2","2","29","14.5","0","0","1","32.7","32.7","20.5%"
"2","D'Onta Foreman (CHI)","21","165","7.9","38","5","1","0","0","0","0","0","0","1","22.5","22.5","41.0%"
"3","Austin Ekeler (LAC)","18","67","3.7","16","0","2","4","4","12","3.0","0","0","1","19.9","19.9","100.0%"
"4","Saquon Barkley (NYG)","14","84","6.0","27","1","1","8","10","49","6.1","0","0","1","19.3","19.3","100.0%"
"5","Devin Singletary (HOU)","12","106","8.8","33","3","1","2","3","19","9.5","0","0","1","18.5","18.5","73.8%"
"6","James Conner (ARI)","15","79","5.3","22","1","1","7","8","41","5.9","0","0","1","18.0","18.0","90.8%"
"7","Alvin Kamara (NO)","20","76","3.8","14","0","1","2","4","34","17.0","0","0","1","17.0","17.0","98.8%"
"8","James Cook (BUF)","11","99","9.0","27","2","1","1","2","9","9.0","0","0","1","16.8","16.8","94.9%"
"9","Derrick Henry (TEN)","23","126","5.5","48","3","1","2","2","0","0.0","0","1","1","16.6","16.6","99.8%"
"10","Leonard Fournette (BUF)","20","72","3.6","23","1","0","9","10","90","10.0","0","0","1","16.2","16.2","3.0%"
"11","Chuba Hubbard (CAR)","12","125","10.4","35","6","0","0","0","0","0","0","0","1","12.5","12.5","74.8%"
"12","Ezekiel Elliott (NE)","16","55","3.4","22","1","1","1","1","6","6.0","0","0","1","12.1","12.1","81.3%"
"13","Christian McCaffrey (SF)","15","46","3.1","9","0","1","2","2","12","6.0","0","0","1","11.8","11.8","100.0%"
"14","Tyler Allgeier (ATL)","18","74","4.1","16","0","0","4","5","43","10.8","0","0","1","11.7","11.7","42.8%"
"15","Rachaad White (TB)","7","36","5.1","18","0","0","4","4","17","4.3","1","0","1","11.3","11.3","96.2%"
"16","Travis Etienne Jr. (JAC)","22","83","3.8","19","0","0","3","3","29","9.7","0","0","1","11.2","11.2","99.9%"
"17","Joe Mixon (CIN)","16","65","4.1","19","0","0","7","9","43","6.1","0","0","1","10.8","10.8","98.8%"
"18","AJ Dillon (GB)","11","36","3.3","11","0","1","2","3","12","6.0","0","0","1","10.8","10.8","67.0%"
"19","Kenneth Walker III (SEA)","26","107","4.1","20","2","0","2","2","-2","-1.0","0","0","1","10.5","10.5","96.4%"
"20","Nick Chubb (CLE)","24","92","3.8","19","0","0","1","1","10","10.0","0","0","1","10.2","10.2","22.1%"
"21","Jeff Wilson Jr. (MIA)","9","37","4.1","12","0","1","1","2","3","3.0","0","0","1","10.0","10.0","12.7%"
"22","Gus Edwards (BAL)","11","99","9.0","37","2","0","0","0","0","0","0","0","1","9.9","9.9","76.2%"
"23","Jerick McKinnon (KC)","5","7","1.4","5","0","0","3","3","31","10.3","1","0","1","9.8","9.8","39.0%"
"24","Najee Harris (PIT)","16","53","3.3","14","0","0","6","9","42","7.0","0","0","1","9.5","9.5","92.9%"
"25","Isiah Pacheco (KC)","14","58","4.1","8","0","0","1","2","32","32.0","0","0","1","9.0","9.0","95.6%"
"26","Tony Pollard (DAL)","9","19","2.1","8","0","0","6","8","61","10.2","0","0","1","8.0","8.0","99.8%"
"27","Dalvin Cook (NYJ)","14","64","4.6","18","0","0","3","4","13","4.3","0","0","1","7.7","7.7","23.0%"
"28","Raheem Blackshear (CAR)","3","3","1.0","7","0","1","1","1","12","12.0","0","0","1","7.5","7.5","0.4%"
"29","Zack Moss (IND)","12","65","5.4","14","0","0","1","1","5","5.0","0","0","1","7.0","7.0","88.9%"
"30","David Montgomery (DET)","16","62","3.9","28","1","0","4","4","22","5.5","0","1","1","6.4","6.4","96.0%"
"31","Latavius Murray (BUF)","8","34","4.3","10","0","0","1","3","6","6.0","0","0","1","6.0","6.0","15.2%"
"32","J.K. Dobbins (BAL)","12","59","4.9","14","0","0","0","1","0","0","0","0","1","5.9","5.9","16.2%"
"33","Brian Robinson Jr. (WAS)","22","58","2.6","10","0","0","0","1","0","0","0","0","1","5.8","5.8","86.5%"
"34","Kenneth Gainwell (PHI)","4","17","4.3","11","0","0","4","4","41","10.3","0","0","1","5.8","5.8","21.6%"
"35","Chase Edmonds (TB)","6","31","5.2","25","1","0","2","2","22","11.0","0","0","1","5.3","5.3","1.0%"
"36","Miles Sanders (CAR)","21","65","3.1","13","0","0","1","1","6","6.0","0","1","1","5.1","5.1","47.5%"
"37","Josh Jacobs (LV)","15","44","2.9","11","0","0","1","1","6","6.0","0","0","1","5.0","5.0","99.0%"
