"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","D'Onta Foreman (CHI)","1","16","89","5.6","83","5.2","6","0.4","2","1","-1","3","3","0","0","0","0","14","3","5","2","2"
"2","Gus Edwards (BAL)","1","14","64","4.6","29","2.1","35","2.5","2","1","-1","2","1","1","0","0","0","20","1","1","0","10"
"3","Travis Etienne Jr. (JAC)","1","14","53","3.8","35","2.5","18","1.3","1","1","-2","17","2","0","0","0","0","17","3","5","0","2"
"4","Christian McCaffrey (SF)","1","15","45","3.0","25","1.7","20","1.3","1","1","-3","3","0","0","0","0","0","9","3","3","0","32"
"5","Jahmyr Gibbs (DET)","1","11","68","6.2","47","4.3","21","1.9","1","0","0","21","1","1","0","0","0","21","9","10","1","8"
"6","Jonathan Taylor (IND)","1","18","75","4.2","38","2.1","37","2.1","0","0","0","5","1","1","0","0","0","24","3","4","1","4"
"7","Alvin Kamara (NO)","1","17","62","3.6","49","2.9","13","0.8","0","2","-3","0","3","0","0","0","0","17","12","14","1","17"
"8","James Cook (BUF)","1","13","56","4.3","23","1.8","33","2.5","0","1","-5","0","1","1","0","0","0","20","3","3","1","10"
"9","Saquon Barkley (NYG)","1","21","77","3.7","52","2.5","25","1.2","1","2","-2","0","1","0","0","0","0","12","3","4","0","2"
"10","Jerome Ford (CLE)","1","11","74","6.7","69","6.3","5","0.5","0","3","-13","69","1","1","1","1","1","69","2","4","0","1"
"11","Kareem Hunt (CLE)","1","10","31","3.1","23","2.3","8","0.8","0","0","0","2","1","0","0","0","0","11","0","1","0","0"
"12","Joshua Kelley (LAC)","1","7","75","10.7","41","5.9","34","4.9","1","0","0","49","1","1","1","1","0","49","0","0","0","0"
"13","Najee Harris (PIT)","1","14","53","3.8","22","1.6","31","2.2","6","1","-5","3","1","0","0","0","0","10","3","3","1","8"
"14","Darrell Henderson Jr. (FA)","1","18","61","3.4","27","1.5","34","1.9","1","2","-3","1","1","0","0","0","0","16","1","2","1","5"
"15","Isiah Pacheco (KC)","1","13","32","2.5","23","1.8","9","0.7","2","1","-3","0","0","0","0","0","0","6","4","4","1","2"
"16","Tyler Allgeier (ATL)","1","21","59","2.8","35","1.7","24","1.1","0","1","-4","0","1","0","0","0","0","12","3","3","1","8"
"17","Kenneth Walker III (SEA)","1","26","105","4.0","78","3.0","27","1.0","0","3","-4","0","1","1","0","0","0","25","2","3","0","2"
"18","Rachaad White (TB)","1","13","34","2.6","26","2.0","8","0.6","0","2","-2","0","1","0","0","0","0","13","6","6","1","10"
