"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Raheem Mostert (MIA)","1","17","115","6.8","75","4.4","40","2.4","2","2","-3","4","3","1","1","1","0","49","3","3","1","6"
"2","Kyren Williams (LAR)","1","20","158","7.9","143","7.2","15","0.8","2","2","-2","5","5","2","1","0","0","31","0","0","0","0"
"3","Travis Etienne Jr. (JAC)","1","18","55","3.1","24","1.3","31","1.7","0","5","-15","22","1","1","0","0","0","22","3","3","0","18"
"4","Derrick Henry (TEN)","1","12","97","8.1","70","5.8","27","2.3","4","1","-1","15","2","1","1","1","1","63","2","2","0","5"
"5","Breece Hall (NYJ)","1","12","39","3.3","26","2.2","13","1.1","0","2","-4","8","0","0","0","0","0","9","5","5","0","25"
"6","Chuba Hubbard (CAR)","1","19","88","4.6","83","4.4","5","0.3","1","0","0","6","1","0","0","0","0","19","1","1","0","0"
"7","Kenneth Walker III (SEA)","1","19","62","3.3","47","2.5","15","0.8","2","4","-6","1","1","1","0","0","0","21","3","3","0","4"
"8","Kareem Hunt (CLE)","1","12","47","3.9","40","3.3","7","0.6","0","1","-1","16","1","0","0","0","0","16","3","3","0","5"
"9","Rhamondre Stevenson (NE)","1","10","46","4.6","32","3.2","14","1.4","0","0","0","1","1","0","0","0","0","15","5","6","1","7"
"10","Zack Moss (IND)","1","7","21","3.0","10","1.4","11","1.6","0","0","0","3","0","0","0","0","0","9","6","7","0","15"
"11","Brian Robinson Jr. (WAS)","1","10","31","3.1","27","2.7","4","0.4","0","0","0","0","0","0","0","0","0","9","2","2","0","0"
"12","Christian McCaffrey (SF)","1","11","43","3.9","28","2.5","15","1.4","1","2","-5","0","1","1","0","0","0","27","3","3","2","0"
"13","Tony Pollard (DAL)","1","15","30","2.0","12","0.8","18","1.2","0","2","-4","0","0","0","0","0","0","7","6","7","2","51"
"14","Ezekiel Elliott (NE)","1","7","34","4.9","22","3.1","12","1.7","0","0","0","2","0","0","0","0","0","8","1","1","0","0"
"15","Alvin Kamara (NO)","1","19","68","3.6","33","1.7","35","1.8","0","3","-6","0","1","0","0","0","0","13","7","8","1","4"
"16","D'Andre Swift (PHI)","1","10","18","1.8","11","1.1","7","0.7","0","2","-8","0","0","0","0","0","0","9","8","10","1","6"
"17","Saquon Barkley (NYG)","1","24","93","3.9","65","2.7","28","1.2","0","6","-12","0","2","1","1","0","0","34","4","5","2","0"
"18","Isiah Pacheco (KC)","1","16","62","3.9","47","2.9","15","0.9","0","3","-3","0","1","0","0","0","0","15","6","6","1","3"
"19","Salvon Ahmed (MIA)","1","6","23","3.8","0","0.0","0","0.0","0","0","0","9","0","0","0","0","0","9","3","5","1","0"
"20","Josh Jacobs (LV)","1","25","77","3.1","53","2.1","24","1.0","0","2","-3","0","1","0","0","0","0","18","2","5","0","1"
"21","Jerome Ford (CLE)","1","17","84","4.9","53","3.1","31","1.8","1","3","-7","0","3","1","0","0","0","22","2","2","0","0"
"22","Jordan Mason (SF)","1","5","27","5.4","11","2.2","16","3.2","0","0","0","8","1","0","0","0","0","10","0","0","0","0"
