"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Rachaad White (TB)","1","20","73","3.7","53","2.7","20","1.0","1","1","-1","1","3","0","0","0","0","16","4","4","2","6"
"2","Josh Jacobs (LV)","1","26","98","3.8","92","3.5","6","0.2","1","3","-7","2","2","0","0","0","0","15","0","0","0","0"
"3","Keaton Mitchell (BAL)","1","9","138","15.3","63","7.0","75","8.3","0","1","-4","40","3","2","2","2","1","60","1","1","0","0"
"4","Austin Ekeler (LAC)","1","14","47","3.4","14","1.0","33","2.4","2","1","-2","2","1","1","0","0","0","20","2","7","0","4"
"5","Rhamondre Stevenson (NE)","1","9","87","9.7","17","1.9","70","7.8","2","1","-1","64","1","1","1","1","1","64","4","6","0","4"
"6","Gus Edwards (BAL)","1","5","52","10.4","14","2.8","38","7.6","1","0","0","4","1","1","1","1","0","42","0","0","0","0"
"7","Derrick Henry (TEN)","1","17","75","4.4","47","2.8","28","1.6","1","0","0","2","2","0","0","0","0","15","3","4","1","2"
"8","Alexander Mattison (MIN)","1","16","44","2.8","17","1.1","27","1.7","0","2","-4","0","0","0","0","0","0","8","2","2","1","11"
"9","Raheem Mostert (MIA)","1","12","85","7.1","56","4.7","29","2.4","1","0","0","13","3","1","0","0","0","25","0","1","0","0"
"10","Aaron Jones (GB)","1","20","73","3.7","47","2.4","26","1.3","0","0","0","3","0","0","0","0","0","9","4","6","0","8"
"11","Najee Harris (PIT)","1","16","69","4.3","37","2.3","32","2.0","0","3","-6","10","2","1","0","0","0","25","2","4","0","4"
"12","Jonathan Taylor (IND)","1","18","47","2.6","14","0.8","33","1.8","2","3","-4","0","1","0","0","0","0","13","5","5","1","7"
"13","Joe Mixon (CIN)","1","14","37","2.6","22","1.6","15","1.1","0","2","-7","2","1","0","0","0","0","12","5","6","1","0"
"14","Saquon Barkley (NYG)","1","16","90","5.6","84","5.3","6","0.4","0","1","-2","0","2","1","0","0","0","26","3","4","0","0"
"15","Jaylen Warren (PIT)","1","11","88","8.0","46","4.2","42","3.8","1","0","0","0","4","1","0","0","0","22","3","3","0","3"
"16","Brian Robinson Jr. (WAS)","1","18","63","3.5","47","2.6","16","0.9","0","0","0","9","0","0","0","0","0","9","1","2","0","0"
"17","Kareem Hunt (CLE)","1","14","38","2.7","19","1.4","19","1.4","1","1","-1","3","1","0","0","0","0","10","0","1","0","0"
"18","Tyler Allgeier (ATL)","1","12","39","3.3","10","0.8","29","2.4","0","3","-9","5","1","0","0","0","0","13","2","3","0","0"
"19","Jerick McKinnon (KC)","1","1","2","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","2","2","1","0"
"20","Kenneth Gainwell (PHI)","1","3","22","7.3","19","6.3","3","1.0","0","0","0","12","1","0","0","0","0","12","1","1","0","0"
"21","D'Onta Foreman (CHI)","1","20","83","4.2","74","3.7","9","0.5","3","1","-1","0","2","1","0","0","0","22","0","0","0","0"
"22","Jerome Ford (CLE)","1","20","44","2.2","20","1.0","24","1.2","0","5","-12","0","0","0","0","0","0","9","5","7","0","11"
"23","Antonio Gibson (WAS)","1","6","34","5.7","19","3.2","15","2.5","0","0","0","0","1","0","0","0","0","12","5","5","0","7"
"24","D'Andre Swift (PHI)","1","18","43","2.4","32","1.8","11","0.6","2","2","-2","0","0","0","0","0","0","8","2","2","0","2"
"25","Alvin Kamara (NO)","1","9","26","2.9","20","2.2","6","0.7","2","1","-2","0","1","0","0","0","0","13","4","5","0","17"
"26","Chuba Hubbard (CAR)","1","16","58","3.6","24","1.5","34","2.1","2","1","-4","0","1","1","0","0","0","20","4","6","0","1"
"27","Isiah Pacheco (KC)","1","16","66","4.1","40","2.5","26","1.6","0","0","0","0","0","0","0","0","0","9","0","1","0","0"
"28","Tony Pollard (DAL)","1","12","51","4.3","30","2.3","26","2.0","1","0","0","0","1","0","0","0","0","15","3","5","0","5"
"29","Miles Sanders (CAR)","1","6","39","6.5","12","2.0","27","4.5","1","0","0","0","2","0","0","0","0","11","3","5","0","5"
"30","Breece Hall (NYJ)","1","16","50","3.1","22","1.4","28","1.8","2","0","0","0","1","0","0","0","0","10","4","4","0","4"
"31","AJ Dillon (GB)","1","9","40","4.4","24","2.7","16","1.8","1","0","0","0","1","0","0","0","0","12","1","1","0","2"
"32","Emanuel Wilson (GB)","1","4","43","10.8","40","10.0","3","0.8","0","0","0","0","1","1","1","0","0","31","0","0","0","0"
"33","Justice Hill (BAL)","1","13","40","3.1","30","2.3","10","0.8","0","1","-1","0","0","0","0","0","0","9","0","1","0","0"
"34","James Cook (BUF)","1","6","20","3.3","13","2.2","7","1.2","0","1","-1","0","0","0","0","0","0","8","4","4","1","0"
"35","Bijan Robinson (ATL)","1","11","51","4.6","33","3.0","18","1.6","0","0","0","0","1","0","0","0","0","14","2","4","0","1"
"36","Cam Akers (MIN)","1","8","25","3.1","13","1.6","12","1.5","0","3","-6","0","1","0","0","0","0","19","3","3","1","7"
"37","Jeff Wilson Jr. (MIA)","1","2","6","3.0","4","2.0","2","1.0","0","0","0","0","0","0","0","0","0","6","3","4","0","0"
"38","Darrell Henderson Jr. (FA)","1","10","19","1.9","7","0.7","12","1.2","0","2","-6","0","0","0","0","0","0","6","2","2","0","1"
"39","Ezekiel Elliott (NE)","1","6","17","2.8","10","1.7","7","1.2","0","0","0","0","0","0","0","0","0","8","3","5","0","0"
"40","Royce Freeman (LAR)","1","12","32","2.7","17","1.4","15","1.3","0","2","-8","0","0","0","0","0","0","7","0","1","0","0"
"41","Kendre Miller (NO)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"42","Dare Ogunbowale (HOU)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Devin Singletary (HOU)","1","13","26","2.0","15","1.2","11","0.8","0","4","-8","0","0","0","0","0","0","9","2","2","0","0"
"44","Zack Moss (IND)","1","7","26","3.7","10","1.4","16","2.3","0","0","0","0","0","0","0","0","0","8","0","0","0","0"
"45","Ameer Abdullah (LV)","1","2","8","4.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","5","2","2","0","0"
"46","Michael Carter (ARI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","6","6","0","3"
"47","Tyjae Spears (TEN)","1","5","18","3.6","8","1.6","10","2.0","0","0","0","0","0","0","0","0","0","8","4","6","1","3"
"48","Joshua Kelley (LAC)","1","3","18","6.0","12","4.0","6","2.0","0","0","0","0","1","0","0","0","0","12","1","1","0","0"
"49","Darrynton Evans (MIA)","1","1","2","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","2","2","0","0"
"50","Kenneth Walker III (SEA)","1","9","16","1.8","11","1.2","5","0.6","0","1","-4","0","0","0","0","0","0","6","1","2","0","0"
"51","Roschon Johnson (CHI)","1","2","6","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","4","1","1","0","0"
"52","Zach Charbonnet (SEA)","1","4","8","2.0","6","1.5","2","0.5","0","1","-1","0","0","0","0","0","0","4","1","1","0","0"
"53","Trayveon Williams (CIN)","1","3","13","4.3","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"54","Salvon Ahmed (MIA)","1","3","4","1.3","-1","-0.3","5","1.7","0","1","-6","0","0","0","0","0","0","9","2","3","0","0"
"55","Jamaal Williams (NO)","1","3","6","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","2","3","0","0"
"56","Matt Breida (NYG)","1","2","5","2.5","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","1","2","0","0"
"57","Latavius Murray (BUF)","1","2","4","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","1","1","0","0"
"58","Rashaad Penny (PHI)","1","2","8","4.0","6","3.0","2","1.0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"59","Keaontay Ingram (KC)","1","9","8","0.9","1","0.1","7","0.8","0","3","-10","0","1","0","0","0","0","11","0","0","0","0"
"60","Ke'Shawn Vaughn (NE)","1","4","9","2.3","2","0.5","7","1.8","1","0","0","0","0","0","0","0","0","4","1","1","0","0"
"61","Dalvin Cook (NYJ)","1","2","7","3.5","5","2.5","2","1.0","0","0","0","0","0","0","0","0","0","4","1","2","0","0"
"62","Rico Dowdle (DAL)","1","2","8","4.0","6","3.0","2","1.0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"63","Nick Bawden (NYJ)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","3"
"64","Tony Jones Jr. (ARI)","1","3","2","0.7","-2","-0.7","4","1.3","0","1","-3","0","0","0","0","0","0","4","2","3","0","3"
"65","Raheem Blackshear (CAR)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"66","Mike Boone (FA)","1","1","3","3.0","2","2.0","1","1.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"67","Cordarrelle Patterson (ATL)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","2"
"68","Deon Jackson (NYG)","1","1","2","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"69","Pierre Strong Jr. (CLE)","1","3","9","3.0","4","1.3","5","1.7","0","0","0","0","0","0","0","0","0","4","1","1","0","0"
