"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","1","18","115","6.4","87","4.8","28","1.6","0","2","-3","1","6","1","0","0","0","26","5","5","1","6"
"2","James Cook (BUF)","1","25","179","7.2","107","4.3","72","2.9","1","0","0","24","7","2","0","0","0","24","2","3","2","19"
"3","Jahmyr Gibbs (DET)","1","11","100","9.1","44","4.0","56","5.1","3","1","-1","12","4","2","1","0","0","34","2","2","1","0"
"4","Ty Chandler (MIN)","1","23","132","5.7","85","3.7","47","2.0","0","1","-1","1","2","2","1","0","0","30","3","4","1","2"
"5","Rachaad White (TB)","1","21","89","4.2","38","1.8","51","2.4","0","1","-2","0","1","1","0","0","0","22","2","2","0","1"
"6","Kyren Williams (LAR)","1","27","152","5.6","96","3.6","56","2.1","2","1","-3","1","5","1","0","0","0","27","5","7","2","0"
"7","Kenneth Walker III (SEA)","1","19","86","4.5","0","0.0","0","0.0","0","3","-11","23","3","1","0","0","0","23","3","3","0","0"
"8","Devin Singletary (HOU)","1","26","121","4.7","68","2.6","53","2.0","1","3","-3","0","3","0","0","0","0","19","4","5","0","5"
"9","Raheem Mostert (MIA)","1","15","42","2.8","18","1.2","24","1.6","0","3","-11","2","2","0","0","0","0","18","2","2","1","0"
"10","Clyde Edwards-Helaire (KC)","1","13","37","2.8","6","0.5","31","2.4","0","2","-5","0","1","1","0","0","0","20","4","4","2","25"
"11","James Conner (ARI)","1","14","86","6.1","23","1.6","63","4.5","0","0","0","2","1","1","1","1","0","44","3","3","0","8"
"12","Zamir White (LV)","1","17","69","4.1","18","1.1","51","3.0","1","0","0","1","1","0","0","0","0","15","3","4","1","9"
"13","Jerick McKinnon (KC)","1","4","11","2.8","4","1.0","7","1.8","0","0","0","0","0","0","0","0","0","4","3","3","1","3"
"14","Emari Demercado (ARI)","1","4","64","16.0","15","3.8","49","12.3","0","0","0","49","1","1","1","1","0","49","1","3","0","0"
"15","Gus Edwards (BAL)","1","16","58","3.6","32","2.0","26","1.6","3","0","0","1","1","1","0","0","0","20","1","1","0","0"
"16","Joe Mixon (CIN)","1","10","47","4.7","34","3.4","13","1.3","1","0","0","1","1","0","0","0","0","10","3","3","0","3"
"17","Alvin Kamara (NO)","1","16","66","4.1","32","2.0","34","2.1","1","1","-1","0","2","0","0","0","0","15","5","5","0","14"
"18","Chuba Hubbard (CAR)","1","22","87","4.0","43","2.0","44","2.0","2","4","-8","0","4","2","0","0","0","22","2","2","0","4"
"19","Zack Moss (IND)","1","4","13","3.3","7","1.8","6","1.5","0","0","0","0","0","0","0","0","0","5","3","3","1","7"
"20","Trey Sermon (IND)","1","17","88","5.2","30","1.8","58","3.4","3","1","-1","0","2","0","0","0","0","19","0","0","0","0"
"21","Keaton Mitchell (BAL)","1","9","73","8.1","50","5.6","23","2.6","3","0","0","0","4","1","0","0","0","24","2","2","0","0"
"22","Brandon Bolden (LV)","1","2","25","12.5","0","0.0","0","0.0","0","1","-1","26","1","1","0","0","0","26","0","0","0","0"
"23","Kevin Harris (NE)","1","4","25","6.3","4","1.0","21","5.3","1","1","-2","18","1","0","0","0","0","18","0","0","0","0"
"24","David Montgomery (DET)","1","17","85","5.0","32","1.9","53","3.1","1","0","0","0","2","0","0","0","0","13","2","3","0","2"
"25","Tyler Goodson (IND)","1","11","69","6.3","45","4.1","24","2.2","0","0","0","0","2","1","1","0","0","31","2","2","1","3"
"26","D'Andre Swift (PHI)","1","18","74","4.1","0","0.0","0","0.0","0","1","-3","0","2","0","0","0","0","11","2","3","1","0"
"27","Latavius Murray (BUF)","1","5","11","2.2","-1","-0.2","12","2.4","1","1","-4","2","0","0","0","0","0","8","0","0","0","0"
"28","Aaron Jones (GB)","1","13","53","4.1","39","3.0","14","1.1","0","3","-3","0","1","1","0","0","0","20","4","4","1","4"
"29","Jaylen Warren (PIT)","1","10","40","4.0","23","2.3","17","1.7","0","0","0","0","1","0","0","0","0","11","5","6","0","7"
"30","De'Von Achane (MIA)","1","9","32","3.6","16","1.8","16","1.8","0","1","-2","0","1","0","0","0","0","10","3","3","0","13"
"31","Cordarrelle Patterson (ATL)","1","5","-2","-0.4","-3","-0.6","1","0.2","0","1","-5","0","0","0","0","0","0","3","1","3","2","0"
"32","Roschon Johnson (CHI)","1","5","36","7.2","25","5.0","11","2.2","0","0","0","0","1","1","0","0","0","22","4","6","0","13"
"33","Travis Etienne Jr. (JAC)","1","10","31","3.1","13","1.3","18","1.8","2","1","-2","0","0","0","0","0","0","7","4","6","0","9"
"34","Ty Johnson (BUF)","1","9","54","6.0","34","3.8","20","2.2","0","0","0","0","1","0","0","0","0","11","1","1","0","0"
"35","Tony Pollard (DAL)","1","11","52","4.7","32","2.9","20","1.8","0","1","-3","0","1","0","0","0","0","11","2","3","0","1"
"36","Chase Brown (CIN)","1","7","23","3.3","14","2.0","9","1.3","1","1","-1","0","0","0","0","0","0","6","3","3","0","0"
"37","Tyler Allgeier (ATL)","1","14","45","3.2","15","1.1","30","2.1","0","2","-3","0","0","0","0","0","0","8","1","1","0","5"
"38","Isaiah Spiller (LAC)","1","16","50","3.1","18","1.1","32","2.0","2","1","-3","0","0","0","0","0","0","8","0","0","0","0"
"39","Samaje Perine (DEN)","1","6","37","6.2","9","1.5","28","4.7","1","0","0","0","1","0","0","0","0","12","1","1","0","2"
"40","Ezekiel Elliott (NE)","1","11","25","2.3","10","0.9","15","1.4","0","1","-1","0","0","0","0","0","0","5","5","6","1","6"
"41","Ameer Abdullah (LV)","1","6","32","5.3","11","1.8","21","3.5","1","0","0","0","0","0","0","0","0","9","2","2","0","0"
"42","Austin Ekeler (LAC)","1","5","9","1.8","0","0.0","9","1.8","0","0","0","0","0","0","0","0","0","6","4","6","0","19"
"43","Michael Carter (ARI)","1","3","27","9.0","24","8.0","3","1.0","0","0","0","0","1","0","0","0","0","19","3","3","1","2"
"44","Tyjae Spears (TEN)","1","9","30","3.3","14","1.6","16","1.8","0","1","-5","0","0","0","0","0","0","9","1","1","0","2"
"45","Saquon Barkley (NYG)","1","9","14","1.6","4","0.4","10","1.1","0","1","-2","0","0","0","0","0","0","4","2","2","0","1"
"46","Chris Rodriguez Jr. (WAS)","1","10","35","3.5","18","1.8","17","1.7","0","1","-2","0","1","0","0","0","0","11","0","0","0","0"
"47","Antonio Gibson (WAS)","1","4","15","3.8","8","2.0","7","1.8","0","0","0","0","0","0","0","0","0","8","5","5","0","4"
"48","Jerome Ford (CLE)","1","8","20","2.5","3","0.4","17","2.1","2","2","-4","0","0","0","0","0","0","9","4","5","1","5"
"49","Jamaal Williams (NO)","1","8","24","3.0","13","1.6","11","1.4","0","0","0","0","0","0","0","0","0","8","1","1","0","0"
"50","Kyle Juszczyk (SF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","2"
"51","Justice Hill (BAL)","1","5","23","4.6","19","3.8","4","0.8","2","0","0","0","0","0","0","0","0","8","0","1","0","0"
"52","Kenneth Gainwell (PHI)","1","6","21","3.5","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","8","0","1","0","0"
"53","Matt Breida (NYG)","1","3","10","3.3","7","2.3","3","1.0","0","0","0","0","0","0","0","0","0","5","2","3","0","1"
"54","Jordan Mason (SF)","1","5","20","4.0","4","0.8","16","3.2","0","1","-6","0","1","0","0","0","0","17","0","0","0","0"
"55","Javonte Williams (DEN)","1","12","27","2.3","10","0.8","17","1.4","0","1","-3","0","0","0","0","0","0","8","2","2","0","0"
"56","Kareem Hunt (CLE)","1","7","8","1.1","5","0.7","3","0.4","0","2","-2","0","0","0","0","0","0","3","1","1","0","2"
"57","Israel Abanikanda (NYJ)","1","4","8","2.0","3","0.8","5","1.3","0","0","0","0","0","0","0","0","0","6","2","2","0","2"
"58","Jaleel McLaughlin (DEN)","1","2","2","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","2","3","1","9"
"59","Breece Hall (NYJ)","1","6","12","2.0","5","0.8","7","1.2","0","1","-1","0","0","0","0","0","0","5","1","2","0","0"
"60","Dare Ogunbowale (HOU)","1","1","17","17.0","9","9.0","8","8.0","0","0","0","0","1","0","0","0","0","17","0","1","0","0"
"61","Royce Freeman (LAR)","1","6","16","2.7","14","2.3","2","0.3","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"62","Zach Charbonnet (SEA)","1","4","16","4.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","6","0","1","0","0"
"63","Chase Edmonds (TB)","1","3","13","4.3","11","3.7","2","0.7","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"64","Miles Sanders (CAR)","1","6","2","0.3","-4","-0.7","6","1.0","1","2","-5","0","0","0","0","0","0","3","2","2","1","6"
"65","Najee Harris (PIT)","1","12","33","2.8","16","1.3","17","1.4","1","2","-4","0","1","0","0","0","0","15","0","0","0","0"
"66","Khalil Herbert (CHI)","1","6","8","1.3","3","0.5","5","0.8","0","2","-6","0","0","0","0","0","0","7","1","1","0","0"
"67","Trayveon Williams (CIN)","1","1","10","10.0","0","0.0","0","0.0","0","0","0","0","1","0","0","0","0","10","1","1","0","1"
"68","Rico Dowdle (DAL)","1","3","4","1.3","0","0.0","4","1.3","0","1","-2","0","0","0","0","0","0","5","2","3","0","0"
"69","Pierre Strong Jr. (CLE)","1","2","2","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","2","2","0","0"
"70","Derrick Henry (TEN)","1","16","9","0.6","-6","-0.4","15","0.9","1","4","-15","0","0","0","0","0","0","6","4","4","0","1"
"71","Dalvin Cook (NYJ)","1","1","4","4.0","2","2.0","2","2.0","0","0","0","0","0","0","0","0","0","4","1","1","0","0"
"72","Joshua Kelley (LAC)","1","5","22","4.4","10","2.0","12","2.4","1","0","0","0","1","0","0","0","0","11","1","1","0","1"
"73","Eric Gray (NYG)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","4","0","1"
"74","Jeff Wilson Jr. (MIA)","1","2","5","2.5","4","2.0","1","0.5","0","0","0","0","0","0","0","0","0","5","1","2","1","1"
"75","D'Ernest Johnson (JAC)","1","2","5","2.5","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"76","Dameon Pierce (HOU)","1","1","3","3.0","1","1.0","2","2.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"77","Hunter Luepke (DAL)","1","1","3","3.0","1","1.0","2","2.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"78","Patrick Taylor Jr. (GB)","1","1","6","6.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","6","2","2","2","0"
"79","Kene Nwangwu (MIN)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80","Tank Bigsby (JAC)","1","1","-2","-2.0","0","0.0","0","0.0","0","1","-2","0","0","0","0","0","0","0","0","0","0","0"
"81","Jonathan Williams (WAS)","1","1","-2","-2.0","0","0.0","0","0.0","0","1","-2","0","0","0","0","0","0","0","0","1","0","0"
"82","Bijan Robinson (ATL)","1","7","11","1.6","1","0.1","10","1.4","1","3","-4","0","0","0","0","0","0","9","1","3","0","0"
"83","D'Onta Foreman (CHI)","1","6","-6","-1.0","-10","-1.7","4","0.7","0","3","-10","0","0","0","0","0","0","2","0","0","0","0"
"84","Corey Clement (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Tyrion Davis-Price (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Boston Scott (PHI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Ke'Shawn Vaughn (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Keith Smith (ATL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Chris Brooks (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","James Robinson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Jonathan Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Alex Armah Jr. (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Godwin Igwebuike (PIT)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Malik Davis (DAL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Zach Evans (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Raheem Blackshear (CAR)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Darrynton Evans (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Josh Jacobs (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Jakob Johnson (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Jake Funk (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","C.J. Ham (MIN)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Marlon Mack (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Adam Prentice (NO)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","Rhamondre Stevenson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","Deon Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","DeeJay Dallas (SEA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","Tony Jones Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","Gary Brightwell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","Sean Tucker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Nick Bawden (NYJ)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Reggie Gilliam (BUF)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","Kenyan Drake (GB)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","Melvin Gordon III (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","Emanuel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","Damien Harris (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","Michael Burton (DEN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Khari Blasingame (CHI)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","Craig Reynolds (DET)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Rashaad Penny (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Alec Ingold (MIA)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","Isiah Pacheco (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Travis Homer (CHI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","Alexander Mattison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","Patrick Ricard (BAL)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","Ronnie Rivers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
""
""
