"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Aaron Jones (GB)","1","9","41","4.6","25","2.8","16","1.8","2","1","-1","1","0","0","0","0","0","9","2","4","1","2"
"2","Christian McCaffrey (SF)","1","22","152","6.9","45","2.0","107","4.9","1","4","-5","65","4","1","1","1","1","65","3","5","0","3"
"3","Austin Ekeler (LAC)","1","16","117","7.3","61","3.8","56","3.5","2","1","-1","1","2","1","1","1","1","55","4","5","1","0"
"4","Tyler Allgeier (ATL)","1","15","75","5.0","17","1.1","58","3.9","6","1","-2","3","3","1","0","0","0","22","3","3","0","3"
"5","Tony Pollard (DAL)","1","14","70","5.0","43","3.1","27","1.9","0","1","-2","2","2","1","0","0","0","25","2","3","1","1"
"6","Kyren Williams (LAR)","1","15","52","3.5","33","2.2","19","1.3","0","1","-1","7","0","0","0","0","0","9","0","2","1","0"
"7","Travis Etienne Jr. (JAC)","1","18","77","4.3","33","1.8","44","2.4","5","3","-5","26","1","1","0","0","0","26","5","5","0","9"
"8","Joshua Kelley (LAC)","1","16","91","5.7","64","4.0","27","1.7","3","0","0","2","3","0","0","0","0","14","0","1","0","0"
"9","Breece Hall (NYJ)","1","10","127","12.7","29","2.9","98","9.8","1","1","-4","0","2","2","1","1","1","83","1","2","0","6"
"10","Bijan Robinson (ATL)","1","10","56","5.6","30","3.0","26","2.6","1","1","-4","0","2","1","0","0","0","21","6","6","2","23"
"11","David Montgomery (DET)","1","21","74","3.5","51","2.4","23","1.1","1","1","-1","8","0","0","0","0","0","8","0","0","0","0"
"12","Justice Hill (BAL)","1","8","9","1.1","4","0.5","5","0.6","2","1","-4","2","0","0","0","0","0","4","0","0","0","0"
"13","Nick Chubb (CLE)","1","18","106","5.9","69","3.8","37","2.1","1","0","0","0","5","0","0","0","0","17","4","4","0","6"
"14","Brian Robinson Jr. (WAS)","1","19","59","3.1","54","2.8","5","0.3","1","2","-4","0","0","0","0","0","0","7","1","2","1","0"
"15","Derrick Henry (TEN)","1","15","63","4.2","44","2.9","19","1.3","0","1","-2","0","1","0","0","0","0","18","2","3","0","6"
"16","Roschon Johnson (CHI)","1","5","20","4.0","9","1.8","11","2.2","0","0","0","2","1","0","0","0","0","11","6","7","2","9"
"17","Raheem Mostert (MIA)","1","10","37","3.7","25","2.5","12","1.2","2","1","-3","2","2","0","0","0","0","12","2","2","1","5"
"18","Alexander Mattison (MIN)","1","11","34","3.1","13","1.2","21","1.9","0","2","-4","0","0","0","0","0","0","9","3","4","2","4"
"19","J.K. Dobbins (BAL)","1","8","22","2.8","18","2.3","4","0.5","0","0","0","4","0","0","0","0","0","4","2","3","1","13"
"20","Rhamondre Stevenson (NE)","1","12","25","2.1","23","1.9","2","0.2","0","1","-1","0","0","0","0","0","0","5","6","6","0","9"
"21","Cam Akers (MIN)","1","22","29","1.3","15","0.7","14","0.6","4","5","-17","1","1","0","0","0","0","12","0","0","0","0"
"22","Khalil Herbert (CHI)","1","9","27","3.0","16","1.8","11","1.2","0","1","-2","0","1","0","0","0","0","12","3","5","0","18"
"23","Samaje Perine (DEN)","1","8","41","5.1","7","0.9","34","4.3","0","0","0","0","3","0","0","0","0","12","4","4","0","29"
"24","Miles Sanders (CAR)","1","18","72","4.0","48","2.7","24","1.3","1","2","-2","0","2","0","0","0","0","10","4","6","0","10"
"25","Kenneth Gainwell (PHI)","1","14","54","3.9","43","3.1","11","0.8","2","0","0","0","1","0","0","0","0","16","4","4","0","0"
"26","Joe Mixon (CIN)","1","13","56","4.3","15","1.2","41","3.2","1","1","-3","0","2","1","0","0","0","22","3","5","0","5"
"27","Josh Jacobs (LV)","1","19","48","2.5","11","0.6","37","1.9","1","1","-3","0","0","0","0","0","0","7","2","3","0","21"
"28","James Conner (ARI)","1","14","62","4.4","51","3.6","11","0.8","2","2","-2","0","1","0","0","0","0","12","5","5","1","4"
"29","Chuba Hubbard (CAR)","1","9","60","6.7","22","2.4","38","4.2","4","1","-1","0","3","1","0","0","0","21","2","2","0","0"
"30","Kenneth Walker III (SEA)","1","12","64","5.3","55","4.6","9","0.8","1","0","0","0","2","0","0","0","0","15","4","5","1","1"
"31","James Cook (BUF)","1","12","46","3.8","8","0.7","38","3.2","0","3","-7","0","2","0","0","0","0","13","4","6","0","2"
"32","Saquon Barkley (NYG)","1","12","51","4.3","21","1.8","30","2.5","0","1","-2","0","1","0","0","0","0","18","3","4","0","5"
"33","Jahmyr Gibbs (DET)","1","7","42","6.0","19","2.7","23","3.3","6","1","-2","0","2","0","0","0","0","18","2","2","0","2"
"34","Dalvin Cook (NYJ)","1","13","33","2.5","14","1.1","19","1.5","1","3","-8","0","1","0","0","0","0","10","3","3","0","3"
"35","Javonte Williams (DEN)","1","13","52","4.0","6","0.5","46","3.5","2","2","-3","0","1","0","0","0","0","11","4","6","0","0"
"36","Isiah Pacheco (KC)","1","8","23","2.9","13","1.6","10","1.3","0","0","0","0","0","0","0","0","0","7","4","4","0","11"
"37","Tank Bigsby (JAC)","1","7","13","1.9","5","0.7","8","1.1","2","1","-2","1","0","0","0","0","0","4","0","1","0","0"
"38","Gus Edwards (BAL)","1","8","32","4.0","26","3.3","6","0.8","0","0","0","0","1","0","0","0","0","13","0","0","0","0"
"39","Jamaal Williams (NO)","1","18","45","2.5","30","1.7","15","0.8","0","2","-4","0","1","0","0","0","0","11","2","2","0","0"
"40","Rachaad White (TB)","1","17","39","2.3","20","1.2","19","1.1","0","1","-1","0","0","0","0","0","0","6","2","2","0","0"
"41","Dameon Pierce (HOU)","1","11","38","3.5","23","2.1","15","1.4","2","0","0","0","0","0","0","0","0","7","2","3","0","3"
"42","AJ Dillon (GB)","1","13","19","1.5","4","0.3","15","1.2","0","3","-10","0","0","0","0","0","0","7","2","3","0","11"
"43","Alec Ingold (MIA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","3"
"44","Najee Harris (PIT)","1","6","31","5.2","24","4.0","7","1.2","0","1","-2","0","1","1","0","0","0","24","2","2","0","0"
"45","Clyde Edwards-Helaire (KC)","1","6","22","3.7","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","5","1","1","0","3"
"46","Tyjae Spears (TEN)","1","3","27","9.0","22","7.3","5","1.7","0","0","0","0","1","0","0","0","0","17","1","4","1","0"
"47","Sean Tucker (TB)","1","5","15","3.0","9","1.8","6","1.2","0","0","0","0","0","0","0","0","0","5","2","2","0","1"
"48","Rico Dowdle (DAL)","1","6","24","4.0","14","2.3","10","1.7","0","0","0","0","1","0","0","0","0","10","0","0","0","0"
"49","D'Onta Foreman (CHI)","1","5","16","3.2","7","1.4","9","1.8","0","1","-7","0","1","0","0","0","0","11","2","3","0","2"
"50","Ezekiel Elliott (NE)","1","7","29","4.1","26","3.7","3","0.4","0","1","-1","0","1","0","0","0","0","11","5","7","1","5"
"51","Jake Funk (BAL)","1","2","10","5.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"52","Patrick Taylor Jr. (GB)","1","5","22","4.4","5","1.0","17","3.4","2","0","0","0","1","0","0","0","0","10","0","0","0","0"
"53","Damien Harris (BUF)","1","1","3","3.0","2","2.0","1","1.0","0","0","0","0","0","0","0","0","0","3","2","2","0","3"
"54","Mike Boone (FA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","4","0","1"
"55","Michael Carter (ARI)","1","1","6","6.0","2","2.0","4","4.0","0","0","0","0","0","0","0","0","0","6","2","2","0","3"
"56","Ty Chandler (MIN)","1","3","0","0.0","-1","-0.3","1","0.3","0","1","-3","0","0","0","0","0","0","2","1","1","0","2"
"57","DeeJay Dallas (SEA)","1","2","4","2.0","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","5","1","1","0","1"
"58","Jaylen Warren (PIT)","1","3","6","2.0","3","1.0","3","1.0","0","0","0","0","0","0","0","0","0","3","5","6","1","2"
"59","Latavius Murray (BUF)","1","2","8","4.0","2","1.0","6","3.0","0","0","0","0","0","0","0","0","0","6","1","2","0","2"
"60","Ty Montgomery II (FA)","1","1","7","7.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","7","2","3","0","0"
"61","Jerome Ford (CLE)","1","15","36","2.4","18","1.2","18","1.2","0","3","-8","0","1","0","0","0","0","17","0","0","0","0"
"62","Devin Singletary (HOU)","1","7","15","2.1","10","1.4","5","0.7","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"63","Chris Evans (CIN)","1","2","12","6.0","7","3.5","5","2.5","0","0","0","0","0","0","0","0","0","7","1","1","0","0"
"64","Zach Charbonnet (SEA)","1","3","11","3.7","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"65","Salvon Ahmed (MIA)","1","3","11","3.7","3","1.0","8","2.7","1","1","-2","0","0","0","0","0","0","8","0","3","0","0"
"66","Anthony McFarland Jr. (PIT)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","2","0"
"67","Gary Brightwell (NYG)","1","1","5","5.0","2","2.0","3","3.0","0","0","0","0","0","0","0","0","0","5","2","2","0","3"
"68","Elijah Mitchell (SF)","1","5","10","2.0","2","0.4","8","1.6","0","1","-1","0","0","0","0","0","0","4","0","1","0","0"
"69","Boston Scott (PHI)","1","1","3","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","1","1","0","0"
"70","Jerick McKinnon (KC)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","2","0","0"
"71","Deuce Vaughn (DAL)","1","6","8","1.3","6","1.0","2","0.3","0","1","-5","0","0","0","0","0","0","5","0","0","0","0"
"72","Chase Edmonds (TB)","1","2","8","4.0","7","3.5","1","0.5","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"73","Zamir White (LV)","1","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","1","1","0","2"
"74","Evan Hull (IND)","1","1","1","1.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"75","C.J. Ham (MIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","3","0","1"
"76","Chris Rodriguez Jr. (WAS)","1","3","7","2.3","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"77","Trayveon Williams (CIN)","1","2","7","3.5","2","1.0","5","2.5","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"78","Matt Breida (NYG)","1","2","9","4.5","2","1.0","7","3.5","0","0","0","0","0","0","0","0","0","6","1","1","0","0"
"79","Tony Jones Jr. (ARI)","1","1","5","5.0","3","3.0","2","2.0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"80","Michael Burton (DEN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"81","D'Andre Swift (PHI)","1","1","3","3.0","2","2.0","1","1.0","0","0","0","0","0","0","0","0","0","3","1","2","0","0"
"82","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Darrynton Evans (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Cordarrelle Patterson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Tyrion Davis-Price (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
