"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Jahmyr Gibbs (DET)","1","14","77","5.5","30","2.1","47","3.4","0","2","-4","1","3","1","1","0","0","35","3","5","1","8"
"2","Devin Singletary (HOU)","1","30","150","5.0","117","3.9","33","1.1","0","1","-3","6","5","1","0","0","0","22","1","2","1","1"
"3","Brian Robinson Jr. (WAS)","1","8","38","4.8","13","1.6","25","3.1","4","0","0","0","2","0","0","0","0","15","6","6","0","7"
"4","Kenneth Walker III (SEA)","1","19","63","3.3","59","3.1","4","0.2","0","3","-6","0","1","0","0","0","0","13","1","2","0","50"
"5","David Montgomery (DET)","1","12","116","9.7","48","4.0","68","5.7","0","1","-1","75","1","1","1","1","1","75","0","0","0","0"
"6","Austin Ekeler (LAC)","1","19","67","3.5","55","2.9","12","0.6","0","0","0","2","1","0","0","0","0","17","4","7","0","20"
"7","Javonte Williams (DEN)","1","21","79","3.8","42","2.0","37","1.8","0","0","0","0","1","0","0","0","0","11","4","4","1","4"
"8","Jaylen Warren (PIT)","1","15","101","6.7","52","3.5","49","3.3","4","1","-1","16","5","1","0","0","0","20","2","4","1","6"
"9","Bijan Robinson (ATL)","1","22","95","4.3","52","2.4","43","2.0","1","0","0","5","4","0","0","0","0","17","1","2","0","3"
"10","Rachaad White (TB)","1","20","51","2.6","23","1.2","28","1.4","0","0","0","0","1","0","0","0","0","11","2","3","1","2"
"11","Najee Harris (PIT)","1","16","82","5.1","56","3.5","26","1.6","1","0","0","4","2","1","0","0","0","24","3","4","0","2"
"12","D'Onta Foreman (CHI)","1","21","80","3.8","41","2.0","39","1.9","0","2","-2","4","2","0","0","0","0","11","2","2","0","5"
"13","Christian McCaffrey (SF)","1","16","95","5.9","68","4.3","27","1.7","0","1","-2","0","4","0","0","0","0","19","6","10","3","0"
"14","Rico Dowdle (DAL)","1","12","79","6.6","49","4.1","30","2.5","1","1","-1","1","3","1","0","0","0","21","0","0","0","0"
"15","Jonathan Taylor (IND)","1","23","69","3.0","37","1.6","32","1.4","1","2","-4","1","1","0","0","0","0","10","1","1","0","4"
"16","Latavius Murray (BUF)","1","9","68","7.6","39","4.3","29","3.2","0","0","0","3","2","1","0","0","0","21","2","3","0","0"
"17","Keaton Mitchell (BAL)","1","3","34","11.3","32","10.7","2","0.7","0","1","-7","39","1","1","1","0","0","39","1","2","1","1"
"18","Alvin Kamara (NO)","1","9","42","4.7","24","2.7","18","2.0","0","1","-2","0","0","0","0","0","0","9","7","7","0","9"
"19","Antonio Gibson (WAS)","1","4","13","3.3","11","2.8","2","0.5","0","0","0","0","0","0","0","0","0","6","5","6","1","4"
"20","Jerome Ford (CLE)","1","17","107","6.3","52","3.1","55","3.2","0","1","-1","0","3","1","0","0","0","28","1","1","0","1"
"21","Josh Jacobs (LV)","1","27","116","4.3","89","3.3","27","1.0","5","3","-9","0","2","1","1","1","0","40","2","2","0","0"
"22","Joe Mixon (CIN)","1","11","46","4.2","19","1.7","27","2.5","3","2","-4","1","2","0","0","0","0","15","2","3","0","0"
"23","Ty Chandler (MIN)","1","15","45","3.0","25","1.7","20","1.3","0","3","-6","2","2","0","0","0","0","13","0","0","0","0"
"24","Rhamondre Stevenson (NE)","1","20","88","4.4","41","2.1","47","2.4","2","1","-2","0","1","0","0","0","0","10","3","5","1","3"
"25","James Cook (BUF)","1","12","109","9.1","50","4.2","59","4.9","0","0","0","0","4","1","1","1","0","42","2","2","0","8"
