"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Derrick Henry (TEN)","1","21","102","4.9","95","4.5","7","0.3","1","1","-1","22","1","1","0","0","0","22","1","2","0","0"
"2","Joe Mixon (CIN)","1","19","68","3.6","42","2.2","26","1.4","0","1","-1","6","1","0","0","0","0","18","6","7","0","32"
"3","Alvin Kamara (NO)","1","14","51","3.6","24","1.7","27","1.9","1","1","-2","2","1","0","0","0","0","16","6","8","0","7"
"4","James Conner (ARI)","1","25","105","4.2","89","3.6","16","0.6","6","3","-6","9","3","1","0","0","0","29","0","2","0","0"
"5","Chuba Hubbard (CAR)","1","25","104","4.2","68","2.7","36","1.4","0","3","-8","1","1","0","0","0","0","17","0","0","0","0"
"6","De'Von Achane (MIA)","1","17","73","4.3","46","2.7","27","1.6","4","1","-7","4","1","0","0","0","0","15","3","4","0","19"
"7","Christian McCaffrey (SF)","1","17","93","5.5","51","3.0","42","2.5","1","1","-1","2","3","0","0","0","0","16","3","4","0","0"
"8","Isiah Pacheco (KC)","1","18","110","6.1","46","2.6","64","3.6","0","1","-1","1","3","1","0","0","0","26","3","4","0","6"
"9","Kyren Williams (LAR)","1","21","88","4.2","65","3.1","23","1.1","4","1","-2","1","2","0","0","0","0","18","3","5","1","0"
"10","Rachaad White (TB)","1","20","84","4.2","69","3.5","15","0.8","0","1","-5","1","2","1","1","0","0","30","3","5","0","6"
"11","Zach Charbonnet (SEA)","1","19","60","3.2","26","1.4","34","1.8","1","1","-5","1","1","0","0","0","0","14","1","2","0","25"
"12","Tony Pollard (DAL)","1","20","68","3.4","31","1.6","37","1.9","4","3","-8","6","2","0","0","0","0","16","3","4","3","7"
"13","Travis Etienne Jr. (JAC)","1","11","45","4.1","37","3.4","8","0.7","0","0","0","4","2","0","0","0","0","13","4","4","1","3"
"14","David Montgomery (DET)","1","18","56","3.1","43","2.4","13","0.7","0","2","-2","2","1","0","0","0","0","13","1","2","0","0"
"15","Jerome Ford (CLE)","1","9","19","2.1","14","1.6","5","0.6","0","2","-10","0","1","0","0","0","0","10","3","3","0","0"
"16","Raheem Mostert (MIA)","1","11","43","3.9","10","0.9","33","3.0","3","2","-5","1","1","0","0","0","0","12","1","1","0","4"
"17","Dameon Pierce (HOU)","1","15","41","2.7","16","1.1","25","1.7","1","3","-6","3","1","1","0","0","0","22","0","0","0","0"
"18","Ezekiel Elliott (NE)","1","17","52","3.1","31","1.8","19","1.1","0","3","-8","0","0","0","0","0","0","8","4","5","0","22"
"19","Tyjae Spears (TEN)","1","16","75","4.7","0","0.0","0","0.0","0","2","-3","0","2","0","0","0","0","19","4","6","1","3"
"20","AJ Dillon (GB)","1","18","73","4.1","29","1.6","44","2.4","0","1","-1","0","1","0","0","0","0","10","1","1","0","2"
"21","Bijan Robinson (ATL)","1","18","53","2.9","35","1.9","18","1.0","1","3","-7","0","1","0","0","0","0","12","3","5","1","3"
"22","Najee Harris (PIT)","1","16","63","3.9","59","3.7","4","0.3","2","1","-1","0","2","0","0","0","0","11","2","3","0","0"
"23","Antonio Gibson (WAS)","1","10","35","3.5","7","0.7","28","2.8","3","0","0","0","0","0","0","0","0","9","4","5","1","5"
"24","Javonte Williams (DEN)","1","13","46","3.5","19","1.5","27","2.1","0","1","-2","0","1","0","0","0","0","16","3","3","0","12"
"25","Chase Brown (CIN)","1","9","61","6.8","11","1.2","50","5.6","1","2","-5","0","2","1","1","0","0","31","0","0","0","0"
"26","Zack Moss (IND)","1","19","51","2.7","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","5","2","3","1","0"
"27","Jaylen Warren (PIT)","1","9","59","6.6","52","5.8","7","0.8","2","0","0","0","1","0","0","0","0","18","1","3","0","0"
"28","Jahmyr Gibbs (DET)","1","8","60","7.5","22","2.8","38","4.8","0","0","0","0","1","1","1","0","0","36","1","2","0","0"
"29","Brian Robinson Jr. (WAS)","1","7","53","7.6","23","3.3","30","4.3","2","0","0","0","1","1","0","0","0","29","0","0","0","0"
"30","Kareem Hunt (CLE)","1","12","48","4.0","31","2.6","17","1.4","0","1","-1","0","0","0","0","0","0","7","1","1","0","0"
"31","Kenneth Gainwell (PHI)","1","2","5","2.5","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","5","6","0","17"
"32","Breece Hall (NYJ)","1","13","16","1.2","11","0.8","5","0.4","0","6","-12","0","0","0","0","0","0","9","6","8","0","18"
"33","Devin Singletary (HOU)","1","8","36","4.5","24","3.0","12","1.5","0","0","0","0","2","0","0","0","0","14","1","1","0","0"
"34","Chris Rodriguez Jr. (WAS)","1","7","29","4.1","14","2.0","15","2.1","1","1","-2","0","1","0","0","0","0","15","0","0","0","0"
"35","Miles Sanders (CAR)","1","8","23","2.9","19","2.4","4","0.5","0","1","-2","0","0","0","0","0","0","8","1","2","0","3"
