"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Saquon Barkley (NYG)","1","14","83","5.9","38","2.7","45","3.2","1","4","-9","0","2","2","2","0","0","36","4","5","1","5"
"2","Jaylen Warren (PIT)","1","9","129","14.3","93","10.3","36","4.0","4","2","-5","74","4","2","1","1","1","74","3","3","0","4"
"3","Gus Edwards (BAL)","1","12","62","5.2","58","4.8","4","0.3","0","0","0","3","1","1","0","0","0","26","2","2","0","0"
"4","Devin Singletary (HOU)","1","22","112","5.1","87","4.0","25","1.1","0","2","-4","11","4","1","0","0","0","21","2","2","0","1"
"5","D'Andre Swift (PHI)","1","12","76","6.3","22","1.8","54","4.5","3","3","-6","4","3","1","1","0","0","35","3","3","0","25"
"6","Christian McCaffrey (SF)","1","21","78","3.7","56","2.7","22","1.0","1","4","-8","0","2","0","0","0","0","12","5","5","2","4"
"7","James Cook (BUF)","1","17","73","4.3","47","2.8","26","1.5","0","1","-3","0","2","0","0","0","0","12","3","4","1","13"
"8","Joe Mixon (CIN)","1","16","69","4.3","59","3.7","10","0.6","0","0","0","0","2","0","0","0","0","14","5","5","2","7"
"9","David Montgomery (DET)","1","12","76","6.3","32","2.7","44","3.7","2","0","0","1","3","1","0","0","0","20","2","2","0","8"
"10","Jahmyr Gibbs (DET)","1","8","36","4.5","27","3.4","9","1.1","0","0","0","2","1","0","0","0","0","14","6","6","0","23"
"11","Tony Pollard (DAL)","1","12","61","5.1","46","3.8","15","1.3","2","2","-16","21","2","2","0","0","0","22","4","5","1","0"
"12","Breece Hall (NYJ)","1","10","23","2.3","14","1.4","9","0.9","0","1","-3","0","1","0","0","0","0","14","5","6","1","21"
"13","Brian Robinson Jr. (WAS)","1","17","73","4.3","32","1.9","41","2.4","2","1","-2","0","3","0","0","0","0","18","7","9","1","24"
"14","Ty Johnson (BUF)","1","3","11","3.7","1","0.3","10","3.3","0","1","-6","0","1","0","0","0","0","13","3","3","0","9"
"15","Rachaad White (TB)","1","9","30","3.3","24","2.7","6","0.7","0","0","0","1","0","0","0","0","0","7","6","7","1","5"
