"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Gus Edwards (BAL)","1","19","80","4.2","49","2.6","31","1.6","0","1","-3","7","1","0","0","0","0","10","2","2","0","0"
"2","Jahmyr Gibbs (DET)","1","26","152","5.8","73","2.8","79","3.0","3","1","-1","27","4","2","0","0","0","27","5","5","0","23"
"3","Christian McCaffrey (SF)","1","12","54","4.5","37","3.1","17","1.4","0","0","0","2","1","0","0","0","0","16","6","7","1","4"
"4","Alvin Kamara (NO)","1","17","59","3.5","51","3.0","8","0.5","0","2","-3","16","2","0","0","0","0","16","4","5","1","4"
"5","Travis Etienne Jr. (JAC)","1","24","79","3.3","54","2.3","25","1.0","0","3","-8","0","3","0","0","0","0","13","3","6","0","5"
"6","Joe Mixon (CIN)","1","16","87","5.4","67","4.2","20","1.3","1","1","-2","5","3","1","0","0","0","20","3","3","2","0"
"7","Austin Ekeler (LAC)","1","15","29","1.9","16","1.1","13","0.9","0","4","-8","0","0","0","0","0","0","7","7","8","1","47"
"8","Javonte Williams (DEN)","1","27","85","3.1","69","2.6","16","0.6","2","3","-8","0","2","0","0","0","0","15","3","3","1","0"
"9","Breece Hall (NYJ)","1","12","17","1.4","4","0.3","13","1.1","0","3","-5","0","0","0","0","0","0","5","6","9","0","55"
"10","Josh Jacobs (LV)","1","15","61","4.1","30","2.0","31","2.1","1","1","-1","3","0","0","0","0","0","9","2","4","0","12"
"11","Zack Moss (IND)","1","11","66","6.0","54","4.9","12","1.1","0","1","-1","1","1","1","1","1","0","41","1","1","0","0"
"12","Saquon Barkley (NYG)","1","36","128","3.6","42","1.2","86","2.4","1","7","-15","0","1","1","1","0","0","34","3","5","0","0"
"13","Kareem Hunt (CLE)","1","14","55","3.9","34","2.4","21","1.5","0","1","-1","1","0","0","0","0","0","9","1","1","0","0"
"14","D'Andre Swift (PHI)","1","16","57","3.6","30","1.9","27","1.7","0","1","-1","7","0","0","0","0","0","9","2","3","0","2"
"15","Bijan Robinson (ATL)","1","11","62","5.6","43","3.9","19","1.7","0","1","-3","13","2","1","0","0","0","25","0","5","0","0"
"16","Derrick Henry (TEN)","1","22","101","4.6","56","2.5","45","2.0","0","1","-1","0","1","0","0","0","0","14","4","4","0","3"
"17","Rachaad White (TB)","1","9","39","4.3","20","2.2","19","2.1","1","0","0","0","1","0","0","0","0","15","7","7","0","21"
"18","Raheem Mostert (MIA)","1","13","46","3.5","38","2.9","8","0.6","0","1","-3","1","1","0","0","0","0","10","0","0","0","0"
"19","Royce Freeman (LAR)","1","9","44","4.9","19","2.1","25","2.8","0","1","-2","1","2","0","0","0","0","10","0","0","0","0"
"20","Darrynton Evans (MIA)","1","4","18","4.5","16","4.0","2","0.5","0","0","0","11","1","0","0","0","0","11","3","4","1","6"
"21","Jonathan Taylor (IND)","1","12","95","7.9","44","3.7","51","4.3","6","0","0","0","3","1","1","1","0","42","1","2","0","0"
"22","Cam Akers (MIN)","1","9","19","2.1","0","0.0","0","0.0","0","2","-4","6","0","0","0","0","0","9","1","1","0","0"
"23","Darrell Henderson Jr. (FA)","1","12","31","2.6","10","0.8","21","1.8","0","2","-3","0","0","0","0","0","0","7","3","3","0","11"
"24","Pierre Strong Jr. (CLE)","1","10","41","4.1","33","3.3","8","0.8","0","2","-2","0","1","0","0","0","0","12","1","1","0","0"
"25","Brian Robinson Jr. (WAS)","1","10","59","5.9","39","3.9","20","2.0","0","2","-2","0","2","1","0","0","0","29","2","2","0","8"
"26","Emari Demercado (ARI)","1","20","78","3.9","53","2.7","25","1.3","0","2","-2","0","1","0","0","0","0","13","1","1","0","0"
