"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Brian Robinson Jr. (WAS)","1","18","87","4.8","20","1.1","67","3.7","3","2","-7","15","4","1","0","0","0","27","2","3","0","25"
"2","Raheem Mostert (MIA)","1","18","121","6.7","118","6.6","3","0.2","1","0","0","43","3","1","1","1","0","43","1","1","0","0"
"3","D'Andre Swift (PHI)","1","28","175","6.3","118","4.2","57","2.0","5","0","0","2","3","1","1","1","0","43","3","3","0","0"
"4","Kyren Williams (LAR)","1","14","52","3.7","28","2.0","24","1.7","0","1","-1","4","0","0","0","0","0","8","6","10","1","9"
"5","Saquon Barkley (NYG)","1","17","63","3.7","27","1.6","36","2.1","3","2","-6","1","2","0","0","0","0","16","6","7","1","6"
"6","Jerome Ford (CLE)","1","16","106","6.6","64","4.0","42","2.6","2","2","-4","0","1","1","1","1","1","69","3","4","1","6"
"7","Christian McCaffrey (SF)","1","20","116","5.8","33","1.7","83","4.2","0","0","0","14","2","1","1","1","1","51","3","3","0","0"
"8","Kenneth Walker III (SEA)","1","17","43","2.5","25","1.5","18","1.1","3","1","-5","3","2","0","0","0","0","14","1","2","0","4"
"9","Bijan Robinson (ATL)","1","19","124","6.5","79","4.2","45","2.4","1","1","-2","0","5","0","0","0","0","19","4","5","0","9"
"10","Zack Moss (IND)","1","18","88","4.9","54","3.0","34","1.9","2","0","0","11","2","0","0","0","0","11","4","4","1","4"
"11","James Conner (ARI)","1","23","106","4.6","84","3.7","22","1.0","3","6","-7","4","4","2","0","0","0","22","0","1","0","0"
"12","Rachaad White (TB)","1","17","73","4.3","31","1.8","42","2.5","4","1","-2","4","1","0","0","0","0","13","5","5","1","11"
"13","James Cook (BUF)","1","17","123","7.2","55","3.2","68","4.0","1","1","-2","0","3","1","1","0","0","36","4","4","0","12"
"14","Derrick Henry (TEN)","1","25","80","3.2","36","1.4","44","1.8","0","3","-6","1","1","1","0","0","0","23","3","4","0","4"
"15","Tony Jones Jr. (ARI)","1","12","34","2.8","12","1.0","22","1.8","0","0","0","2","0","0","0","0","0","6","0","2","1","0"
"16","Tony Pollard (DAL)","1","25","72","2.9","47","1.9","25","1.0","1","5","-13","0","1","1","0","0","0","23","7","8","2","2"
"17","Gus Edwards (BAL)","1","10","62","6.2","48","4.8","14","1.4","0","0","0","1","2","1","0","0","0","20","0","0","0","0"
"18","Rhamondre Stevenson (NE)","1","15","50","3.3","42","2.8","8","0.5","3","2","-6","2","1","0","0","0","0","12","3","3","0","2"
"19","David Montgomery (DET)","1","16","67","4.2","40","2.5","27","1.7","5","4","-9","4","2","0","0","0","0","16","1","1","0","3"
"20","Joe Mixon (CIN)","1","13","59","4.5","34","2.6","25","1.9","0","0","0","0","1","0","0","0","0","14","4","5","1","4"
"21","Damien Harris (BUF)","1","7","33","4.7","21","3.0","12","1.7","0","1","-1","1","1","0","0","0","0","11","0","0","0","0"
"22","Latavius Murray (BUF)","1","6","22","3.7","16","2.7","6","1.0","0","0","0","4","0","0","0","0","0","8","2","2","1","1"
"23","Jaylen Warren (PIT)","1","6","20","3.3","9","1.5","11","1.8","1","1","-2","0","0","0","0","0","0","8","4","6","0","17"
"24","Isiah Pacheco (KC)","1","12","70","5.8","53","4.4","17","1.4","1","0","0","0","2","1","1","0","0","31","1","2","0","0"
"25","Jaleel McLaughlin (DEN)","1","1","5","5.0","0","0.0","0","0.0","0","0","0","5","0","0","0","0","0","5","0","0","0","0"
"26","Nick Chubb (CLE)","1","10","64","6.4","31","3.1","33","3.3","1","1","-1","0","1","1","0","0","0","20","0","0","0","0"
"27","AJ Dillon (GB)","1","15","55","3.7","22","1.5","33","2.2","0","0","0","0","0","0","0","0","0","8","1","1","0","2"
"28","Pierre Strong Jr. (CLE)","1","2","1","0.5","0","0.0","0","0.0","0","0","0","1","0","0","0","0","0","1","0","1","0","0"
"29","Javonte Williams (DEN)","1","12","44","3.7","16","1.3","28","2.3","2","1","-2","0","1","0","0","0","0","15","2","3","0","5"
"30","Khalil Herbert (CHI)","1","7","35","5.0","12","1.7","23","3.3","5","0","0","0","0","0","0","0","0","8","1","3","0","2"
"31","Jahmyr Gibbs (DET)","1","7","17","2.4","12","1.7","5","0.7","0","0","0","0","0","0","0","0","0","8","7","9","0","0"
"32","Tyjae Spears (TEN)","1","8","49","6.1","21","2.6","28","3.5","2","0","0","0","2","0","0","0","0","14","2","2","0","2"
"33","Antonio Gibson (WAS)","1","2","9","4.5","0","0.0","9","4.5","0","0","0","0","0","0","0","0","0","7","3","3","0","20"
"34","Justice Hill (BAL)","1","11","41","3.7","20","1.8","21","1.9","0","1","-1","0","1","0","0","0","0","11","3","3","0","2"
"35","Chuba Hubbard (CAR)","1","2","16","8.0","3","1.5","13","6.5","0","0","0","0","1","0","0","0","0","14","5","5","0","7"
