"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Kyren Williams (LAR)","1","16","143","8.9","108","6.8","35","2.2","2","0","0","0","2","2","1","1","1","56","6","6","3","24"
"2","Christian McCaffrey (SF)","1","19","114","6.0","89","4.7","25","1.3","0","1","-1","8","3","1","0","0","0","27","5","6","1","0"
"3","Bijan Robinson (ATL)","1","16","91","5.7","53","3.3","38","2.4","0","0","0","10","3","0","0","0","0","17","3","6","1","2"
"4","Raheem Mostert (MIA)","1","20","94","4.7","66","3.3","28","1.4","1","2","-5","34","2","1","1","0","0","34","0","1","0","0"
"5","Jonathan Taylor (IND)","1","15","91","6.1","47","3.1","44","2.9","0","2","-3","4","4","0","0","0","0","17","0","0","0","0"
"6","Isiah Pacheco (KC)","1","15","55","3.7","41","2.7","14","0.9","0","0","0","1","0","0","0","0","0","8","5","5","1","8"
"7","Derrick Henry (TEN)","1","18","76","4.2","9","0.5","67","3.7","5","1","-4","10","3","0","0","0","0","18","1","2","0","0"
"8","Josh Jacobs (LV)","1","20","110","5.5","58","2.9","52","2.6","0","2","-4","63","1","1","1","1","1","63","4","6","0","2"
"9","Rhamondre Stevenson (NE)","1","21","98","4.7","45","2.1","53","2.5","2","1","-1","7","3","0","0","0","0","15","5","5","0","4"
"10","Tony Pollard (DAL)","1","13","79","6.1","48","3.7","31","2.4","1","3","-5","7","2","1","0","0","0","27","6","6","0","0"
"11","Najee Harris (PIT)","1","15","99","6.6","27","1.8","72","4.8","2","1","-1","5","3","2","0","0","0","22","0","0","0","0"
"12","Chuba Hubbard (CAR)","1","14","45","3.2","19","1.4","26","1.9","0","2","-5","5","1","0","0","0","0","15","5","5","0","8"
"13","David Montgomery (DET)","1","15","71","4.7","44","2.9","27","1.8","1","0","0","6","1","0","0","0","0","15","0","1","0","0"
"14","Royce Freeman (LAR)","1","13","77","5.9","41","3.2","36","2.8","2","1","-2","23","2","1","0","0","0","23","0","0","0","0"
"15","Samaje Perine (DEN)","1","7","55","7.9","31","4.4","24","3.4","1","1","-3","3","2","1","0","0","0","24","1","1","0","0"
"16","Alvin Kamara (NO)","1","15","69","4.6","31","2.1","38","2.5","0","2","-3","0","1","0","0","0","0","16","4","5","1","24"
"17","Rachaad White (TB)","1","15","100","6.7","62","4.1","38","2.5","0","1","-2","0","3","1","1","0","0","38","2","2","0","4"
"18","James Cook (BUF)","1","16","43","2.7","40","2.5","3","0.2","0","2","-7","0","2","0","0","0","0","11","6","7","0","0"
"19","Keaton Mitchell (BAL)","1","9","64","7.1","27","3.0","37","4.1","3","1","-1","0","2","1","0","0","0","29","2","2","0","0"
"20","Rico Dowdle (DAL)","1","3","11","3.7","9","3.0","2","0.7","0","0","0","0","0","0","0","0","0","7","1","1","1","0"
"21","Travis Etienne Jr. (JAC)","1","20","56","2.8","38","1.9","18","0.9","4","4","-9","0","1","1","0","0","0","20","4","6","0","11"
"22","D'Andre Swift (PHI)","1","14","80","5.7","70","5.0","10","0.7","0","1","-4","0","2","1","1","0","0","36","1","1","0","0"
"23","AJ Dillon (GB)","1","14","43","3.1","32","2.3","11","0.8","0","2","-2","0","1","0","0","0","0","17","3","3","0","13"
"24","Jerome Ford (CLE)","1","9","65","7.2","52","5.8","13","1.4","0","0","0","0","3","0","0","0","0","19","4","7","1","11"
"25","Roschon Johnson (CHI)","1","10","35","3.5","28","2.8","7","0.7","1","1","-2","0","0","0","0","0","0","7","5","5","1","7"
"26","Jeff Wilson Jr. (MIA)","1","11","56","5.1","27","2.5","29","2.6","0","0","0","0","1","0","0","0","0","14","3","3","0","5"
"27","Jahmyr Gibbs (DET)","1","11","54","4.9","45","4.1","9","0.8","0","0","0","0","1","1","0","0","0","23","4","8","0","0"
"28","Devin Singletary (HOU)","1","6","18","3.0","10","1.7","8","1.3","1","1","-2","0","1","0","0","0","0","14","6","7","1","15"
"29","Javonte Williams (DEN)","1","18","65","3.6","45","2.5","20","1.1","1","3","-6","0","3","0","0","0","0","15","3","6","0","2"
"30","Zack Moss (IND)","1","8","55","6.9","28","3.5","27","3.4","0","0","0","0","2","0","0","0","0","16","2","3","0","3"
"31","Tyler Allgeier (ATL)","1","10","64","6.4","37","3.7","27","2.7","0","0","0","0","3","0","0","0","0","14","0","0","0","0"
"32","Brian Robinson Jr. (WAS)","1","15","53","3.5","38","2.5","15","1.0","0","1","-2","0","2","0","0","0","0","14","2","3","1","0"
"33","Alexander Mattison (MIN)","1","10","52","5.2","40","4.0","12","1.2","1","1","-2","0","2","1","0","0","0","21","2","2","0","3"
"34","D'Ernest Johnson (JAC)","1","7","19","2.7","0","0.0","0","0.0","0","1","-3","0","0","0","0","0","0","7","1","2","0","0"
"35","Joe Mixon (CIN)","1","8","16","2.0","6","0.8","10","1.3","0","0","0","0","0","0","0","0","0","4","2","2","1","25"
"36","Zach Charbonnet (SEA)","1","14","47","3.4","20","1.4","27","1.9","1","1","-1","0","1","0","0","0","0","10","4","4","0","3"
"37","Saquon Barkley (NYG)","1","12","46","3.8","33","2.8","13","1.1","0","2","-3","0","2","0","0","0","0","19","1","3","0","1"
"38","Ezekiel Elliott (NE)","1","9","46","5.1","29","3.2","17","1.9","0","1","-1","0","1","0","0","0","0","13","2","2","0","3"
"39","Breece Hall (NYJ)","1","7","25","3.6","4","0.6","21","3.0","1","1","-2","0","1","0","0","0","0","11","7","9","1","10"
"40","Latavius Murray (BUF)","1","9","30","3.3","22","2.4","8","0.9","0","0","0","0","1","0","0","0","0","13","3","5","0","0"
"41","Austin Ekeler (LAC)","1","10","32","3.2","29","2.9","3","0.3","2","1","-1","0","0","0","0","0","0","6","5","6","2","0"
"42","Cordarrelle Patterson (ATL)","1","8","43","5.4","22","2.8","21","2.6","0","0","0","0","2","0","0","0","0","12","0","0","0","0"
"43","Jaylen Warren (PIT)","1","13","49","3.8","30","2.3","19","1.5","3","0","0","0","0","0","0","0","0","9","3","3","0","2"
"44","Khalil Herbert (CHI)","1","6","24","4.0","19","3.2","5","0.8","0","0","0","0","0","0","0","0","0","8","2","2","0","1"
"45","Gus Edwards (BAL)","1","8","26","3.3","22","2.8","4","0.5","0","0","0","0","0","0","0","0","0","5","1","1","0","0"
"46","Antonio Gibson (WAS)","1","6","21","3.5","9","1.5","12","2.0","0","0","0","0","0","0","0","0","0","6","3","4","0","3"
"47","Elijah Mitchell (SF)","1","7","39","5.6","27","3.9","12","1.7","0","0","0","0","1","0","0","0","0","13","1","1","0","0"
"48","Kenneth Gainwell (PHI)","1","2","26","13.0","8","4.0","18","9.0","0","0","0","0","1","1","0","0","0","23","2","3","0","0"
"49","Michael Carter (ARI)","1","4","19","4.8","15","3.8","4","1.0","0","0","0","0","0","0","0","0","0","7","4","4","0","1"
"50","James Conner (ARI)","1","6","27","4.5","8","1.3","19","3.2","2","0","0","0","1","0","0","0","0","14","4","5","1","1"
"51","Justice Hill (BAL)","1","5","31","6.2","0","0.0","0","0.0","1","0","0","0","1","0","0","0","0","18","0","1","0","0"
"52","Miles Sanders (CAR)","1","15","28","1.9","0","0.0","28","1.9","2","4","-17","0","1","0","0","0","0","15","0","1","0","0"
"53","Kareem Hunt (CLE)","1","7","22","3.1","15","2.1","7","1.0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"54","Chris Rodriguez Jr. (WAS)","1","4","21","5.3","11","2.8","10","2.5","1","0","0","0","1","0","0","0","0","13","0","0","0","0"
"55","Dalvin Cook (NYJ)","1","1","2","2.0","1","1.0","1","1.0","0","0","0","0","0","0","0","0","0","2","2","3","0","8"
"56","Ty Johnson (BUF)","1","6","19","3.2","4","0.7","15","2.5","0","1","-5","0","0","0","0","0","0","9","0","0","0","0"
"57","Dameon Pierce (HOU)","1","5","14","2.8","10","2.0","4","0.8","1","0","0","0","0","0","0","0","0","4","1","1","0","0"
"58","Matt Breida (NYG)","1","2","6","3.0","4","2.0","2","1.0","0","0","0","0","0","0","0","0","0","6","1","1","0","1"
"59","Darrynton Evans (MIA)","1","2","16","8.0","12","6.0","4","2.0","0","0","0","0","1","0","0","0","0","13","0","0","0","0"
"60","Emari Demercado (ARI)","1","3","15","5.0","13","4.3","2","0.7","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"61","Patrick Taylor Jr. (GB)","1","3","11","3.7","7","2.3","4","1.3","0","0","0","0","0","0","0","0","0","5","1","1","0","0"
"62","Boston Scott (PHI)","1","2","14","7.0","7","3.5","7","3.5","0","0","0","0","1","0","0","0","0","10","0","1","0","0"
